,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
A1BG,0.0,0.0,0.5,2.0,2.0,0.0
NAT1,58.0,180.0,160.0,38.0,66.5,60.5
AAMP,1737.5,1469.5,1691.5,764.0,910.0,1626.5
AARS1,1880.5,1542.0,1960.0,603.0,1076.0,1556.5
ABAT,134.0,174.5,144.0,137.0,93.0,143.0
ABCA1,62.0,109.0,153.5,50.0,7.5,30.5
ABCA2,1080.5,952.5,942.0,279.0,399.5,1052.0
ABCA3,2.0,3.0,1.5,11.0,12.0,2.0
ABCB7,23.5,38.0,39.5,5.0,7.5,16.0
ABCF1,2.0,1.5,3.5,0.0,0.5,2.0
ABL1,2019.0,1793.0,1976.0,1173.0,1082.0,1370.5
AOC1,15.5,20.0,20.5,6.0,0.0,27.5
ABL2,842.0,1117.0,1217.5,565.0,393.0,667.5
ABO,0.0,0.0,0.0,7.0,4.5,0.0
ABR,115.0,129.0,151.5,38.0,35.5,99.5
ACAA1,1868.5,1768.5,1837.5,1563.0,1749.5,2080.5
ACACA,3.5,10.5,6.0,0.0,2.5,4.0
ACACB,53.5,112.5,72.5,107.0,94.5,86.5
ACADM,219.0,875.5,707.0,144.0,291.0,188.5
ACADS,158.5,159.0,167.0,137.0,192.5,182.0
ACADSB,1236.5,1892.0,1535.5,476.0,658.0,1100.5
ACADVL,599.0,617.0,604.5,746.0,749.5,665.5
ACAT1,565.5,529.0,596.0,360.0,471.0,569.0
ACAT2,3018.0,4692.5,4797.5,1491.0,2722.0,2545.5
ASIC1,348.0,325.0,318.0,135.0,193.0,290.0
ACHE,1.0,0.5,0.5,5.0,1.0,0.0
ACLY,5625.5,6866.0,6908.0,2059.0,4646.5,5066.5
ACO1,376.0,492.0,450.5,246.0,295.0,349.5
ACO2,1504.0,1381.0,1614.0,1067.0,1042.0,1208.5
ACOX1,1140.0,1361.0,1574.0,840.0,647.5,910.0
ACP1,2617.0,2704.0,3126.5,1117.0,1526.5,2186.5
ACP2,236.0,207.0,220.0,93.0,131.5,172.5
ACPP,443.5,499.5,515.5,153.0,187.5,431.5
ACRV1,0.5,1.5,2.0,3.0,0.5,1.0
ACTA2,3.5,6.0,5.0,11.0,3.0,1.0
