mr270-MV411-PBS_24h-r3_tcount,mr268-MV411-PBS_24h-r1_tcount,mr272-MV411-MYBi_24h-r1_tcount,mr269-MV411-PBS_24h-r2_tcount,mr263-MV411_MEF2D-DMSO_24h-r4_tcount,mr257-MV411_MEF2D-VHL_2h-r2_tcount,mr266-MV411_MEF2D-VHL_24h-r3_tcount,mr258-MV411_MEF2D-VHL_2h-r3_tcount,mr255-MV411_MEF2D-DMSO_2h-r4_tcount,mr259-MV411_MEF2D-VHL_2h-r4_tcount,mr253-MV411_MEF2D-DMSO_2h-r2_tcount,mr261-MV411_MEF2D-DMSO_24h-r2_tcount,mr256-MV411_MEF2D-VHL_2h-r1_tcount,mr254-MV411_MEF2D-DMSO_2h-r3_tcount,mr264-MV411_MEF2D-VHL_24h-r1_tcount,mr262-MV411_MEF2D-DMSO_24h-r3_tcount,mr267-MV411_MEF2D-VHL_24h-r4_tcount,mr265-MV411_MEF2D-VHL_24h-r2_tcount,mr273-MV411-MYBi_24h-r2_tcount,mr271-MV411-PBS_24h-r4_tcount,mr274-MV411-MYBi_24h-r3_tcount,mr260-MV411_MEF2D-DMSO_24h-r1_tcount,mr252-MV411_MEF2D-DMSO_2h-r1_tcount
3,1,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,6,3,1,0,0
175,90,9,43,146,49,71,64,247,189,66,48,52,253,50,214,34,222,63,25,38,280,73
1577,1238,619,428,1414,1631,1507,2190,2169,1844,1214,1051,1009,2322,1227,1525,1787,1746,764,582,1199,2721,1150
1752,1398,380,754,1396,1637,1464,2461,2523,2124,1397,1070,1055,2806,1162,1688,1649,1703,603,752,862,2955,1334
194,122,63,64,173,115,71,174,209,153,89,112,74,199,121,176,165,191,146,43,137,369,88
30,9,10,3,94,54,29,70,242,133,73,19,36,215,31,124,30,112,57,6,50,178,92
644,548,196,170,958,1090,1016,1504,1104,1071,780,800,626,1254,875,947,1224,1088,279,251,397,1868,687
17,7,7,17,3,1,1,9,1,3,0,3,0,3,3,2,0,3,11,1,25,7,2
46,9,0,3,40,13,8,33,61,53,18,16,14,69,19,36,13,42,8,6,5,92,18
1,1,0,0,2,3,2,1,5,0,2,0,5,5,0,1,2,5,0,0,0,2,0
2481,1499,720,610,1709,1797,1109,2454,2529,2241,1423,1107,1003,2899,1237,1877,1504,1679,1173,665,1378,3397,1390
