GENE,MV411-RUNX1-dTAG-DMSO_1h,MV411-RUNX1-dTAG-VHL_1h,MV411-RUNX2-dTAG-DMSO_1h,MV411-RUNX2-dTAG-VHL_1h,MV411-SPI1-dTAG-DMSO_1h,MV411-SPI1-dTAG-VHL_1h,MV411-GFI1-dTAG-DMSO_2h,MV411-GFI1-dTAG-VHL_2h
A2M,3.0,2.5,2.0,2.5,0.0,0.0,1.0,0.5
A2MP1,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.5
NAT1,100.0,90.0,85.0,89.5,131.0,171.0,116.0,141.0
AAMP,758.0,610.0,699.5,940.5,772.0,692.0,1003.0,1107.5
AARS1,1290.5,1066.5,725.0,921.0,1448.0,1601.0,794.0,820.0
ABAT,167.0,140.0,113.5,127.0,147.0,152.0,293.0,259.0
ABCA1,51.0,39.0,30.5,28.5,88.0,63.0,79.0,47.0
ABCA2,220.5,134.0,126.5,210.5,268.0,227.0,154.0,173.0
ABCA3,2.5,3.0,3.5,1.0,1.0,1.0,4.0,3.5
ABCB7,45.0,57.0,36.0,34.0,54.0,52.0,49.0,50.0
ABCF1,835.5,682.0,743.5,1020.5,1380.0,1400.0,1028.0,1124.0
ABL1,1229.5,903.5,840.5,1125.0,1314.0,1238.0,1093.0,1141.5
ABL2,961.0,797.0,917.0,1035.0,1167.0,1107.0,1253.0,1529.0
ABO,1.5,3.5,4.5,2.5,3.0,1.0,2.0,2.0
ABR,3411.5,2464.5,2899.5,4102.0,2108.0,1959.0,4238.0,4775.5
ACAA1,1051.5,854.0,788.5,1154.0,853.0,826.0,926.0,969.5
ACACA,883.0,697.5,1069.0,1395.5,1704.0,1578.0,1470.0,1609.0
ACACB,28.5,17.5,10.0,18.0,5.0,8.0,19.0,15.5
ACADM,724.0,638.0,366.0,383.5,624.0,691.0,564.0,431.0
ACADS,81.0,58.0,43.0,70.0,109.0,114.0,46.0,43.0
ACADSB,921.5,799.5,710.5,766.5,763.0,781.0,947.0,931.5
ACADVL,552.0,452.5,410.0,582.0,421.0,416.0,617.0,581.0
ACAT1,479.5,458.0,295.0,374.0,372.0,454.0,337.0,309.5
ACAT2,2636.5,2641.5,2985.5,3151.0,3443.0,4774.0,4311.0,3680.5
ASIC1,127.5,97.0,272.0,356.5,169.0,148.0,376.0,377.0
ACHE,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.5
ACLY,2711.0,2360.5,3470.0,4118.0,3374.0,3712.0,4568.0,4975.0
ACO1,194.5,179.0,235.5,293.5,280.0,302.0,231.0,268.0
ACO2,839.0,622.0,754.0,878.0,810.0,765.0,962.0,1044.0
ACOX1,842.5,688.0,637.0,698.5,740.0,662.0,951.0,984.5
ACP1,2549.5,2177.0,2093.0,2421.5,1662.0,1766.0,2978.0,2644.5
ACP2,118.5,81.0,78.5,115.0,97.0,87.0,128.0,127.5
ACP3,2079.5,2050.5,102.0,123.5,258.0,255.0,53.0,46.0
ACRV1,1.0,2.0,0.5,2.5,2.0,4.0,2.0,2.0
ACTB,71515.0,61433.0,52891.5,67052.0,93270.0,106154.0,86577.0,81379.5
ACTG1,115513.5,89058.0,75091.5,97496.0,56251.0,59301.0,107369.0,118961.5
ACTN4,5371.5,4361.5,4734.5,6636.0,3824.0,3883.0,6800.0,6539.5
ACTL6A,636.5,512.0,538.0,635.0,777.0,886.0,633.0,591.5
ACTN1,1653.0,1248.5,1271.0,1467.5,1179.0,1283.0,1166.0,1191.0
