GENE,MV411-RUNX1-dTAG-DMSO_1h,MV411-RUNX1-dTAG-VHL_1h,MV411-RUNX2-dTAG-DMSO_1h,MV411-RUNX2-dTAG-VHL_1h,MV411-SPI1-dTAG-DMSO_1h,MV411-SPI1-dTAG-VHL_1h,MV411-GFI1-dTAG-DMSO_2h,MV411-GFI1-dTAG-VHL_2h
A2M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,6.0,8.5,6.0,7.0,10.0,14.0,6.0,8.0
AAMP,17.0,14.5,23.5,44.0,18.0,17.0,28.0,27.5
AARS1,17.5,25.5,15.5,33.0,44.0,40.0,16.0,21.5
ABAT,4.0,7.0,5.0,8.5,4.0,3.0,6.0,6.5
ABCA1,1.0,0.5,3.5,5.0,6.0,3.0,5.0,1.5
ABCA2,3.5,3.0,3.5,3.5,3.0,5.0,1.0,2.0
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,1.0,1.5,0.5,1.5,1.0,0.0,2.0,0.0
ABCF1,56.5,52.0,53.0,105.0,90.0,75.0,70.0,74.5
ABL1,64.5,68.5,72.0,147.5,67.0,74.0,90.0,98.0
ABL2,80.5,93.0,120.0,196.0,135.0,108.0,103.0,182.0
ABO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,171.5,155.0,171.0,311.5,95.0,86.0,159.0,222.5
ACAA1,14.5,25.0,21.5,60.5,14.0,11.0,29.0,33.5
ACACA,94.0,89.5,111.0,184.5,98.0,83.0,138.0,182.5
ACACB,0.5,1.0,0.5,1.5,0.0,0.0,1.0,1.0
ACADM,5.5,7.0,3.0,2.5,9.0,4.0,5.0,3.5
ACADS,1.0,0.5,1.0,3.0,2.0,1.0,0.0,1.5
ACADSB,15.5,19.0,18.0,33.5,8.0,9.0,14.0,27.5
ACADVL,5.0,6.0,4.0,12.5,7.0,7.0,8.0,7.0
ACAT1,9.5,7.0,5.0,9.0,8.0,5.0,9.0,5.0
