GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
NAT1,144.0,74.25,137.5,83.75
AAMP,1144.0,746.75,1139.25,967.5
AARS1,1735.75,1264.5,1055.75,873.5
ABAT,79.5,45.25,54.75,38.0
ABCA1,246.75,181.25,106.0,32.75
ABCA2,407.0,260.75,375.75,293.25
ABCA3,1.75,0.75,1.75,0.75
ABCB7,74.5,52.5,46.75,37.5
ABCF1,1662.0,1075.25,1657.0,1447.25
ABL1,1622.25,981.75,1468.0,929.25
AOC1,3.5,4.25,5.5,4.75
ABL2,1047.0,627.25,833.5,590.0
ABR,3518.5,2089.0,2806.25,1957.25
ACAA1,1043.0,709.0,921.5,722.75
ACACA,959.25,646.5,797.0,741.0
ACACB,39.25,20.5,41.0,21.5
ACADM,1089.0,611.5,457.75,411.5
ACADS,67.5,46.0,75.5,51.75
ACADSB,1211.75,900.5,817.75,713.25
ACADVL,579.0,412.25,613.5,539.75
ACAT1,456.0,362.5,443.0,419.5
ACAT2,3203.0,2741.75,3604.25,3584.75
ASIC1,202.75,108.75,74.25,73.25
ACLY,4534.0,3137.75,4279.25,4488.75
ACO1,322.75,225.25,317.5,250.5
ACO2,1008.5,676.25,904.5,721.0
ACOX1,1108.75,739.5,1182.75,926.25
ACP1,2470.25,1974.0,2266.25,1933.0
ACP2,108.75,64.0,89.0,59.25
ACP3,2233.25,1759.5,1756.75,1508.25
ACRV1,5.0,2.75,3.0,2.5
ACTA1,3.0,0.75,2.0,1.25
ACTB,118821.75,77765.25,100273.75,86987.75
ACTG1,144938.25,101163.25,95772.75,77200.5
ACTN4,6694.0,4186.75,5404.5,5288.5
ACTL6A,1724.5,1246.5,1525.5,1226.5
ACTN1,5901.75,3566.5,2941.25,2151.25
ACTN2,2.75,0.75,6.0,5.5
ACVR1,137.0,101.25,165.5,146.75
ACVR1B,633.25,371.25,365.5,233.25
ACVR2A,80.75,44.25,51.0,39.75
ACVR2B,258.5,141.0,220.75,126.25
ACVRL1,142.75,100.75,66.25,42.75
ACY1,158.75,124.0,164.0,156.0
ACYP1,408.0,287.25,424.25,293.5
ACYP2,98.5,85.75,89.0,79.5
ADA,2707.75,2140.0,1675.5,1290.75
ADAM8,59.25,28.0,65.0,50.25
ADAM10,8174.5,5467.75,5089.25,4205.0
ADAR,7877.0,5391.75,6577.5,5913.0
ADARB1,794.0,462.5,518.25,416.75
ADCY1,29.25,15.25,25.75,25.5
ADCY3,1650.75,1069.75,1870.75,1308.0
ADCY5,17.0,9.0,11.5,9.5
ADCY6,4.5,3.0,1.25,0.0
ADCY7,3269.75,2147.0,2545.25,1831.5
ADCY9,1238.5,941.5,815.5,635.75
ADD1,3801.25,2276.0,2443.5,1781.0
ADD2,3284.5,2248.25,1725.0,1364.75
ADD3,1846.75,1388.0,716.25,646.25
PLIN2,159.75,147.75,183.75,171.5
ADH5,1413.5,1009.75,1141.25,940.75
ADH6,2.5,0.75,4.25,3.5
ADK,437.5,321.25,367.5,297.75
ADM,2.25,3.0,2.5,1.25
ADORA2A,12.75,6.5,8.5,6.25
ADORA2B,354.0,273.75,485.75,451.25
ADORA3,3.5,2.25,4.25,5.5
ADPRH,179.25,130.0,139.75,155.5
PARP1,2769.5,1975.0,2513.75,2442.75
PARP4,219.25,165.0,292.75,246.25
ADRA1D,10.0,5.25,2.0,1.0
ADRA2C,3.25,1.75,2.75,2.75
ADRB1,8.25,4.25,4.25,1.0
ADRB2,21.25,39.5,40.25,69.0
GRK2,3615.25,2202.0,2482.0,1902.5
GRK3,3548.5,2272.5,2166.75,1565.25
ADSL,411.5,253.25,314.0,230.5
ADSS2,2053.25,1460.5,2058.75,1724.75
AP2A1,681.0,482.75,640.5,585.75
AP2A2,309.5,220.5,236.25,175.25
AP1B1,881.5,562.75,797.5,660.0
AP2B1,5643.0,4020.25,4580.0,3601.75
AP1G1,5375.5,3594.5,4821.25,3625.5
AEBP1,3.0,1.0,0.0,1.0
TLE5,134.5,86.75,60.25,44.0
AFG3L1P,896.0,570.25,795.75,626.0
AGA,820.75,626.0,475.25,394.25
AGER,348.25,209.0,185.5,155.25
AGL,363.5,208.5,249.25,195.0
JAG1,23.75,12.5,33.25,21.5
AGT,322.75,251.75,199.0,168.75
AHCY,3825.5,2908.25,3797.25,3272.75
AHR,1841.5,1428.25,1494.25,1276.5
AIF1,2939.25,2011.0,2042.5,1718.25
CRYBG1,1172.5,880.5,1159.75,798.5
AK1,26.0,13.25,9.5,8.75
AK2,23908.75,17318.0,17774.75,14664.5
AK4,345.0,285.0,8.75,5.25
AKT1,3424.75,2233.75,2804.75,2133.75
AKT2,2611.0,1554.75,1839.75,1386.5
ALAD,1927.25,1274.5,1485.5,933.5
ALAS1,80.5,49.75,74.0,57.75
ALCAM,1691.0,1210.0,2603.5,1977.5
ABCD1,571.75,386.0,318.25,235.5
ALDH2,11.5,4.0,8.75,6.0
ALDH1B1,1302.75,852.0,1328.75,985.5
ALDH1A3,1385.75,779.5,2389.0,1132.0
ALDH3B1,340.25,235.5,199.75,131.75
ALDH9A1,1548.0,1151.0,1343.5,978.75
ALDH3A2,489.75,339.25,458.25,342.25
ABCD2,331.25,229.0,144.25,100.75
ALDOA,9994.0,7339.5,7140.75,6199.25
ALDOB,4.5,1.25,3.75,3.0
ALDOC,718.75,532.5,97.5,103.5
AKR1B1,691.5,556.75,502.0,404.5
ALOX12,175.0,126.0,59.5,39.0
ALOX5AP,3748.75,2835.25,3272.0,2641.25
ALOX15,18.5,13.25,6.5,4.75
ALX3,31.75,12.5,26.75,11.75
AMD1,5713.0,4122.25,3887.5,3148.5
AMFR,893.5,620.5,795.25,630.75
AMH,12.0,5.5,5.75,7.0
AMPD2,388.25,260.75,265.5,239.75
AMPD3,76.0,52.75,79.0,33.75
BIN1,5.75,4.0,8.5,11.0
AMT,144.0,110.0,72.75,55.75
ANG,2.5,1.75,1.0,0.75
ANGPT1,207.0,147.25,27.75,25.25
ANGPT2,15.75,14.5,18.25,13.5
ANK2,108.25,75.0,28.25,23.25
ANK3,2.25,2.25,0.75,0.5
SLC25A4,55.25,37.75,30.75,36.75
SLC25A5,4431.75,3035.75,3996.75,3015.25
SLC25A6,8897.75,5969.5,6387.5,5020.0
ANXA1,170.0,130.75,297.75,320.0
ANXA2,507.25,382.75,571.0,477.0
303,10.0,4.5,6.75,5.0
ANXA4,394.0,281.0,297.75,291.25
ANXA5,75.25,57.25,90.0,80.5
ANXA6,494.0,349.25,492.0,351.0
ANXA7,796.0,544.75,940.5,851.0
ANXA11,1452.25,1023.0,1255.25,986.25
AOAH,26.5,20.0,11.5,7.25
AOC2,12.25,3.75,5.25,3.25
APAF1,1431.0,803.0,1382.75,716.25
NUDT2,127.75,92.5,129.25,94.0
APBA1,14.5,12.0,12.0,9.25
APBA2,16.75,11.25,11.5,4.5
APBB1,828.75,559.25,257.0,137.5
APBB2,9.75,6.5,7.25,4.0
APC,156.5,94.25,164.25,116.25
APEH,311.5,219.5,353.75,314.0
APEX1,2994.5,2247.25,2694.75,2141.25
BIRC2,127.0,84.25,121.0,94.0
BIRC3,0.5,0.25,3.5,1.5
XIAP,2247.0,1485.25,1570.5,1382.0
BIRC5,5083.5,3509.75,6043.25,4682.0
APLP1,25.5,23.0,23.0,13.5
APLP2,4642.0,3130.5,4006.25,3159.75
APOA1,8.75,7.75,8.0,4.0
APOC1,268.0,216.25,269.75,263.5
APOC2,4342.5,3459.5,4598.5,4056.75
APP,1669.0,1008.0,970.5,811.75
APRT,1856.0,1444.5,1974.75,1686.75
FAS,45.5,36.25,33.25,28.25
AQP1,243.75,176.75,97.75,112.25
AQP3,304.25,173.5,439.5,298.5
AQP6,3.5,0.75,0.5,0.75
AR,41.25,36.75,13.5,11.5
ABCC6,3.0,2.75,3.25,2.0
ARAF,539.5,363.0,443.0,314.5
ARCN1,9055.75,6174.75,6841.0,4937.5
TRIM23,141.25,92.25,167.25,106.5
ARF1,12779.75,9360.25,11805.5,9397.5
ARF3,16088.25,9305.75,8733.5,6735.5
ARF4,3582.0,2354.25,2656.0,2531.5
ARL4D,8.25,4.75,13.25,4.25
ARF5,626.75,412.75,569.75,450.75
ARF6,6731.25,5236.0,5852.25,5253.75
ARG2,683.75,526.0,590.25,499.5
RHOA,27570.0,21271.25,21850.5,18842.75
RHOB,170.5,87.5,123.0,69.5
RHOC,353.5,264.75,183.25,177.5
RND3,3.75,1.5,8.0,4.25
RHOG,1778.0,1116.75,1139.75,993.75
ARHGAP1,2303.0,1503.5,1782.75,1285.75
ARHGAP4,478.25,346.0,279.5,270.0
ARHGAP5,183.25,113.75,100.5,67.25
ARHGAP6,4.25,0.75,1.0,1.5
ARHGDIA,11675.75,7558.25,8513.25,6375.75
ARHGDIB,19426.5,14094.0,23640.5,17915.75
RHOH,91.75,36.0,97.25,44.75
