GENE,mr371-MV411-IRF2BP2-dTAG-DMSO_3h-r1_tcount,mr372-MV411-IRF2BP2-dTAG-DMSO_3h-r2_tcount,mr373-MV411-IRF2BP2-dTAG-DMSO_3h-r3_tcount,mr374-MV411-IRF2BP2-dTAG-DMSO_3h-r4_tcount,mr375-MV411-IRF2BP2-dTAG-VHL_3h-r1_tcount,mr376-MV411-IRF2BP2-dTAG-VHL_3h-r2_tcount,mr377-MV411-IRF2BP2-dTAG-VHL_3h-r3_tcount,mr378-MV411-IRF2BP2-dTAG-VHL_3h-r4_tcount,mr379-MV411-IRF2BP2-dTAG-DMSO_6h-r1_tcount,mr380-MV411-IRF2BP2-dTAG-DMSO_6h-r2_tcount,mr381-MV411-IRF2BP2-dTAG-DMSO_6h-r3_tcount,mr382-MV411-IRF2BP2-dTAG-DMSO_6h-r4_tcount,mr383-MV411-IRF2BP2-dTAG-VHL_6h-r1_tcount,mr384-MV411-IRF2BP2-dTAG-VHL_6h-r2_tcount,mr385-MV411-IRF2BP2-dTAG-VHL_6h-r3_tcount,mr386-MV411-IRF2BP2-dTAG-VHL_6h-r4_tcount
NAT1,30,17,7,2,7,1,1,1,0,0,0,1,2,0,2,1
AAMP,49,39,15,10,10,13,19,2,8,14,6,2,2,9,16,7
AARS1,58,29,22,20,5,15,15,5,7,17,7,15,13,8,27,4
ABAT,4,4,1,5,0,1,2,0,0,0,1,2,0,0,2,0
ABCA1,30,19,9,5,3,4,5,2,1,1,1,4,2,0,2,0
ABCA2,26,9,8,3,1,9,7,2,4,10,1,3,2,4,3,1
ABCA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,1,5,0,0,2,0,0,1,0,0,0,0,0,0,1,0
ABCF1,215,177,86,57,35,41,62,27,24,44,9,17,32,14,40,19
ABL1,248,186,90,61,50,63,50,37,49,49,27,20,23,15,43,10
AOC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL2,319,195,95,49,34,38,39,21,40,19,12,23,15,21,31,16
ABR,522,391,183,94,92,100,127,50,38,66,23,26,30,33,83,23
ACAA1,40,41,18,20,7,10,11,11,2,16,5,8,2,6,10,4
ACACA,131,88,44,18,19,25,18,15,24,37,15,16,23,12,45,11
ACACB,4,9,2,0,1,2,1,0,0,0,0,1,0,0,1,0
ACADM,15,10,2,1,1,1,1,3,2,6,1,2,3,1,0,0
ACADS,3,4,1,4,0,2,0,0,0,0,1,0,2,1,2,1
