GENE,mr571-MV411-DMSO_coculture_12h-r1_tcount,mr572-MV411-DMSO_coculture_12h-r2_tcount,mr573-MV411-DMSO_coculture_12h-r3_tcount,mr574-MV411-DMSO_coculture_12h-r4_tcount,mr575-MV411-DMSO_coculture_12h-r5_tcount,mr576-MV411-VHL_coculture_12h-r1_tcount,mr577-MV411-VHL_coculture_12h-r2_tcount,mr578-MV411-VHL_coculture_12h-r3_tcount,mr579-MV411-VHL_coculture_12h-r4_tcount,mr580-MV411-VHL_coculture_12h-r5_tcount,mr581-MV411-MYB-dTAG-DMSO_coculture_12h-r1_tcount,mr582-MV411-MYB-dTAG-DMSO_coculture_12h-r2_tcount,mr583-MV411-MYB-dTAG-DMSO_coculture_12h-r3_tcount,mr584-MV411-MYB-dTAG-DMSO_coculture_12h-r4_tcount,mr585-MV411-MYB-dTAG-VHL_coculture_12h-r1_tcount,mr586-MV411-MYB-dTAG-VHL_coculture_12h-r2_tcount,mr587-MV411-MYB-dTAG-VHL_coculture_12h-r3_tcount,mr588-MV411-MYB-dTAG-VHL_coculture_12h-r4_tcount,mr589-MV411-MYB-dTAG-VHL_coculture_12h-r5_tcount
NAT1,364,333,370,387,269,352,438,211,350,333,389,397,441,294,462,342,207,531,367
AAMP,531,542,677,505,402,479,656,572,450,571,593,528,500,471,484,363,252,604,431
AARS1,907,899,941,698,649,843,1020,805,711,875,756,620,683,764,720,645,485,1108,685
ABAT,146,184,116,163,166,215,226,174,140,151,161,168,206,199,249,207,186,171,288
ABCA1,164,140,87,141,112,76,148,91,150,161,39,74,68,20,75,63,37,29,48
ABCA2,61,81,96,57,58,81,87,76,67,84,118,89,97,94,67,36,49,64,43
ABCA3,0,3,3,1,7,3,4,3,3,11,2,1,3,3,2,1,0,3,1
ABCB7,121,125,171,124,106,143,164,82,106,109,123,137,120,110,116,102,75,175,121
ABCF1,709,673,895,691,718,717,955,714,638,724,853,629,720,708,604,523,368,835,601
ABL1,424,493,339,433,354,544,526,462,428,403,492,447,654,595,545,411,362,347,542
ABL2,646,651,537,624,567,763,930,686,594,694,637,635,708,590,932,701,564,651,881
ABR,1142,1205,895,1031,872,1419,1565,1111,986,1085,1017,860,1265,1103,1703,1330,1041,1231,1661
ACAA1,1235,1217,1101,940,887,1388,1365,1114,985,1106,1337,1274,1451,1348,1449,1287,982,1741,1496
ACACA,1404,1557,1143,1282,1175,1326,1892,1467,1354,1336,1199,1068,1359,1239,1221,843,656,643,965
ACACB,39,37,53,46,34,62,51,44,34,41,56,43,57,40,53,42,48,49,54
ACADM,2659,2543,2048,2581,1311,2117,2196,1161,1922,2112,1875,1923,2675,1201,2565,1382,1246,1798,1694
ACADS,53,47,76,35,47,51,34,37,28,56,40,32,62,50,55,52,26,72,56
ACADSB,1923,2086,1230,1684,1474,2159,2663,1777,1716,2038,1742,1939,2451,1864,2209,1594,1520,1197,2055
ACADVL,374,386,525,283,364,387,446,314,289,399,382,320,377,417,349,292,165,504,331
ACAT1,1113,1191,1782,1057,1056,1070,1296,1090,885,1158,1074,947,900,1078,903,726,454,1278,786
ACAT2,7150,6971,8577,6581,5011,6472,8152,5656,6189,6703,6904,5852,6601,5630,6225,4933,3334,7552,4857
ASIC1,165,226,164,174,132,171,260,206,183,167,105,140,156,128,181,131,58,63,93
ACLY,3836,3769,3647,3721,2931,3719,4754,3351,3412,3748,3764,2934,3638,3173,3676,2533,1803,3128,2452
ACO1,315,312,388,362,261,343,402,280,338,311,380,302,360,325,354,351,222,485,359
ACO2,743,598,843,634,585,669,808,661,677,697,669,561,674,718,621,509,365,786,553
ACOX1,1082,1150,844,959,811,1096,1197,921,878,1031,1030,884,1224,868,1119,888,802,981,1138
ACP1,4436,4173,3890,3835,3298,3968,4966,3464,3799,4137,4319,3815,4282,3766,3930,3274,2615,4397,3802
ACP2,86,80,103,68,51,131,123,106,100,95,117,82,116,75,94,107,81,174,93
ACP3,595,630,481,604,495,682,865,622,573,677,587,679,671,506,746,568,463,579,703
ACRV1,1,2,6,2,1,1,13,5,0,8,9,6,3,8,6,13,7,14,12
ACTB,48322,42798,54792,44952,37490,47952,57527,41676,37377,45714,50223,36200,42038,42389,54735,45384,30701,78920,48204
ACTG1,63793,62671,56048,52111,46679,60998,69491,52807,52256,57602,50896,44058,56587,53293,61071,48603,40691,61023,53030
ACTN4,2393,2219,2893,2143,1917,2514,2654,1982,1921,2216,2655,2246,2725,2483,2899,2140,1538,3317,2336
ACTL6A,1929,2022,2124,2031,1493,1739,2194,1667,1740,1802,2017,1939,2226,1769,1853,1391,950,1873,1600
ACTN1,1135,1003,1297,1128,806,966,1070,760,932,960,1321,1004,1221,1004,986,604,514,925,665
ACVR1,93,87,67,70,59,102,97,77,66,74,98,69,108,96,118,141,110,152,119
ACVR1B,176,243,147,170,210,228,247,184,183,216,196,227,220,229,262,202,140,144,270
ACVR2A,107,123,117,128,81,126,142,116,130,117,130,133,173,91,189,111,84,197,177
ACVR2B,322,365,145,247,206,288,354,264,219,230,259,307,400,263,346,237,198,138,333
ACVRL1,130,152,116,99,85,165,140,121,130,132,86,95,124,106,192,182,156,226,240
ACY1,88,78,120,79,104,82,87,89,68,91,71,79,83,104,73,49,22,63,53
ACYP1,1081,1128,1216,979,872,1026,1316,1042,981,1177,1130,1000,1084,1056,1057,813,577,1151,1002
ACYP2,285,237,247,279,178,270,269,212,225,233,234,157,214,174,226,193,161,413,238
ADA,1383,1371,1306,1056,941,1348,1353,1065,1121,1216,1562,1709,1884,1789,1185,996,792,1202,1163
ADAM8,24,25,26,15,22,35,24,20,18,13,24,24,24,13,33,31,42,86,41
ADAM10,7359,6684,4739,6508,4836,8256,7951,5127,5843,6394,6531,6649,8233,5587,10441,7734,6501,8409,9981
ADAR,4486,4257,3205,3878,3410,4500,5745,4103,4062,4207,4279,4096,5336,4773,4710,3873,3294,3355,4787
ADARB1,232,294,248,198,183,278,276,263,294,238,187,165,234,212,249,224,122,250,169
ADCY3,449,416,441,421,356,478,603,449,410,453,518,390,497,506,544,442,309,420,529
ADCY5,10,16,7,9,8,7,12,11,12,7,9,3,8,9,15,15,7,4,8
ADCY6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,3,1,2,5
ADCY7,1614,1549,1106,1376,1105,2343,2168,1391,1409,1406,1596,1621,2347,1653,3278,2701,2360,2173,3535
ADCY9,402,521,281,379,291,501,634,392,442,492,647,664,929,756,610,458,397,298,513
ADCYAP1R1,1,3,2,4,0,1,6,3,2,1,0,0,0,2,1,0,0,0,1
ADD1,1316,1392,1081,1158,991,1799,1756,1317,1337,1303,1485,1316,1563,1583,2277,1786,1618,1903,2203
ADD2,875,1059,605,805,798,938,1324,1016,851,999,984,1126,1527,1323,937,663,509,379,682
ADD3,2565,2321,1630,2072,1510,2360,2402,1506,1972,2150,1672,1735,2164,1333,2912,1915,1757,2386,2233
PLIN2,1089,1331,826,912,787,836,1047,814,804,1007,35,122,43,27,485,143,83,24,24
