col,experiment,cond,time,treatment,rep,drop
mr532-MV411-MYB-dTAG-DMSO_1h-r1_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-DMSO_1h,1h,DMSO,r1,False
mr533-MV411-MYB-dTAG-DMSO_1h-r2_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-DMSO_1h,1h,DMSO,r2,False
mr534-MV411-MYB-dTAG-DMSO_1h-r3_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-DMSO_1h,1h,DMSO,r3,False
mr535-MV411-MYB-dTAG-DMSO_1h-r4_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-DMSO_1h,1h,DMSO,r4,False
mr536-MV411-MYB-dTAG-VHL_1h-r1_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-VHL_1h,1h,VHL,r1,False
mr537-MV411-MYB-dTAG-VHL_1h-r2_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-VHL_1h,1h,VHL,r2,False
mr538-MV411-MYB-dTAG-VHL_1h-r3_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-VHL_1h,1h,VHL,r3,False
mr539-MONOMAC1-MYB-dTAG-DMSO_1h-r1_tcount,MONOMAC1-MYB-dTAG,MONOMAC1-MYB-dTAG-DMSO_1h,1h,DMSO,r1,False
mr540-MONOMAC1-MYB-dTAG-DMSO_1h-r2_tcount,MONOMAC1-MYB-dTAG,MONOMAC1-MYB-dTAG-DMSO_1h,1h,DMSO,r2,False
mr541-MONOMAC1-MYB-dTAG-DMSO_1h-r3_tcount,MONOMAC1-MYB-dTAG,MONOMAC1-MYB-dTAG-DMSO_1h,1h,DMSO,r3,False
mr542-MONOMAC1-MYB-dTAG-DMSO_1h-r4_tcount,MONOMAC1-MYB-dTAG,MONOMAC1-MYB-dTAG-DMSO_1h,1h,DMSO,r4,False
mr543-MONOMAC1-MYB-dTAG-VHL_1h-r1_tcount,MONOMAC1-MYB-dTAG,MONOMAC1-MYB-dTAG-VHL_1h,1h,VHL,r1,False
mr544-MONOMAC1-MYB-dTAG-VHL_1h-r2_tcount,MONOMAC1-MYB-dTAG,MONOMAC1-MYB-dTAG-VHL_1h,1h,VHL,r2,False
mr545-MONOMAC1-MYB-dTAG-VHL_1h-r3_tcount,MONOMAC1-MYB-dTAG,MONOMAC1-MYB-dTAG-VHL_1h,1h,VHL,r3,False
mr546-MONOMAC1-MYB-dTAG-VHL_1h-r4_tcount,MONOMAC1-MYB-dTAG,MONOMAC1-MYB-dTAG-VHL_1h,1h,VHL,r4,False
mr547-NOMO1-MYB-dTAG-DMSO_1h-r1_tcount,NOMO1-MYB-dTAG,NOMO1-MYB-dTAG-DMSO_1h,1h,DMSO,r1,False
mr548-NOMO1-MYB-dTAG-DMSO_1h-r2_tcount,NOMO1-MYB-dTAG,NOMO1-MYB-dTAG-DMSO_1h,1h,DMSO,r2,False
mr549-NOMO1-MYB-dTAG-DMSO_1h-r3_tcount,NOMO1-MYB-dTAG,NOMO1-MYB-dTAG-DMSO_1h,1h,DMSO,r3,False
mr550-NOMO1-MYB-dTAG-DMSO_1h-r4_tcount,NOMO1-MYB-dTAG,NOMO1-MYB-dTAG-DMSO_1h,1h,DMSO,r4,False
mr551-NOMO1-MYB-dTAG-VHL_1h-r1_tcount,NOMO1-MYB-dTAG,NOMO1-MYB-dTAG-VHL_1h,1h,VHL,r1,False
mr552-NOMO1-MYB-dTAG-VHL_1h-r2_tcount,NOMO1-MYB-dTAG,NOMO1-MYB-dTAG-VHL_1h,1h,VHL,r2,False
mr553-NOMO1-MYB-dTAG-VHL_1h-r3_tcount,NOMO1-MYB-dTAG,NOMO1-MYB-dTAG-VHL_1h,1h,VHL,r3,False
mr554-NOMO1-MYB-dTAG-VHL_1h-r4_tcount,NOMO1-MYB-dTAG,NOMO1-MYB-dTAG-VHL_1h,1h,VHL,r4,False
mr555-P31FUJ-MYB-dTAG-DMSO_1h-r1_tcount,P31FUJ-MYB-dTAG,P31FUJ-MYB-dTAG-DMSO_1h,1h,DMSO,r1,False
mr556-P31FUJ-MYB-dTAG-DMSO_1h-r2_tcount,P31FUJ-MYB-dTAG,P31FUJ-MYB-dTAG-DMSO_1h,1h,DMSO,r2,False
mr557-P31FUJ-MYB-dTAG-DMSO_1h-r3_tcount,P31FUJ-MYB-dTAG,P31FUJ-MYB-dTAG-DMSO_1h,1h,DMSO,r3,False
