,ERCC pseudo-counts,var,Experiments
MV411-MYB-dTAG-DMSO_1h,0.1600457603859523,0.008426430016153608,MV411-MYB-dTAG-DMSO_1h
MV411-MYB-dTAG-VHL_1h,0.1560827033162326,0.008527676185339362,MV411-MYB-dTAG-VHL_1h
MONOMAC1-MYB-dTAG-DMSO_1h,0.24367936713648392,0.023536504258493938,MONOMAC1-MYB-dTAG-DMSO_1h
MONOMAC1-MYB-dTAG-VHL_1h,0.24819517495810878,0.01154580837279659,MONOMAC1-MYB-dTAG-VHL_1h
NOMO1-MYB-dTAG-DMSO_1h,0.2101408597436938,0.008563276928150091,NOMO1-MYB-dTAG-DMSO_1h
NOMO1-MYB-dTAG-VHL_1h,0.20372841018771823,0.026154787670906416,NOMO1-MYB-dTAG-VHL_1h
P31FUJ-MYB-dTAG-DMSO_1h,0.2462603232828292,0.012467492812994713,P31FUJ-MYB-dTAG-DMSO_1h
P31FUJ-MYB-dTAG-VHL_1h,0.3390165638629101,0.07259415343506626,P31FUJ-MYB-dTAG-VHL_1h
THP1-MYB-dTAG-DMSO_1h,0.27026769727572103,0.01430083357688304,THP1-MYB-dTAG-DMSO_1h
THP1-MYB-dTAG-VHL_1h,0.3440499876504777,0.08421319614944978,THP1-MYB-dTAG-VHL_1h
