GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
A1BG,1.0,2.0,1.0,1.6,0.4,0.0,0.2,0.8,0.6,1.2,1.4,3.2,1.0,2.6
A2MP1,4.0,4.0,2.0,3.2,0.4,0.4,1.0,0.2,1.8,0.6,0.2,2.2,1.0,2.2
NAT1,194.0,235.6,324.4,301.6,260.4,293.2,208.2,205.2,170.4,252.0,228.0,240.6,210.6,132.0
AAMP,1160.2,934.6,1253.2,1040.6,1020.8,555.2,721.4,694.8,698.0,682.8,728.4,772.4,768.2,619.2
AARS1,715.0,608.0,651.2,646.0,564.2,442.4,453.6,611.8,462.6,660.4,665.4,695.0,974.4,517.0
ABAT,172.4,192.8,185.4,188.6,155.8,128.8,130.8,210.8,88.2,229.2,143.6,364.2,152.4,319.8
ABCA1,23.0,24.0,31.6,11.2,18.6,5.4,18.6,9.6,11.6,22.4,27.2,29.4,32.0,15.2
ABCA2,231.0,147.8,174.0,117.4,153.4,47.0,112.0,61.0,87.6,56.8,117.8,70.8,149.4,54.2
ABCA3,0.6,0.4,0.4,0.8,0.2,0.4,0.2,0.6,0.6,1.6,0.4,2.0,0.2,2.4
ABCB7,95.6,116.6,111.4,108.2,87.4,83.2,64.8,76.4,54.8,86.6,87.4,99.4,115.2,73.2
ABCF1,974.6,761.4,964.2,775.2,898.0,402.0,558.2,538.0,464.0,579.8,548.2,610.4,575.4,514.8
