GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
A1BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,16.0,21.0,49.0,32.0,18.0,26.0,30.0,30.0,13.0,32.0,26.0,48.0,37.0,25.0
AAMP,38.0,20.0,62.0,36.0,24.0,15.0,26.0,31.0,23.0,18.0,31.0,27.0,35.0,21.0
AARS1,35.0,42.0,75.0,72.0,27.0,26.0,36.0,39.0,25.0,33.0,47.0,55.0,105.0,32.0
ABAT,8.0,5.0,7.0,10.0,10.0,12.0,9.0,14.0,8.0,15.0,7.0,41.0,15.0,25.0
ABCA1,8.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,4.0,7.0,3.0,8.0,1.0
ABCA2,8.0,3.0,9.0,3.0,7.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,6.0,1.0
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
ABCF1,92.0,48.0,98.0,76.0,53.0,31.0,66.0,67.0,40.0,64.0,74.0,71.0,96.0,60.0
ABL1,96.0,56.0,121.0,86.0,43.0,37.0,47.0,66.0,41.0,57.0,68.0,83.0,97.0,26.0
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
