GENE,VHL_1h,DMSO_1h
A1BG,0.0,0.16666666666666666
A2MP1,0.0,0.0
NAT1,6.0,3.6666666666666665
AADAC,0.0,0.0
AAMP,11.833333333333334,9.333333333333334
AARS1,23.0,19.333333333333332
ABAT,12.666666666666666,9.0
ABCA1,5.5,7.833333333333333
ABCA2,1.5,4.833333333333333
ABCB7,0.16666666666666666,0.5
ABL1,44.333333333333336,40.833333333333336
AOC1,0.0,0.0
ABL2,40.833333333333336,31.833333333333332
ABO,0.0,0.0
ABR,9.5,6.833333333333333
ACAA1,11.0,12.166666666666666
ACACB,1.6666666666666667,1.1666666666666667
ACADM,2.5,2.6666666666666665
ACADS,1.6666666666666667,1.1666666666666667
ACADSB,10.833333333333334,10.166666666666666
ACADVL,3.6666666666666665,5.333333333333333
ACAT1,1.5,1.0
ACAT2,7.666666666666667,3.1666666666666665
ASIC2,0.0,0.0
ASIC1,1.8333333333333333,0.6666666666666666
ACLY,48.166666666666664,37.0
ACO1,0.5,1.0
ACO2,6.5,4.666666666666667
ACOX1,20.666666666666668,18.333333333333332
ACP1,42.0,43.5
ACP2,4.666666666666667,7.333333333333333
ACP3,3.3333333333333335,3.0
ACRV1,0.0,0.0
ACTB,845.0,690.5
ACTG1,1378.5,1230.0
ACTN4,45.5,51.833333333333336
ACTL6A,4.833333333333333,6.833333333333333
ACTN1,6.5,8.333333333333334
ACVR1,2.5,1.3333333333333333
ACVR1B,30.0,23.333333333333332
ACVR2A,4.833333333333333,3.3333333333333335
ACVR2B,17.333333333333332,13.833333333333334
ACVRL1,1.1666666666666667,1.0
ACY1,1.0,0.16666666666666666
ACYP1,7.166666666666667,6.5
ACYP2,0.0,0.6666666666666666
ADA,3.0,6.0
ADAM8,7.333333333333333,4.333333333333333
ADAM10,46.333333333333336,43.5
ADAR,115.66666666666667,106.0
ADARB1,12.0,11.833333333333334
ADCY1,0.0,0.0
ADCY2,0.0,0.0
ADCY3,7.166666666666667,5.166666666666667
ADCY5,0.0,0.0
ADCY6,1.6666666666666667,0.6666666666666666
ADCY7,101.0,80.33333333333333
ADCY9,140.66666666666666,177.16666666666666
ADCYAP1R1,0.3333333333333333,0.0
ADD1,35.166666666666664,25.5
ADD2,15.166666666666666,20.666666666666668
ADD3,4.5,4.5
