,mr359-MV411-MYB-dTAG-DMSO_1h-r1_tcount,mr360-MV411-MYB-dTAG-DMSO_1h-r2_tcount,mr361-MV411-MYB-dTAG-DMSO_1h-r3_tcount,mr362-MV411-MYB-dTAG-DMSO_1h-r4_tcount,mr363-MV411-MYB-dTAG-DMSO_1h-r5_tcount,mr364-MV411-MYB-dTAG-DMSO_1h-r6_tcount,mr365-MV411-MYB-dTAG-VHL_1h-r1_tcount,mr366-MV411-MYB-dTAG-VHL_1h-r2_tcount,mr367-MV411-MYB-dTAG-VHL_1h-r3_tcount,mr368-MV411-MYB-dTAG-VHL_1h-r4_tcount,mr369-MV411-MYB-dTAG-VHL_1h-r5_tcount,mr370-MV411-MYB-dTAG-VHL_1h-r6_tcount
A1BG,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,0.08928571428571429,0.1509433962264151,0.05263157894736842,0.0273972602739726,0.018518518518518517,0.06,0.04285714285714286,0.0963855421686747,0.07692307692307693,0.03389830508474576,0.15789473684210525,0.16
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAMP,0.016706443914081145,0.016129032258064516,0.03009259259259259,0.03353057199211045,0.009174311926605505,0.044715447154471545,0.03753351206434316,0.046875,0.02616279069767442,0.031331592689295036,0.02214022140221402,0.02823529411764706
AARS1,0.01857282502443793,0.015353121801432957,0.02682701202590194,0.023615635179153095,0.018218623481781375,0.025041736227045076,0.027744270205066344,0.03464870067372473,0.02761795166858458,0.022916666666666665,0.008130081300813009,0.02833158447009444
ABAT,0.04979253112033195,0.04639175257731959,0.038461538461538464,0.04417670682730924,0.04201680672268908,0.06766917293233082,0.10404624277456648,0.08189655172413793,0.0872093023255814,0.09411764705882353,0.025974025974025976,0.021621621621621623
ABCA1,0.0847457627118644,0.08888888888888889,0.1,0.14166666666666666,0.061224489795918366,0.10294117647058823,0.08196721311475409,0.12389380530973451,0.1,0.04918032786885246,0.05128205128205128,0.04054054054054054
ABCA2,0.045454545454545456,0.02666666666666667,0.018691588785046728,0.01809954751131222,0.05405405405405406,0.05825242718446602,0.006802721088435374,0.00625,0.013071895424836602,0.015151515151515152,0.0,0.014598540145985401
ABCB7,0.0,0.0,0.05263157894736842,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0
ABL1,0.052554744525547446,0.054276315789473686,0.08083832335329341,0.08028335301062574,0.055710306406685235,0.08785529715762273,0.08717105263157894,0.0935754189944134,0.0732899022801303,0.07355021216407355,0.018442622950819672,0.05873715124816446
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL2,0.028985507246376812,0.039030955585464336,0.05874125874125874,0.061843640606767794,0.04918032786885246,0.060041407867494824,0.09278350515463918,0.08060453400503778,0.0582010582010582,0.06329113924050633,0.02736318407960199,0.06041335453100159
ABO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,0.28205128205128205,0.03225806451612903,0.11864406779661017,0.11764705882352941,0.2857142857142857,0.3333333333333333,0.2903225806451613,0.265625,0.21428571428571427,0.2564102564102564,0.13043478260869565,0.2571428571428571
ACAA1,0.02225130890052356,0.0234375,0.013089005235602094,0.017834394904458598,0.01680672268907563,0.03021978021978022,0.02106969205834684,0.010680907877169559,0.01800327332242226,0.02309782608695652,0.015817223198594025,0.011477761836441894
ACACB,0.0,0.01818181818181818,0.022727272727272728,0.0851063829787234,0.0,0.04,0.024390243902439025,0.08771929824561403,0.075,0.02564102564102564,0.0,0.0
ACADM,0.005847953216374269,0.008955223880597015,0.0,0.0029850746268656717,0.007662835249042145,0.028070175438596492,0.008875739644970414,0.00808080808080808,0.009259259259259259,0.006269592476489028,0.0,0.00967741935483871
ACADS,0.0,0.0,0.043478260869565216,0.017857142857142856,0.0,0.13793103448275862,0.07692307692307693,0.020833333333333332,0.041666666666666664,0.02631578947368421,0.043478260869565216,0.03636363636363636
ACADSB,0.006963788300835654,0.008995502248875561,0.005172413793103448,0.023545706371191136,0.023404255319148935,0.04157549234135667,0.017110266159695818,0.033121019108280254,0.01079136690647482,0.01455604075691412,0.00663716814159292,0.01746031746031746
ACADVL,0.020151133501259445,0.01092896174863388,0.01882845188284519,0.010526315789473684,0.009950248756218905,0.01680672268907563,0.0103359173126615,0.015544041450777202,0.012084592145015106,0.0076726342710997444,0.003436426116838488,0.011142061281337047
ACAT1,0.0,0.013513513513513514,0.00625,0.0,0.011235955056179775,0.023255813953488372,0.0072992700729927005,0.006578947368421052,0.02608695652173913,0.02142857142857143,0.0,0.006666666666666667
ACAT2,0.002785515320334262,0.0015003750937734434,0.0032388663967611335,0.0,0.0009940357852882703,0.008639308855291577,0.004344048653344918,0.008039579468150896,0.005967604433077579,0.0049680624556423,0.0045045045045045045,0.006334125098970704
ASIC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIC1,0.006756756756756757,0.0,0.003205128205128205,0.003067484662576687,0.0,0.0,0.017391304347826087,0.0036231884057971015,0.003968253968253968,0.003861003861003861,0.0,0.014760147601476014
ACLY,0.016289592760180997,0.011932078935291418,0.017818339852238158,0.014393939393939395,0.01643835616438356,0.03896103896103896,0.029350104821802937,0.03431570448122729,0.01950975487743872,0.018747142203932327,0.01,0.02153316106804479
ACO1,0.005376344086021506,0.006666666666666667,0.012903225806451613,0.0,0.0,0.023255813953488372,0.0,0.017964071856287425,0.0,0.0,0.0,0.0
ACO2,0.008316008316008316,0.009569377990430622,0.02608695652173913,0.005263157894736842,0.006993006993006993,0.011627906976744186,0.013986013986013986,0.015151515151515152,0.022670025188916875,0.016548463356973995,0.0058309037900874635,0.014373716632443531
ACOX1,0.027868852459016394,0.02843601895734597,0.03063063063063063,0.04783258594917788,0.030303030303030304,0.04155124653739612,0.05530973451327434,0.0532258064516129,0.02697841726618705,0.03425774877650897,0.019736842105263157,0.037037037037037035
ACP1,0.02564102564102564,0.029888983774551667,0.03906836964688205,0.051209103840682786,0.03664921465968586,0.05198019801980198,0.05132591958939264,0.045327754532775454,0.02925531914893617,0.02616279069767442,0.011423550087873463,0.037751677852348994
ACP2,0.10989010989010989,0.036585365853658534,0.08737864077669903,0.10091743119266056,0.10638297872340426,0.10909090909090909,0.07792207792207792,0.045454545454545456,0.02247191011235955,0.08045977011494253,0.047619047619047616,0.07792207792207792
ACP3,0.008403361344537815,0.04424778761061947,0.032520325203252036,0.03968253968253968,0.011904761904761904,0.024096385542168676,0.020202020202020204,0.051470588235294115,0.025,0.0380952380952381,0.018691588785046728,0.016
ACRV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,0.01849582822801797,0.01417109212652967,0.02132058405478744,0.02176185498432006,0.01933934440043819,0.03320748589290789,0.027153974430239022,0.03093497843045218,0.022334028715179775,0.020708554638942254,0.010277671323555029,0.024497455143694412
ACTG1,0.021375196433725666,0.016307460976657598,0.025767957250106548,0.0262353653315223,0.022328282491155465,0.035082214133299865,0.03339041095890411,0.03447193597321756,0.026349848331648128,0.024985473561882625,0.01228048116014921,0.02542132440560631
ACTN4,0.013055641902393535,0.012198936502971536,0.020604007902907142,0.01848101265822785,0.01524390243902439,0.0236013986013986,0.014180206794682423,0.016865594187856773,0.013554727211114876,0.01744186046511628,0.002512562814070352,0.01743498817966903
ACTL6A,0.006060606060606061,0.012698412698412698,0.04,0.023668639053254437,0.028089887640449437,0.04390243902439024,0.014492753623188406,0.02972972972972973,0.013986013986013986,0.006535947712418301,0.007575757575757576,0.018808777429467086
ACTN1,0.00779896013864818,0.00657354149548069,0.00744047619047619,0.007670850767085077,0.001326259946949602,0.014745308310991957,0.01097972972972973,0.0013253810470510272,0.0008960573476702509,0.0049504950495049506,0.002688172043010753,0.010542168674698794
ACVR1,0.028169014084507043,0.014925373134328358,0.017857142857142856,0.028985507246376812,0.0,0.044444444444444446,0.0784313725490196,0.06172839506172839,0.07692307692307693,0.0,0.0425531914893617,0.0
ACVR1B,0.07364341085271318,0.047058823529411764,0.10600706713780919,0.09348441926345609,0.12396694214876033,0.16230366492146597,0.10416666666666667,0.19003115264797507,0.0990990990990991,0.11857707509881422,0.06741573033707865,0.11363636363636363
ACVR2A,0.03278688524590164,0.025,0.039473684210526314,0.04950495049504951,0.13333333333333333,0.029850746268656716,0.1095890410958904,0.14432989690721648,0.045454545454545456,0.015873015873015872,0.0,0.02857142857142857
ACVR2B,0.05851063829787234,0.028846153846153848,0.095,0.0641025641025641,0.14563106796116504,0.12781954887218044,0.09497206703910614,0.13524590163934427,0.0825242718446602,0.09278350515463918,0.034482758620689655,0.08695652173913043
ACVRL1,0.008928571428571428,0.027777777777777776,0.007246376811594203,0.0,0.0,0.013888888888888888,0.02247191011235955,0.02962962962962963,0.0,0.009259259259259259,0.0,0.0
ACY1,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.034482758620689655,0.015151515151515152,0.0
ACYP1,0.02727272727272727,0.04,0.06878306878306878,0.004424778761061947,0.017699115044247787,0.061224489795918366,0.05084745762711865,0.04205607476635514,0.025157232704402517,0.039301310043668124,0.014598540145985401,0.05025125628140704
ACYP2,0.0,0.0,0.0,0.045454545454545456,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0
ADA,0.003271537622682661,0.0013003901170351106,0.00932642487046632,0.011904761904761904,0.010893246187363835,0.012658227848101266,0.00816326530612245,0.003416856492027335,0.005988023952095809,0.0037641154328732747,0.0,0.0024509803921568627
ADAM8,0.10416666666666667,0.1,0.0851063829787234,0.08888888888888889,0.13043478260869565,0.3684210526315789,0.16666666666666666,0.2857142857142857,0.22857142857142856,0.23684210526315788,0.07142857142857142,0.1794871794871795
ADAM10,0.015477538693846734,0.012052593133674214,0.018125723100655612,0.0189873417721519,0.016515716568993075,0.026329113924050632,0.020875972165370446,0.02478134110787172,0.01768172888015717,0.015255530129672006,0.0032017075773745998,0.01881224640354113
ADAR,0.025582717453098352,0.0261795166858458,0.03291139240506329,0.03811121764141898,0.042346938775510205,0.0465341735336888,0.04897815362931642,0.04855923159018143,0.030989670109963344,0.035107587768969425,0.012633996937212864,0.035590277777777776
ADARB1,0.0273972602739726,0.027426160337552744,0.031315240083507306,0.01967799642218247,0.022641509433962263,0.04697986577181208,0.02710027100271003,0.021825396825396824,0.04285714285714286,0.036036036036036036,0.004545454545454545,0.034545454545454546
ADCY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY3,0.01639344262295082,0.012594458438287154,0.014423076923076924,0.014830508474576272,0.021052631578947368,0.013636363636363636,0.03067484662576687,0.026252983293556086,0.040498442367601244,0.011049723756906077,0.006578947368421052,0.00804289544235925
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.02631578947368421,0.0,0.03225806451612903,0.047619047619047616,0.0,0.0,0.02857142857142857,0.1,0.0,0.05714285714285714,0.0,0.06
ADCY7,0.0380952380952381,0.04185022026431718,0.043615344193378876,0.056818181818181816,0.0361328125,0.07903225806451612,0.07919463087248323,0.07780548628428928,0.057313432835820896,0.056246619794483504,0.015578635014836795,0.06299659477866061
ADCY9,0.11680572109654351,0.09987437185929648,0.10850599781897492,0.12330097087378641,0.10081112398609501,0.15272727272727274,0.11560226354082458,0.11754282339043119,0.08965014577259475,0.11020151133501259,0.06795016987542468,0.09461235216819974
ADCYAP1R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0
ADD1,0.018315018315018316,0.00988793671720501,0.01549529607083564,0.018225419664268584,0.02026221692491061,0.02612330198537095,0.027906976744186046,0.031108597285067874,0.024424284717376135,0.019668100799016593,0.010806317539484621,0.021879021879021878
ADD2,0.008542445274959957,0.00830860534124629,0.01105583195135434,0.015249537892791128,0.01821668264621285,0.019281332164767746,0.010666666666666666,0.012441679626749611,0.010437051532941943,0.01336432306798373,0.00398406374501992,0.0033444816053511705
ADD3,0.00510204081632653,0.0064516129032258064,0.008278145695364239,0.010736196319018405,0.008130081300813009,0.01098901098901099,0.010291595197255575,0.017467248908296942,0.0018975332068311196,0.003766478342749529,0.002257336343115124,0.00819672131147541
PLIN2,0.013392857142857142,0.01327433628318584,0.0,0.023346303501945526,0.0,0.034482758620689655,0.005917159763313609,0.024509803921568627,0.020942408376963352,0.01195219123505976,0.009174311926605505,0.0
ADH5,0.009389671361502348,0.016587677725118485,0.021413276231263382,0.0199203187250996,0.01060070671378092,0.02527075812274368,0.02546296296296296,0.025,0.02512562814070352,0.007058823529411765,0.002849002849002849,0.027426160337552744
ADH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK,0.01729106628242075,0.002857142857142857,0.009836065573770493,0.007874015748031496,0.0045045045045045045,0.00816326530612245,0.013986013986013986,0.007653061224489796,0.02040816326530612,0.025078369905956112,0.0035842293906810036,0.006472491909385114
ADORA1,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.5,0.0,0.0,0.1
ADORA2A,0.07692307692307693,0.047619047619047616,0.1282051282051282,0.02857142857142857,0.14285714285714285,0.2,0.037037037037037035,0.10256410256410256,0.125,0.06896551724137931,0.22727272727272727,0.0
ADORA2B,0.05970149253731343,0.02564102564102564,0.08227848101265822,0.07142857142857142,0.06593406593406594,0.1111111111111111,0.10569105691056911,0.10989010989010989,0.08333333333333333,0.06349206349206349,0.012195121951219513,0.07086614173228346
ADORA3,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.09090909090909091
ADPRH,0.008771929824561403,0.00847457627118644,0.02,0.014705882352941176,0.0641025641025641,0.0,0.00980392156862745,0.027777777777777776,0.0392156862745098,0.0,0.010638297872340425,0.008264462809917356
PARP1,0.01238390092879257,0.013184584178498986,0.02021174205967276,0.017975402081362345,0.017152658662092625,0.02511773940345369,0.016835016835016835,0.024464831804281346,0.014634146341463415,0.014856081708449397,0.0045871559633027525,0.010232558139534883
PARP4,0.0,0.0,0.047619047619047616,0.030303030303030304,0.0,0.05555555555555555,0.047619047619047616,0.10810810810810811,0.0,0.0,0.0,0.029411764705882353
ADRA1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
ADRB1,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.15789473684210525,0.06666666666666667,0.25,0.0,0.06666666666666667,0.0,0.25
ADRB2,0.22,0.07142857142857142,0.04,0.14925373134328357,0.2,0.21621621621621623,0.1,0.1724137931034483,0.0,0.0,0.16666666666666666,0.0
GRK2,0.03779244151169766,0.032989690721649485,0.03503035964502569,0.039613081529249194,0.03655913978494624,0.046046915725456126,0.032081911262798635,0.024498886414253896,0.031966643502432245,0.029861111111111113,0.006216696269982238,0.024787997390737115
GRK3,0.02576112412177986,0.020964360587002098,0.04814004376367615,0.04449152542372881,0.05102040816326531,0.043343653250773995,0.04143646408839779,0.06548672566371681,0.03940886699507389,0.04157549234135667,0.017421602787456445,0.042316258351893093
ADSL,0.023255813953488372,0.014285714285714285,0.043478260869565216,0.03597122302158273,0.015873015873015872,0.0,0.0,0.023809523809523808,0.0,0.012987012987012988,0.012048192771084338,0.03125
ADSS2,0.011764705882352941,0.01932367149758454,0.006880733944954129,0.009861932938856016,0.010135135135135136,0.019736842105263157,0.012987012987012988,0.014767932489451477,0.01201923076923077,0.013824884792626729,0.006153846153846154,0.022821576763485476
AP2A1,0.009316770186335404,0.011627906976744186,0.008287292817679558,0.016172506738544475,0.02717391304347826,0.02857142857142857,0.013157894736842105,0.03305785123966942,0.024390243902439025,0.006060606060606061,0.01195219123505976,0.01567398119122257
AP2A2,0.0,0.02158273381294964,0.019867549668874173,0.006493506493506494,0.0,0.0410958904109589,0.008,0.04065040650406504,0.01834862385321101,0.04,0.0,0.015037593984962405
AP1B1,0.006134969325153374,0.016587677725118485,0.029045643153526972,0.0328719723183391,0.018018018018018018,0.050980392156862744,0.04155844155844156,0.04184100418410042,0.03875968992248062,0.0515695067264574,0.0189873417721519,0.029023746701846966
AP2B1,0.01171875,0.013311148086522463,0.01808201485308363,0.023946912867859205,0.014196479273140262,0.016519823788546256,0.02072538860103627,0.01946847960444994,0.01245480112494978,0.013871374527112233,0.008120178643930167,0.011986301369863013
AP1G1,0.04970513900589722,0.03723404255319149,0.066815144766147,0.06506724827335514,0.061908230152949745,0.11038536903984324,0.0727470141150923,0.09757023538344722,0.06030389363722697,0.04801670146137787,0.022651565622918056,0.06347150259067358
TLE5,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.02857142857142857,0.01680672268907563,0.0,0.009708737864077669,0.0
CRISP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
