GENE,VHL_1h,DMSO_1h
A1BG,2.0,1.6666666666666667
A2MP1,5.5,6.166666666666667
NAT1,65.16666666666667,57.5
AADAC,2.0,3.1666666666666665
AAMP,363.5,366.1666666666667
AARS1,898.8333333333334,900.6666666666666
ABAT,181.0,190.83333333333334
ABCA1,68.16666666666667,76.16666666666667
ABCA2,147.16666666666666,153.16666666666666
ABCB7,31.833333333333332,32.666666666666664
ABCF1,330.5,354.1666666666667
ABL1,635.8333333333334,592.6666666666666
AOC1,2.6666666666666665,2.1666666666666665
ABL2,624.6666666666666,649.8333333333334
ABO,1.8333333333333333,2.8333333333333335
ABR,2012.3333333333333,2033.3333333333333
ACAA1,668.0,615.5
ACACA,871.6666666666666,871.5
ACACB,37.333333333333336,39.0
ACADM,346.0,313.1666666666667
ACADS,41.833333333333336,42.166666666666664
ACADSB,607.8333333333334,604.8333333333334
ACADVL,357.5,359.1666666666667
ACAT1,138.66666666666666,135.66666666666666
ACAT2,1324.6666666666667,1223.8333333333333
ASIC2,5.333333333333333,5.666666666666667
ASIC1,247.33333333333334,244.66666666666666
ACLY,2123.3333333333335,2047.3333333333333
ACO1,140.33333333333334,138.33333333333334
ACO2,434.8333333333333,413.6666666666667
ACOX1,545.0,533.3333333333334
ACP1,1240.3333333333333,1125.0
ACP2,80.16666666666667,81.16666666666667
ACP3,116.16666666666667,109.16666666666667
ACRV1,1.6666666666666667,2.1666666666666665
ACTB,36550.333333333336,33502.5
ACTG1,52536.333333333336,51696.333333333336
ACTN4,3255.6666666666665,3041.0
ACTL6A,303.6666666666667,282.0
ACTN1,1251.0,1114.1666666666667
ACVR1,57.166666666666664,59.333333333333336
ACVR1B,246.83333333333334,244.0
ACVR2A,71.16666666666667,72.16666666666667
ACVR2B,183.33333333333334,178.33333333333334
ACVRL1,106.83333333333333,113.5
ACY1,56.0,49.5
ACYP1,188.33333333333334,183.83333333333334
ACYP2,71.16666666666667,65.66666666666667
ADA,768.5,769.6666666666666
ADAM8,36.5,35.833333333333336
ADAM10,2608.3333333333335,2475.6666666666665
ADAR,3203.1666666666665,3129.8333333333335
ADARB1,407.3333333333333,419.8333333333333
ADCY1,5.166666666666667,4.333333333333333
ADCY2,3.8333333333333335,3.5
ADCY3,350.8333333333333,343.6666666666667
ADCY5,5.166666666666667,5.0
ADCY6,37.166666666666664,25.833333333333332
ADCY7,1691.8333333333333,1650.5
ADCY9,1384.6666666666667,1523.1666666666667
ADCYAP1R1,6.166666666666667,4.0
ADD1,1515.8333333333333,1476.6666666666667
ADD2,1665.0,1621.0
ADD3,564.8333333333334,550.0
PLIN2,209.83333333333334,194.66666666666666
ADH5,435.5,404.6666666666667
ADH6,12.166666666666666,10.5
ADK,313.5,308.5
ADORA1,6.5,7.666666666666667
ADORA2A,29.5,25.333333333333332
ADORA2B,126.83333333333333,133.5
ADORA3,6.5,4.166666666666667
ADPRH,111.0,103.66666666666667
PARP1,958.5,884.3333333333334
PARP4,82.5,72.33333333333333
ADRA1A,13.166666666666666,10.166666666666666
ADRA2B,4.166666666666667,3.8333333333333335
ADRA2C,2.5,1.8333333333333333
ADRB1,14.833333333333334,15.5
ADRB2,21.666666666666668,46.833333333333336
GRK2,1466.8333333333333,1586.8333333333333
GRK3,422.5,409.0
ADSL,96.5,88.33333333333333
ADSS2,420.5,398.6666666666667
AP2A1,316.0,299.0
AP2A2,243.66666666666666,245.0
AP1B1,398.5,408.1666666666667
AP2B1,2799.8333333333335,2704.3333333333335
AP1G1,2139.5,2094.8333333333335
TLE5,127.16666666666667,114.16666666666667
CRISP1,3.5,3.5
AFG3L1P,453.0,420.6666666666667
AGA,689.0,648.1666666666666
AGER,108.16666666666667,92.83333333333333
