GENE,VHL_1h,DMSO_1h
A1BG,0.0,0.0
A2MP1,0.0,0.0
NAT1,5.5,3.0
AADAC,0.0,0.0
AAMP,12.0,9.0
AARS1,24.0,17.0
ABAT,15.5,9.0
ABCA1,4.0,7.0
ABCA2,1.5,4.0
ABCB7,0.0,0.0
ABCF1,21.5,26.0
ABL1,48.5,35.0
AOC1,0.0,0.0
ABL2,41.5,29.0
ABO,0.0,0.0
ABR,85.5,70.5
ACAA1,10.0,12.5
ACACA,44.5,40.0
ACACB,1.0,1.0
ACADM,3.0,2.0
ACADS,1.5,0.5
ACADSB,9.5,8.5
ACADVL,4.0,4.5
ACAT1,1.0,1.0
ACAT2,7.0,3.0
ASIC2,0.0,0.0
ASIC1,1.0,0.5
ACLY,45.5,37.0
ACO1,0.0,1.0
ACO2,7.0,3.5
ACOX1,21.0,17.0
ACP1,40.5,38.5
ACP2,5.0,7.5
ACP3,2.5,3.0
ACRV1,0.0,0.0
ACTB,853.5,736.5
ACTG1,1410.5,1231.5
ACTN4,51.5,49.0
ACTL6A,4.0,6.5
ACTN1,4.5,9.5
ACVR1,3.0,1.5
ACVR1B,27.5,24.5
ACVR2A,3.0,2.5
ACVR2B,17.5,15.0
ACVRL1,0.5,1.0
ACY1,0.5,0.0
ACYP1,9.0,7.0
ACYP2,0.0,0.0
ADA,3.0,5.5
ADAM8,7.5,4.0
ADAM10,48.0,44.0
ADAR,123.5,94.5
ADARB1,13.0,12.5
ADCY1,0.0,0.0
ADCY2,0.0,0.0
ADCY3,7.0,5.5
ADCY5,0.0,0.0
ADCY6,1.5,0.5
ADCY7,108.0,79.5
ADCY9,143.5,182.0
ADCYAP1R1,0.0,0.0
ADD1,34.5,26.5
ADD2,16.0,19.5
ADD3,3.5,4.5
PLIN2,2.5,3.0
ADH5,10.5,7.0
ADH6,0.0,0.0
ADK,3.5,2.5
ADORA1,1.0,0.0
ADORA2A,3.0,2.0
ADORA2B,9.5,9.5
ADORA3,0.0,0.0
ADPRH,1.0,1.5
PARP1,13.5,14.5
PARP4,3.5,2.5
ADRA1A,0.0,0.0
ADRA2B,0.0,0.0
ADRA2C,0.0,0.0
ADRB1,1.0,1.0
ADRB2,1.0,7.5
GRK2,43.5,58.0
GRK3,17.5,14.5
ADSL,1.0,1.5
ADSS2,5.5,5.0
AP2A1,4.5,4.5
AP2A2,7.0,5.5
AP1B1,15.5,10.0
AP2B1,39.5,38.5
AP1G1,130.5,134.0
TLE5,1.5,0.0
CRISP1,0.0,0.0
AFG3L1P,51.0,35.0
AGA,3.5,4.0
AGER,9.5,5.5
AGL,1.5,2.5
JAG1,3.5,4.0
AGT,1.0,0.0
AHCY,22.0,23.5
AHR,27.5,52.5
AIF1,12.5,8.5
CRYBG1,1.0,6.5
AK1,0.5,0.0
AK2,146.5,172.0
AK4,0.0,0.5
AKT1,27.5,17.0
AKT2,25.5,22.5
ALAD,15.5,14.5
ALAS1,3.5,3.0
ALCAM,2.0,2.5
ABCD1,6.5,7.5
ALDH2,1.5,0.5
ALDH1B1,60.5,31.0
ALDH1A3,0.0,0.0
ALDH3B1,18.0,11.0
ALDH9A1,21.5,19.5
ALDH3A2,5.0,5.0
ABCD2,3.5,2.0
ALDOA,58.0,43.5
ALDOB,0.0,0.0
ALDOC,2.0,0.0
AKR1B1,1.5,2.0
ALOX12,0.0,0.0
ALOX5AP,10.5,4.0
ALOX12B,0.0,0.0
ALOX15B,0.0,0.0
ALPP,0.0,0.0
ALX3,0.0,0.0
AMD1,123.0,138.5
AMFR,10.5,9.0
AMH,0.0,0.0
AMPD2,17.5,7.5
AMPD3,1.5,1.0
AMPH,0.0,0.0
BIN1,0.0,0.0
AMT,1.0,1.5
AMY2B,0.0,0.0
ANGPT1,1.0,0.0
ANGPT2,0.0,0.0
ANK1,0.0,0.0
ANK2,5.5,5.0
ANK3,0.0,0.0
ANPEP,0.0,0.0
SLC25A4,0.0,0.0
SLC25A5,23.5,21.0
SLC25A6,99.0,64.0
ANXA1,3.5,5.5
ANXA2,19.0,13.0
303,0.0,0.0
ANXA3,0.0,0.0
ANXA4,0.0,0.5
ANXA5,9.0,8.5
ANXA6,0.5,1.0
ANXA7,3.0,4.5
ANXA11,10.5,7.5
AOAH,0.0,0.0
AOC2,0.0,0.0
APAF1,11.5,12.5
NUDT2,0.5,1.0
APOF,0.0,0.0
APBA1,18.0,18.0
APBA2,0.0,0.0
APBB1,0.0,0.0
APBB2,2.5,1.5
APC,6.0,7.0
AIRE,0.0,0.0
APEH,2.5,3.5
APEX1,32.5,25.5
BIRC2,2.5,0.5
BIRC3,0.0,0.0
XIAP,51.0,42.0
BIRC5,40.5,33.0
APLP1,0.0,0.0
APLP2,27.5,26.5
APOA2,0.0,0.0
APOC1,0.0,0.0
APOC2,20.0,18.5
APOC4,0.0,0.0
APP,3.5,3.0
APRT,4.5,3.5
FAS,0.0,0.0
AQP1,6.0,1.5
AQP3,4.5,7.0
AR,0.0,0.0
ABCC6,0.0,0.0
ARAF,21.0,14.0
ARCN1,165.0,158.5
TRIM23,5.0,4.0
AREG,0.0,0.0
ARF1,200.0,183.5
ARF3,89.0,69.0
ARF4,54.0,41.0
ARL4D,1.0,0.5
ARF5,6.5,2.5
ARF6,280.5,265.5
ARG2,0.0,0.0
RHOA,191.5,185.0
RHOB,23.5,19.0
RHOC,2.5,1.0
RND3,0.0,0.0
RHOG,76.0,59.0
ARHGAP1,41.5,55.5
ARHGAP4,2.5,1.0
ARHGAP5,0.0,0.0
ARHGAP6,0.0,0.0
ARHGDIA,229.5,169.0
ARHGDIB,69.0,111.5
RHOH,5.0,7.0
ARL1,28.0,19.0
PHOX2A,0.0,0.0
ARL2,3.5,1.0
ARL3,2.0,2.5
ARNT,21.5,15.0
ARNTL,2.0,2.5
ARRB1,51.0,54.0
ARRB2,35.0,16.0
ARSA,5.0,1.5
ARSB,23.5,21.5
STS,10.0,6.5
ARSD,17.0,12.0
ARSL,0.0,0.0
ARVCF,1.0,1.0
ASAH1,7.5,9.0
ASCL1,0.0,0.0
ASGR1,0.0,0.0
ASGR2,0.0,0.0
ASL,0.0,1.0
GET3,3.5,3.0
ASNS,0.0,1.5
ASPH,22.5,20.0
ASS1,3.0,1.0
ASTN1,0.0,0.0
ZFHX3,1.5,0.5
ATF1,12.0,14.0
ATF3,44.5,32.5
ATF4,65.0,41.5
ATIC,3.0,2.5
ATM,18.5,20.0
RERE,20.5,21.0
ATOX1,1.0,1.0
ATP1A1,10.0,9.0
ATP1A2,0.5,0.0
ATP1A3,0.0,0.0
ATP1B1,1.0,0.0
ATP1B2,0.0,0.0
ATP1B3,28.0,23.0
ATP2A1,1.0,0.0
ATP2A2,195.5,186.0
ATP2A3,11.5,19.5
ATP2B1,53.5,58.0
ATP2B2,0.5,1.0
ATP2B3,1.0,1.5
ATP2B4,33.0,66.0
ATP4B,0.0,0.0
ATP5F1A,5.0,4.0
ALDH7A1,0.0,0.0
ATP5F1B,14.0,14.5
ATP5F1C,6.0,2.0
ATP5F1D,7.0,3.5
ATP5F1E,7.5,8.0
ATP5PB,12.0,10.0
ATP5MC1,0.5,2.0
ATP5MC2,9.0,11.0
ATP5MC3,34.5,26.0
ATP5ME,8.0,5.5
ATP5PF,1.0,1.0
ATP6V1A,25.5,18.0
ATP6V1B2,76.0,66.0
ATP6V0C,38.5,25.5
ATP6V1C1,35.5,32.0
ATP6V1E1,19.0,19.0
ATP6V0B,40.0,45.0
ATP6V1G2,2.0,1.5
ATP6V0A1,16.0,8.0
ATP6AP1,7.0,7.0
ATP7A,0.5,1.0
ATP5PO,1.0,3.5
ATP7B,0.0,0.0
ATR,0.0,0.5
ATRX,14.0,14.5
KIF1A,0.0,0.0
AUH,0.0,0.0
AUP1,175.0,147.0
AVPR2,0.0,0.0
AXL,2.0,1.0
AZU1,0.0,2.5
B2M,42.0,40.5
BAAT,0.0,0.0
BACH1,78.5,77.0
BAD,1.5,0.5
BAG1,34.5,27.0
574,0.5,1.0
ADGRB1,0.0,0.0
BAK1,11.0,10.5
NKX3-2,1.0,0.0
BARD1,45.0,50.5
BAX,8.0,9.0
BBS1,3.5,4.5
BBS2,1.0,0.5
BBS4,2.5,3.0
BCAT1,103.5,75.0
BCAT2,1.5,2.5
BCKDHA,3.5,2.5
BCKDHB,2.0,1.5
CCND1,2.0,0.0
BCL2,182.5,168.0
BCL2A1,0.0,0.0
BCL2L1,33.0,23.5
BCL2L2,35.0,34.5
BCL3,44.5,21.5
BCL6,1.5,0.5
BCL7A,83.0,59.0
BCL9,1.0,1.0
OPN1SW,0.0,0.0
BCR,2.0,2.0
BCS1L,0.5,0.0
BDH1,4.5,3.0
BDKRB2,0.0,0.0
BDNF,0.0,0.0
BFSP1,0.0,0.0
BGLAP,0.5,1.0
CEACAM1,0.0,0.0
BICD1,0.0,0.0
BID,37.0,45.0
BIK,1.0,2.5
PRDM1,20.0,7.5
BLK,0.0,0.0
BLM,0.5,0.5
BLMH,9.5,9.5
CXCR5,0.0,0.0
BLVRB,1.5,1.5
BNC1,0.0,0.0
BMI1,19.5,18.0
BMP1,8.5,8.5
BMP2,0.0,0.0
BMP3,0.0,0.0
BMP4,0.0,0.0
BMP6,0.0,0.0
BMP8B,5.5,1.5
BMPR1A,8.5,8.5
BMPR1B,0.0,0.0
BMPR2,5.0,8.0
POLR3D,25.5,24.0
BNIP1,6.5,4.0
BNIP2,88.0,104.0
BNIP3,0.0,0.0
BNIP3L,13.5,6.0
BOK,0.0,0.0
DST,0.5,0.5
FOXL2,0.0,0.0
BPGM,3.5,2.0
BPHL,0.5,0.0
BRCA1,32.5,22.0
BRAF,0.0,0.0
BRCA2,20.5,17.5
ZFP36L1,58.0,56.5
ZFP36L2,693.0,1006.5
BSG,39.0,29.0
BST1,0.0,0.0
BST2,3.0,2.5
BTD,1.0,0.5
KLF9,73.0,69.5
KLF5,5.5,4.5
BTF3,18.5,19.5
BTG1,17.0,23.5
BTK,6.0,4.0
BUB1,0.5,1.5
BUB1B,8.0,7.5
BYSL,20.5,15.5
TSPO,1.0,2.5
C1QBP,21.5,19.0
SERPING1,0.0,0.0
