,DMSO,YLK
NAT1,105.0,82.5
AAMP,1423.0,814.0
AARS1,815.0,517.0
ABAT,176.5,130.0
ABCA1,28.5,25.0
ABCA2,394.0,208.5
ABCA3,3.5,4.0
ABCB7,40.0,35.0
ABCF1,3.0,3.0
ABL1,1673.5,925.5
ABL2,701.5,475.5
ABO,8.5,4.5
ABR,72.5,54.5
ACAA1,2196.0,1290.5
ACACA,6.0,3.0
ACACB,68.0,40.0
ACADM,558.0,554.0
ACADS,193.0,105.5
ACADSB,1370.0,1106.0
ACADVL,690.5,444.0
ACAT1,614.5,429.0
ACAT2,2629.0,2799.5
ASIC1,271.5,152.0
ACLY,4196.5,3165.0
ACO1,375.5,282.0
ACO2,1374.5,885.0
ACOX1,932.0,728.5
ACP1,2356.0,1905.5
ACP2,186.0,137.0
ACPP,722.5,569.5
ACTA2,12.0,4.0
ACTB,131998.5,92656.5
ACTG1,137251.0,86463.0
ACTN4,10315.0,6228.5
ACTL6A,656.5,526.0
ACTN1,2704.5,1824.0
ACVR1,62.0,50.5
ACVR1B,560.0,282.5
ACVR2A,45.0,41.5
ACVR2B,307.5,200.5
ACVRL1,220.5,123.0
ACY1,212.5,157.5
ACYP1,414.5,306.5
ACYP2,63.5,62.0
ADA,2411.0,1404.5
ADAM8,32.0,22.0
ADAM10,3921.5,3597.5
ADAR,7020.5,4587.5
ADARB1,745.5,490.5
ADCY1,37.0,23.5
ADCY3,1219.5,806.0
ADCY5,3.5,3.0
ADCY6,18.5,12.5
ADCY7,2946.5,2169.5
ADCY9,4355.5,2378.0
ADD1,4748.0,2552.0
ADD2,3586.0,2245.0
ADD3,599.5,521.0
PLIN2,666.5,486.5
ADH5,1041.0,786.5
ADK,669.0,597.5
ADORA1,4.0,3.0
ADORA2A,39.5,52.0
ADORA2B,187.0,153.0
ADORA3,4.0,1.5
ADPRH,216.5,165.0
PARP1,2510.0,1779.5
PARP4,14.5,10.0
ADRA2C,17.0,6.5
ADRB1,10.0,4.0
ADRB2,96.0,19.0
GRK2,5308.5,2619.0
GRK3,716.0,522.0
ADSL,212.0,138.0
ADSS2,1060.0,968.5
AP2A1,1243.5,871.0
AP2A2,117.0,70.5
AP1B1,1747.0,910.0
AP2B1,5849.5,3997.5
AP1G1,4188.5,3087.0
TLE5,1873.5,1079.0
AFG3L1P,519.5,346.0
AGA,650.0,498.5
AGL,268.5,279.5
JAG1,14.0,7.5
AGT,173.0,124.5
AHCY,5763.5,4097.0
AHR,904.5,968.5
CRYBG1,419.5,340.0
AK1,17.0,9.5
AK2,26937.0,20111.5
AK4,63.0,44.5
AKT1,3963.0,2297.5
AKT2,3951.5,2106.0
ALAD,2070.5,1461.0
ALAS1,54.0,44.5
ALCAM,1032.0,1011.0
ABCD1,1009.5,565.0
ALDH2,9.5,8.0
ALDH1B1,2201.5,1691.0
ALDH1A3,211.5,155.5
ALDH3B1,940.0,564.5
ALDH9A1,1378.5,1106.0
ALDH3A2,523.5,362.5
ABCD2,138.0,136.0
ALDOA,7883.5,4925.5
ALDOB,5.5,3.5
ALDOC,354.0,230.0
AKR1B1,870.0,533.5
ALOX12,199.5,164.5
ALOX5AP,474.0,269.5
ALX3,24.0,14.0
AMD1,3595.0,2848.0
AMFR,734.0,510.5
AMPD2,462.0,270.0
AMPD3,108.0,78.0
BIN1,3.5,1.5
AMT,71.0,53.0
ANG,3.5,1.0
ANGPT1,15.0,11.0
ANGPT2,19.0,15.0
ANK1,2.5,1.5
ANK2,15.0,11.5
SLC25A4,26.5,22.0
SLC25A5,4038.5,2914.5
SLC25A6,12158.5,7199.0
ANXA1,270.5,250.5
ANXA2,709.5,458.5
ANXA2P1,4.0,3.0
ANXA4,386.5,363.5
ANXA5,641.5,529.0
ANXA6,659.5,397.0
ANXA7,386.5,371.0
ANXA11,1490.0,964.0
AOAH,5.0,4.0
AOX1,4.0,1.5
APAF1,1414.5,1130.0
NUDT2,107.5,93.0
APBA2,5.0,3.0
APBB1,926.0,496.5
APBB2,34.0,20.0
APC,112.5,101.0
APEH,388.5,282.5
APEX1,3422.5,2257.5
BIRC2,138.0,135.5
BIRC3,1.5,4.5
XIAP,1453.5,1080.0
BIRC5,4554.0,3015.0
APLP1,35.5,22.5
APLP2,8384.0,6094.5
APOA1,5.5,4.0
APOC1,25.5,20.5
APOC2,3306.5,2181.0
APP,900.0,718.0
APRT,2310.5,1575.5
FAS,81.5,52.5
AQP1,9.0,13.0
AQP3,204.0,103.5
AR,17.0,8.5
ARAF,645.5,386.0
ARCN1,6898.0,4927.0
TRIM23,56.5,46.0
ARF1,12193.5,7963.5
ARF3,22111.0,12792.0
ARF4,2425.0,2192.5
ARL4D,5.5,5.0
ARF5,1008.0,560.5
ARF6,5617.0,4580.0
ARG2,899.5,780.5
RHOA,25875.0,20417.5
RHOB,56.0,92.5
RHOC,165.5,103.5
RHOG,2750.0,1457.0
ARHGAP1,3745.5,1860.5
ARHGAP4,666.5,391.5
ARHGAP6,29.5,15.5
ARHGDIA,24267.5,13713.0
ARHGDIB,39941.0,25359.5
RHOH,26.0,14.5
ARL1,1276.0,1081.5
PHOX2A,5.5,2.5
ARL2,624.0,361.5
ARL3,127.5,77.5
ARNT,1571.0,1242.5
ARNTL,30.0,13.5
ARRB1,8013.0,4282.0
ARRB2,1716.5,1054.0
ARSA,192.5,101.0
ARSB,1801.0,1229.0
STS,761.5,581.5
ARSD,1475.5,956.5
ARVCF,28.0,21.0
ASAH1,1476.5,1419.0
ASCL2,40.5,31.5
ASGR1,9.5,3.0
ASGR2,38.0,26.5
ASL,39.0,35.5
GET3,432.0,247.0
ASNS,56.0,53.5
ASPH,1001.0,914.0
ASS1,550.0,359.0
ZFHX3,27.5,21.0
ATF1,457.0,404.5
ATF3,92.0,142.0
ATF4,608.0,457.0
ATIC,256.0,204.5
ATM,1740.5,1491.0
RERE,733.5,393.5
ATOX1,315.5,221.0
ATP1A1,1366.0,938.0
ATP1A3,179.0,89.0
ATP1B1,78.0,74.0
ATP1B3,2804.0,2325.0
ATP2A1,37.5,21.0
ATP2A2,4256.5,3425.5
ATP2A3,3394.0,2007.5
ATP2B1,974.5,1013.0
ATP2B2,2.5,1.5
ATP2B3,44.5,29.0
ATP2B4,4246.0,2966.0
ATP5F1A,1324.0,933.5
ATP5F1B,2640.5,1867.5
ATP5F1C,472.5,317.0
ATP5F1D,1635.5,1132.5
ATP5F1E,1566.0,1168.5
ATP5PB,1542.5,1409.5
ATP5MC1,296.5,209.5
ATP5MC2,2175.0,1330.5
ATP5MC3,3693.0,2981.5
ATP5ME,1749.5,1053.0
ATP5PF,502.0,391.0
ATP6V1A,2371.0,2040.5
ATP6V1B2,6674.5,5029.0
ATP6V0C,4179.5,2207.0
ATP6V1C1,2932.0,2342.5
ATP6V1E1,1780.5,1204.5
ATP6V0B,1149.5,806.5
ATP6V0A1,447.0,261.0
ATP6AP1,1667.5,1030.0
ATP7A,65.0,42.5
ATP5PO,617.0,477.5
ATP7B,9.5,7.0
ATR,19.5,15.5
ATRX,939.5,937.0
KIF1A,6.5,3.0
AUH,67.0,52.0
AUP1,7512.5,4614.5
AVPR2,28.5,10.0
AXL,72.0,56.0
AZU1,2.5,2.5
B2M,3465.0,2791.5
BACH1,785.5,564.0
BAD,245.5,133.0
BAG1,1336.5,942.0
ADGRB1,6.0,7.0
BAK1,678.5,388.5
NKX3-2,7.5,3.5
BARD1,1455.0,1017.0
BAX,1131.5,671.5
BBS1,182.5,116.5
BBS2,109.0,84.5
BBS4,167.5,112.5
BCAT1,3870.0,3478.0
BCAT2,412.5,249.0
