,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
NAT1,66,114,96,55,99,125,89,107
AAMP,704,1281,1424,764,864,1499,1422,1472
AARS1,472,631,892,486,548,876,754,837
ABAT,116,154,191,93,144,208,162,151
ABCA1,24,19,36,10,26,37,21,31
ABCA2,183,367,445,206,211,421,348,387
ABCA3,4,3,4,4,8,6,3,4
ABCB7,29,37,31,40,50,48,43,30
ABCF1,1,0,2,1,5,5,4,6
ABL1,887,1432,1728,825,964,1863,1619,1654
ABL2,465,697,706,303,486,771,676,638
ABO,4,5,8,4,6,13,9,5
ABR,38,70,75,28,74,95,61,71
ACAA1,1215,2037,2355,1158,1366,2416,1884,2037
ACACA,4,5,7,0,5,13,1,2
ACACB,39,57,61,41,37,82,75,77
ACADM,588,593,512,327,653,952,523,520
ACADS,85,190,196,105,106,217,162,201
ACADSB,1038,1189,1444,734,1174,1747,1296,1203
ACADVL,399,653,788,406,482,705,676,878
ACAT1,412,485,684,365,446,711,545,620
ACAT2,2658,2306,2875,2096,3091,3384,2383,2941
ASIC1,138,248,281,148,156,292,262,287
ACLY,2898,3847,4298,2663,3432,4976,4095,4323
ACO1,235,351,385,213,329,456,366,408
ACO2,826,1206,1495,779,944,1588,1254,1388
ACOX1,675,881,952,526,782,1108,912,980
ACP1,1763,2149,2522,1446,2048,2847,2190,2395
ACP2,118,165,212,121,153,205,167,190
ACPP,539,662,783,395,600,792,649,644
ACTA2,2,9,12,5,3,12,18,10
ACTB,88876,114732,133791,81732,96437,150584,130206,138956
ACTG1,78161,123395,145514,74449,94765,156065,128988,135724
ACTN4,6006,9095,10284,5822,6451,12381,10346,10800
ACTL6A,513,611,702,383,539,932,597,765
ACTN1,1756,2481,2615,1463,1892,3150,2794,2745
ACVR1,49,67,56,33,52,88,57,59
ACVR1B,225,482,538,201,340,669,582,459
ACVR2A,52,45,45,19,32,55,40,51
ACVR2B,221,287,309,106,180,362,306,257
ACVRL1,95,207,234,125,121,272,177,225
ACY1,138,182,233,134,177,264,192,236
ACYP1,268,374,455,223,345,474,367,417
ACYP2,68,57,70,46,62,76,57,62
ADA,1240,2175,2647,1253,1556,2725,2035,2316
ADAM8,22,34,30,14,22,29,43,36
ADAM10,3314,3636,3995,2108,3890,5339,3848,3881
ADAR,4242,6182,7301,3881,4933,7765,6740,6657
ADARB1,445,738,834,396,536,753,731,817
ADCY1,26,34,33,17,21,65,40,33
ADCY3,669,1111,1328,699,913,1346,1104,1202
ADCY5,0,5,5,4,3,1,2,3
ADCY6,7,19,20,11,14,15,18,18
ADCY7,1924,2731,3162,1543,2415,3243,2679,2662
ADCY9,2230,3778,4481,1848,2526,4883,4230,3805
ADD1,2321,4340,4968,2325,2779,5222,4528,4696
ADD2,2079,3228,3792,1623,2411,3917,3380,2995
ADD3,513,569,630,334,653,761,513,529
PLIN2,427,622,711,342,546,796,611,577
ADH5,724,946,1088,565,849,1239,994,997
ADK,622,630,708,375,573,999,629,713
ADORA1,4,2,3,2,0,5,7,8
ADORA2A,51,28,40,53,49,39,43,111
ADORA2B,137,166,208,125,169,210,150,195
ADORA3,2,3,6,1,2,5,3,1
ADPRH,140,211,222,134,190,251,199,202
PARP1,1625,2234,2614,1650,1909,2673,2406,2592
PARP4,15,12,15,5,4,29,14,16
ADRA2C,2,13,21,4,9,23,9,20
ADRB1,3,11,12,2,5,9,4,11
ADRB2,20,82,123,15,18,103,89,36
GRK2,2437,5027,5590,2559,2679,6147,4733,5174
GRK3,458,655,777,354,586,864,627,641
ADSL,147,189,172,105,129,247,235,198
ADSS2,891,991,1109,694,1054,1406,1011,1046
AP2A1,811,1078,1319,811,931,1390,1168,1351
AP2A2,65,101,132,76,63,146,102,130
AP1B1,744,1499,1870,864,956,1873,1624,1788
