GENE,MV411-DMSO,MV411-Naphthol,MV411-Plumbagin,MV411-Celastrol,MV411-TM1-001,MV411-Tretinoin
A2M,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,2.8,4.4,2.2,10.4,9.4,18.2
AAMP,2.2,2.8,3.6,7.4,7.6,17.8
AARS1,5.0,7.8,6.8,37.6,76.8,49.2
ABAT,0.0,1.4,1.2,1.8,2.8,5.8
ABCA1,1.0,5.0,4.0,22.8,11.2,86.4
ABCA2,1.4,2.0,0.2,1.2,0.2,9.6
ABCA3,0.0,0.2,0.2,0.0,0.0,0.4
ABCB7,0.0,0.6,0.4,0.8,0.8,1.6
ABCF1,7.2,10.2,13.2,16.0,38.0,73.8
ABL1,6.2,10.8,13.0,33.8,23.0,91.2
ABL2,14.2,18.8,15.4,79.4,73.6,109.0
ABR,13.2,16.2,13.0,36.2,60.6,146.6
ACAA1,2.8,3.8,5.0,5.4,7.6,16.6
ACACA,14.4,21.8,18.0,55.2,90.0,193.6
ACACB,0.6,0.4,0.0,0.6,1.0,3.4
ACADM,2.2,2.0,2.4,5.8,8.2,13.8
ACADS,0.0,0.4,0.2,0.6,1.8,1.8
ACADSB,1.2,4.0,4.8,8.2,13.6,25.4
ACADVL,1.2,2.8,1.6,5.6,3.6,7.2
ACAT1,0.6,2.0,0.4,2.6,2.4,13.6
ACAT2,3.8,6.2,4.8,11.0,41.8,34.0
ASIC1,0.0,0.2,0.2,0.2,0.4,1.2
ACLY,6.0,16.0,14.0,24.6,49.8,106.8
ACO1,0.6,1.4,0.6,1.6,2.2,3.0
ACO2,2.4,5.8,2.0,8.2,12.6,27.4
ACOX1,3.8,5.8,7.4,17.2,19.0,36.2
ACP1,17.2,23.8,20.4,63.0,66.2,178.6
ACP2,0.8,1.8,1.8,1.2,3.6,12.6
ACP5,0.0,0.0,0.0,0.0,0.0,0.0
ACP3,1.6,0.8,1.8,5.4,3.0,56.6
ACRV1,0.0,0.0,0.0,0.2,0.0,0.0
ACTA1,0.0,0.2,0.0,0.0,0.0,0.6
ACTB,88.2,134.8,92.0,334.8,347.6,760.2
ACTG1,187.0,325.8,219.0,631.4,710.0,2096.4
ACTN4,9.8,16.8,13.2,34.0,32.0,93.4
ACTL6A,4.0,6.2,4.4,12.6,9.2,24.6
ACTN1,3.6,3.0,1.8,9.2,6.6,15.4
ACVR1,0.4,1.2,0.8,2.6,2.8,3.0
ACVR1B,5.6,6.8,5.0,16.2,15.0,58.8
ACVR2A,1.6,2.8,3.8,15.2,8.2,15.2
ACVR2B,2.2,3.2,2.2,7.2,10.8,18.2
ACVRL1,0.2,0.2,0.4,0.8,1.2,6.6
ACY1,0.2,0.6,0.2,1.2,2.8,2.4
ACYP1,1.6,3.8,3.2,7.0,7.6,20.0
ACYP2,0.2,0.2,0.2,0.0,0.8,1.4
ADA,1.4,2.2,1.2,3.6,2.0,13.8
ADAM8,0.4,1.0,1.0,1.2,3.6,10.2
ADAM10,13.6,29.8,18.8,86.8,94.8,151.2
ADAR,23.2,37.6,30.6,89.8,117.0,258.8
ADARB1,4.8,4.2,1.0,5.0,15.0,26.8
ADCY1,0.0,0.0,0.0,0.0,0.0,0.0
ADCY3,1.2,3.4,1.2,4.2,4.6,27.2
ADCY5,0.0,0.0,0.0,0.0,0.0,0.2
ADCY6,0.0,0.2,0.0,0.0,0.2,1.0
ADCY7,5.0,11.0,8.2,33.8,15.4,68.8
ADCY9,5.8,19.2,6.8,23.8,38.0,137.2
ADCYAP1R1,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,4.0,10.2,9.0,22.0,22.6,112.6
ADD2,2.8,3.6,3.8,10.8,11.0,42.6
ADD3,1.8,4.8,1.8,9.4,7.0,39.2
PLIN2,8.4,11.6,13.0,99.8,37.0,140.4
ADH5,2.8,5.6,4.8,13.2,13.0,28.2
ADK,2.4,2.4,1.6,7.6,9.8,23.0
ADM,0.8,0.4,2.0,7.8,0.8,4.2
ADORA1,0.0,0.2,0.0,0.0,0.2,0.4
ADORA2A,0.0,0.2,0.2,2.0,3.6,21.0
ADORA2B,6.0,8.2,7.8,27.8,22.8,25.8
ADORA3,0.2,0.2,0.0,0.4,0.0,0.6
ADPRH,0.0,0.0,0.0,0.0,0.4,0.0
PARP1,5.2,6.8,2.6,13.0,13.6,28.2
PARP4,0.4,1.8,1.8,3.0,2.8,5.6
ADRA1D,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2C,0.0,0.2,0.0,0.0,0.0,0.4
ADRB1,0.2,0.2,0.0,0.2,1.6,2.0
ADRB2,2.0,2.2,2.2,7.0,7.2,2.2
GRK2,5.6,11.6,8.6,19.2,11.6,37.6
GRK3,3.0,7.4,5.4,16.2,21.4,42.0
ADSL,0.4,2.6,1.6,3.8,3.8,6.6
ADSS2,2.6,5.2,4.8,12.0,12.8,25.4
AP2A1,0.6,1.2,1.2,1.6,2.8,3.6
AP2A2,1.2,1.8,1.0,5.6,10.0,7.6
AP1B1,1.6,3.4,1.6,5.4,10.6,21.2
AP2B1,11.2,19.6,23.0,52.8,66.4,130.0
AP1G1,34.4,55.0,45.2,155.8,194.4,363.4
TLE5,0.4,1.0,1.0,2.6,1.0,5.6
AFG3L1P,5.4,12.0,8.2,22.2,36.0,73.6
AGA,1.4,3.2,3.2,14.6,22.6,11.4
AGER,0.4,1.4,0.6,3.2,7.0,9.4
AGL,1.6,1.6,1.2,4.4,7.0,7.8
JAG1,0.6,0.4,1.4,10.4,3.2,1.2
AGT,0.0,0.0,0.4,0.8,0.4,2.0
AHCY,7.0,14.2,7.8,13.6,17.8,64.0
AHR,15.8,20.8,20.4,78.6,127.6,135.2
AIF1,2.8,2.4,2.0,2.6,4.2,9.0
CRYBG1,1.8,4.0,4.0,20.0,10.4,11.0
AK1,0.0,0.0,0.4,0.0,1.8,1.8
AK2,38.8,62.8,46.2,142.0,243.0,671.8
AK4,0.0,0.0,0.0,0.4,0.4,0.2
AKT1,2.6,5.0,4.8,6.0,3.8,31.2
AKT2,5.0,9.2,5.4,16.2,21.2,58.2
ALAD,2.2,2.8,3.4,5.6,7.6,37.6
ALAS1,1.2,2.6,2.6,4.4,13.8,90.8
ALAS2,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.4,2.6,1.6,5.8,8.0,12.0
ABCD1,1.4,1.6,2.2,3.2,2.2,31.6
ALDH2,0.0,0.4,0.0,0.4,0.8,1.0
ALDH1B1,8.2,11.4,7.4,14.8,22.0,56.4
ALDH1A3,0.0,0.0,0.4,0.4,0.0,0.4
ALDH3B1,1.0,1.4,1.2,1.8,1.8,8.8
ALDH9A1,6.8,11.0,13.8,51.8,45.2,52.4
ALDH3A2,0.4,1.8,1.0,2.4,4.6,4.4
ABCD2,1.0,1.4,1.2,3.2,8.2,9.2
ALDOA,15.2,21.6,16.2,35.4,50.2,142.8
ALDOB,0.0,0.0,0.0,0.0,0.0,0.0
ALDOC,1.0,0.8,0.2,1.4,1.6,5.0
AKR1B1,0.2,0.6,1.4,2.6,2.0,6.2
ALOX12,0.0,0.0,0.2,0.8,1.0,9.8
ALOX5AP,3.8,5.2,3.0,20.2,12.0,103.8
ALOX12B,0.0,0.0,0.0,0.0,0.0,0.0
ALOX15,0.2,0.0,0.0,0.2,0.0,0.2
ALX3,0.0,0.0,0.0,0.0,0.0,0.0
AMD1,51.0,106.0,76.6,286.8,256.6,556.0
AMFR,3.0,4.2,6.0,13.6,10.2,26.8
AMH,0.2,0.6,0.0,0.2,0.0,0.8
AMPD2,1.6,1.8,1.4,1.8,6.4,11.6
AMPD3,0.4,0.8,0.4,1.6,3.4,6.8
AMPH,0.0,0.0,0.0,0.0,0.0,0.0
BIN1,0.0,0.0,0.2,0.4,0.6,2.4
AMT,0.2,0.4,0.2,0.8,0.4,0.4
