GENE,MV411-DMSO_1h,MV411-MS2_1h,MV411-JQ1_1h,MV411-MYCi361_1h,MV411-THZ1_1h,MV411-JQ1_MS2_1h,MV411-JQ1_THZ1_1h
A1BG,0.5,2.5,2.0,0.0,0.0,0.0,0.0
NAT1,100.5,91.5,119.5,53.0,78.0,143.0,117.5
AAMP,640.5,646.0,588.5,650.5,735.5,775.5,715.0
AARS1,849.5,777.0,734.5,766.5,852.0,1062.5,936.5
ABAT,232.5,229.5,220.5,204.0,241.0,254.0,263.0
ABCA1,51.0,28.0,23.5,20.0,57.5,43.0,32.0
ABCA2,217.5,212.0,210.0,194.5,254.5,291.5,283.5
ABCA3,17.5,10.0,15.5,11.5,19.0,18.5,15.0
ABCB7,28.0,31.0,30.5,36.0,33.5,39.0,36.5
ABCF1,1008.5,1054.0,797.5,927.0,999.0,1067.0,942.5
ABL1,1129.5,1168.5,954.0,819.5,1382.5,1325.0,1234.0
AOC1,1.0,0.0,0.5,0.5,0.5,0.5,1.0
ABL2,893.5,988.0,682.5,604.5,921.0,1060.5,799.0
ABO,1.0,5.5,1.0,0.5,1.0,0.0,2.0
ABR,4357.0,4367.5,3729.5,3370.0,4708.0,5257.5,4978.0
ACAA1,867.5,857.5,796.5,762.0,1001.0,963.0,1057.5
ACACA,1411.5,1451.5,1417.0,1149.5,1445.5,1884.5,1870.0
ACACB,36.0,34.5,54.0,21.5,25.0,62.5,51.0
ACADM,416.5,416.0,457.5,294.0,411.5,474.0,385.5
ACADS,55.0,66.5,55.5,69.5,66.0,74.5,66.5
ACADSB,852.0,799.0,1034.0,671.0,835.5,1334.0,1258.0
ACADVL,654.0,710.0,652.5,632.5,782.5,841.5,880.5
ACAT1,370.0,346.0,334.0,349.0,398.0,443.0,422.5
ACAT2,2567.5,2637.0,2465.5,2155.0,2598.0,3172.0,2844.0
ASIC1,516.5,501.0,476.5,379.5,613.5,699.0,610.5
ACLY,2788.0,2999.0,2533.5,2561.5,2855.5,3511.5,2981.0
ACO1,152.5,145.5,144.0,136.5,182.0,173.0,157.5
ACO2,907.5,942.0,774.5,834.5,960.0,1071.5,925.5
ACOX1,614.0,593.0,822.5,478.5,668.5,1002.5,923.0
ACP1,2465.0,2442.5,2010.5,2068.5,2628.0,2617.0,2480.0
ACP2,86.5,90.0,77.5,80.5,95.5,95.5,84.5
ACP3,113.5,128.5,100.5,110.0,158.0,155.0,125.5
ACRV1,3.5,4.5,6.5,1.0,4.0,3.5,2.5
ACTB,55015.0,64025.5,58054.0,55022.5,60875.0,81599.5,68672.0
ACTG1,104815.5,108003.5,112795.5,90022.0,116028.0,143394.5,131633.0
ACTN4,3986.5,4564.0,4109.5,3719.0,4368.5,5742.0,5100.0
ACTL6A,499.5,496.5,407.0,438.0,535.5,608.0,500.5
ACTN1,947.5,1058.5,981.5,831.5,1145.0,1305.0,1126.5
ACVR1,52.0,58.0,57.0,36.5,59.0,82.0,62.0
ACVR1B,338.5,343.0,188.5,243.0,353.0,296.5,240.5
ACVR2A,65.5,59.5,62.0,47.0,75.0,74.0,66.5
ACVR2B,111.0,121.0,81.0,71.0,165.5,114.0,103.0
ACVRL1,43.5,47.0,37.0,39.0,48.5,46.0,47.0
ACY1,125.0,114.5,97.0,120.0,110.0,139.0,139.5
ACYP1,283.5,221.5,212.0,253.0,240.0,292.5,212.5
ACYP2,163.0,175.0,161.5,112.0,162.0,186.0,181.0
ADA,1042.0,965.5,911.0,814.0,1102.0,1288.5,1145.5
ADAM8,84.5,82.5,78.5,62.0,78.0,93.5,70.0
ADAM10,2529.5,2520.0,2288.0,1745.5,2627.0,2967.0,2594.0
ADAR,4553.5,4664.0,3711.0,3587.0,4951.0,4724.0,4454.5
ADARB1,574.0,551.5,517.5,480.5,605.0,682.5,626.5
ADCY1,1.0,0.0,3.0,0.0,2.0,6.5,3.5
ADCY3,536.0,548.0,430.5,438.5,643.0,570.0,582.5
ADCY5,7.5,9.5,20.5,11.0,11.5,29.5,25.5
ADCY6,3.0,2.5,2.5,1.5,4.0,3.5,1.0
ADCY7,1294.5,1417.5,1110.5,1008.5,1468.5,1449.5,1429.5
ADCY9,724.0,714.0,728.5,555.5,800.5,921.0,792.5
ADCYAP1R1,2.0,4.0,5.0,2.0,4.0,4.5,4.0
ADD1,2149.5,2111.0,1939.0,1750.0,2296.0,2539.0,2395.0
ADD2,1478.5,1523.0,1245.5,1037.0,1463.5,1819.5,1480.0
ADD3,421.0,359.0,422.5,304.0,411.0,521.5,457.0
PLIN2,558.0,591.5,373.5,427.5,578.0,538.5,493.5
ADH5,588.5,608.5,461.0,518.0,651.0,705.0,630.5
ADK,643.0,677.5,544.0,544.5,689.5,798.5,726.0
ADM,5.0,3.5,2.5,3.5,5.5,4.0,7.0
ADORA1,4.0,3.5,4.0,1.5,5.0,4.5,4.5
ADORA2A,18.5,18.5,17.5,14.5,17.0,17.5,15.0
ADORA2B,267.0,328.0,178.5,237.5,241.5,252.0,179.5
ADORA3,5.5,5.0,1.0,6.5,5.5,2.5,0.5
ADPRH,1.0,0.5,0.5,0.5,1.0,0.5,2.0
