GENE,MV411-DMSO,MV411-Mebendazole
A1BG,0.0,0.0
NAT1,14.4,11.0
AAMP,8.6,8.2
AARS1,15.2,12.8
ABAT,2.4,2.2
ABCA1,1.2,2.4
ABCA2,1.0,0.0
ABCB7,0.4,1.2
ABCF1,24.6,15.6
ABL1,17.8,22.2
ABL2,32.0,24.2
ABR,21.6,32.2
ACAA1,12.2,13.0
ACACA,37.0,42.4
ACACB,1.4,1.0
ACADM,9.6,5.4
ACADS,0.6,1.4
ACADSB,16.6,12.0
ACADVL,2.0,2.8
ACAT1,4.4,2.8
ACAT2,8.8,3.4
ASIC1,0.8,1.6
ACLY,22.4,18.4
ACO1,2.6,1.6
ACO2,5.4,6.2
ACOX1,18.2,19.0
ACP1,64.0,56.6
ACP2,4.6,1.8
ACP3,8.6,5.2
ACRV1,0.4,0.0
ACTB,225.8,433.0
ACTG1,524.8,1091.2
ACTN4,22.0,20.4
ACTL6A,5.2,9.2
ACTN1,3.6,6.6
ACVR1,3.8,1.4
ACVR1B,12.2,11.6
ACVR2A,2.6,2.8
ACVR2B,9.6,8.4
ACVRL1,0.8,1.2
ACY1,0.4,1.0
ACYP1,12.6,8.4
ACYP2,1.4,1.6
ADA,5.4,4.8
ADAM8,0.4,2.0
ADAM10,56.6,46.4
ADAR,81.2,69.6
ADARB1,5.0,6.6
ADCY3,3.8,4.0
ADCY5,0.0,0.0
ADCY7,24.4,19.6
ADCY9,18.6,16.8
ADD1,20.6,13.6
ADD2,13.8,8.8
ADD3,6.6,8.0
PLIN2,11.6,9.6
ADH5,17.8,15.0
ADK,4.6,6.6
ADORA1,0.0,0.0
ADORA2A,0.2,0.8
ADORA2B,15.8,14.4
ADORA3,0.2,1.2
PARP1,12.2,12.4
PARP4,1.2,3.2
ADRB1,0.4,1.2
ADRB2,12.0,3.8
GRK2,13.0,13.8
GRK3,23.0,18.2
ADSL,2.0,3.6
ADSS2,15.8,12.0
AP2A1,2.0,1.0
AP2A2,3.4,4.6
AP1B1,4.0,5.6
AP2B1,47.8,44.8
AP1G1,114.2,98.0
TLE5,1.4,3.4
AFG3L1P,23.2,27.0
AGA,6.8,7.2
AGER,2.6,3.8
AGL,4.2,5.6
JAG1,1.2,0.8
AGT,0.8,0.0
AHCY,29.8,21.8
AHR,51.2,29.0
AIF1,10.2,7.8
CRYBG1,10.0,15.4
AK1,0.0,0.0
AK2,181.0,152.2
AK4,0.0,0.4
AKT1,8.8,8.0
AKT2,10.6,8.2
ALAD,15.6,12.4
ALAS1,4.2,4.2
ALCAM,12.6,13.6
ABCD1,1.8,2.0
ALDH2,0.2,0.6
ALDH1B1,26.2,37.6
ALDH1A3,0.4,0.6
ALDH3B1,2.2,2.2
ALDH9A1,23.8,26.0
ALDH3A2,4.8,2.8
ABCD2,2.2,2.0
ALDOA,44.8,32.8
ALDOB,0.0,0.0
ALDOC,1.0,1.6
AKR1B1,3.2,1.8
ALOX12,0.2,0.2
ALOX5AP,2.0,3.0
ALOX15,0.0,0.0
ALX3,0.0,0.0
AMD1,255.6,246.4
AMFR,7.8,4.2
AMH,0.0,0.0
AMPD2,4.0,3.2
AMPD3,1.2,0.8
AMPH,0.0,0.0
BIN1,0.2,0.0
AMT,0.2,0.4
AMY1A,0.0,0.0
AMY1B,0.0,0.0
AMY1C,0.0,0.0
AMY2B,0.0,0.0
ANGPT1,0.2,0.0
ANGPT2,0.0,0.0
ANK2,2.2,1.8
SLC25A4,0.0,0.0
SLC25A5,32.4,24.8
SLC25A6,66.8,55.0
ANXA1,17.6,22.6
ANXA2,18.2,20.8
303,0.2,1.0
ANXA4,2.4,3.2
ANXA5,6.8,12.0
ANXA6,2.2,1.0
ANXA7,6.4,6.4
ANXA11,8.4,7.6
AOC2,0.4,0.0
APAF1,11.8,15.6
NUDT2,2.0,2.0
APBA1,6.4,8.8
APBA2,0.0,0.0
APBB1,0.0,0.0
APBB2,1.6,3.0
APC,15.6,13.4
APEH,2.0,2.0
APEX1,56.4,39.0
BIRC2,4.0,7.8
BIRC3,0.8,3.6
XIAP,36.4,32.6
BIRC5,44.0,32.0
APLP1,0.2,0.2
APLP2,30.0,29.2
APOA1,0.4,0.6
APOC1,0.6,0.0
APOC2,15.6,19.4
APOD,0.0,0.0
APP,7.4,7.6
APRT,7.8,4.4
FAS,0.4,0.0
AQP1,5.2,5.4
AQP3,1.4,2.6
AQP6,0.0,0.0
AR,1.2,0.0
ARAF,7.2,5.2
ARCN1,128.0,100.2
TRIM23,9.4,8.8
ARF1,98.0,92.2
ARF3,40.4,32.8
ARF4,43.4,50.6
ARF5,2.4,3.2
ARF6,167.0,164.2
ARG2,1.4,0.4
RHOA,122.4,118.0
RHOB,8.6,14.0
RHOC,1.0,1.4
RHOG,17.4,22.0
ARHGAP1,12.8,13.4
ARHGAP4,0.6,0.8
ARHGAP6,0.0,0.0
ARHGDIA,46.4,53.2
ARHGDIB,168.2,236.8
RHOH,2.4,3.6
ARL1,19.4,18.6
ARL2,2.0,2.4
ARL3,2.4,1.6
ARNT,15.6,15.4
ARNTL,3.2,4.6
ARRB1,23.0,32.2
ARRB2,9.0,13.6
ARSA,1.6,0.8
ARSB,16.0,20.0
STS,5.6,5.0
ARSD,5.4,8.6
ARSL,0.0,0.0
ARVCF,0.0,0.0
ASAH1,10.6,8.6
ASGR2,0.0,0.0
ASL,0.4,0.0
GET3,3.4,5.2
ASNS,3.8,2.8
ASPH,30.8,32.2
ASS1,0.6,2.2
ZFHX3,0.6,0.4
ATF1,17.4,20.0
ATF3,28.2,32.6
ATF4,60.6,74.2
ATIC,6.0,4.0
ATM,20.4,18.8
RERE,11.0,13.0
ATOX1,2.6,2.0
ATP1A1,8.8,6.6
ATP1A3,1.2,0.4
ATP1B1,0.6,1.2
ATP1B3,24.4,21.0
ATP2A1,0.4,0.2
ATP2A2,82.2,69.0
ATP2A3,4.6,6.6
ATP2B1,58.0,72.0
ATP2B2,0.2,0.2
ATP2B3,0.0,0.0
ATP2B4,24.8,27.8
ATP5F1A,13.8,7.2
ATP5F1B,23.8,22.2
ATP5F1C,7.2,6.6
ATP5F1D,2.4,3.4
ATP5F1E,18.0,10.4
ATP5PB,25.6,19.6
ATP5MC1,2.2,0.8
ATP5MC2,11.8,10.8
ATP5MC3,81.0,54.6
ATP5ME,7.2,7.0
ATP5PF,5.6,4.2
ATP6V1A,24.2,24.4
ATP6V1B2,128.2,112.2
ATP6V0C,12.2,11.0
ATP6V1C1,53.8,50.0
ATP6V1E1,33.2,27.4
ATP6V0B,19.8,19.2
ATP6V1G2,0.8,0.2
ATP6V0A1,3.8,6.2
ATP6AP1,2.6,2.4
ATP7A,1.4,1.6
ATP5PO,6.0,4.2
ATP7B,0.2,0.0
ATR,2.6,0.8
ATRX,19.0,18.6
AUH,0.4,2.2
AUP1,96.4,87.8
AVPR2,0.0,0.0
AXL,1.8,1.4
AZU1,1.2,1.0
B2M,93.8,71.6
BAAT,0.2,0.2
BACH1,110.8,107.0
BAD,2.6,0.4
BAG1,26.4,20.2
BAK1,11.0,9.0
NKX3-2,1.2,2.6
BARD1,63.8,52.8
BAX,4.4,3.8
BBS1,2.0,3.2
BBS2,2.8,1.8
BBS4,4.4,3.2
BCAT1,122.0,115.8
BCAT2,1.8,2.6
BCKDHA,3.4,1.6
BCKDHB,2.4,3.8
CCND1,0.2,0.0
BCL2,83.6,97.4
BCL2A1,0.0,0.6
BCL2L1,11.0,11.6
BCL2L2,19.4,17.8
BCL3,1.0,5.4
BCL6,0.2,0.4
BCL7A,41.8,30.6
BCL9,0.2,0.2
OPN1SW,0.0,0.0
BCR,0.4,2.0
BCS1L,1.0,0.2
BDH1,7.6,9.6
BDNF,0.2,0.0
BFSP1,0.2,0.2
BGLAP,0.8,0.2
BICD1,0.2,0.2
BID,52.4,50.0
BIK,1.2,0.6
PRDM1,5.8,4.8
BLM,2.6,6.6
BLMH,13.8,9.2
BLVRB,0.2,1.0
BMI1,22.4,16.0
BMP1,5.0,4.4
BMP6,0.4,0.4
BMP8B,2.6,0.8
BMPR1A,5.2,9.8
BMPR2,3.2,3.2
POLR3D,15.4,11.8
BNIP1,11.4,11.0
BNIP2,119.8,109.4
BNIP3,0.0,0.0
BNIP3L,12.6,13.0
DST,3.0,3.2
BPGM,6.2,4.4
BPHL,1.0,1.0
BRCA1,59.6,47.2
BRAF,0.2,0.2
BRCA2,35.6,30.8
ZFP36L1,2.8,3.4
ZFP36L2,228.8,161.6
BSG,24.0,19.2
BST1,0.0,0.2
BST2,2.6,0.6
BTD,0.8,0.6
KLF9,36.6,54.2
KLF5,2.2,2.6
BTF3,38.0,28.6
BTG1,30.4,35.8
BTK,7.8,7.6
BUB1,4.6,3.6
BUB1B,13.6,14.8
BYSL,16.0,15.8
TSPO,0.8,1.8
C1QBP,34.2,26.8
C3,0.0,0.2
C3AR1,6.2,6.4
CAPN5,0.0,0.0
C5,1.0,2.4
C5AR1,0.4,0.2
OSGIN2,37.4,28.8
VPS51,1.4,0.0
MRPL49,26.6,26.8
ZNHIT2,1.0,1.4
MYRF,0.0,0.2
TMEM258,4.0,6.4
DAGLA,2.0,1.0
FMNL1,3.6,2.8
LDLRAD4,14.4,17.4
PTTG1IP,37.2,35.4
CFAP410,0.4,1.0
TMEM50B,15.2,8.2
CA7,0.0,0.0
CA11,0.4,1.8
CACNA1A,0.0,0.0
CACNA1D,0.0,0.0
CACNA1E,0.0,0.2
CACNB1,0.0,0.2
CACNB2,0.0,0.0
CACNB3,1.4,2.2
CACNB4,0.6,0.8
SLC25A20,5.4,3.4
CAD,3.4,2.2
CALB1,0.0,0.0
CALM1,106.2,143.2
CALM2,101.2,75.2
CALM3,43.0,28.2
CALR,168.6,116.8
CALU,125.0,116.6
CAMK2B,0.2,0.0
CAMK2D,9.6,8.4
CAMK2G,18.6,19.8
CAMLG,6.6,6.6
CANX,215.4,196.6
CAPG,1.2,0.8
CAPN1,1.6,2.2
CAPN2,17.4,23.4
CAPN3,0.8,1.2
CAPNS1,10.4,15.0
CAPS,0.2,0.8
CAPZA1,152.0,155.2
CAPZA2,34.2,31.2
CAST,4.0,4.6
CAPZB,13.8,21.0
CARS1,34.2,40.4
CASP1,4.8,4.8
CASP2,100.2,82.6
CASP3,93.0,66.0
CASP4,3.4,3.6
CASP6,5.0,4.0
CASP7,12.8,14.0
CASP8,11.0,10.2
CASP9,4.6,3.8
CASP10,14.2,16.2
CASQ1,0.0,0.0
CAT,14.0,16.4
CAV1,0.0,0.0
CAV3,0.0,0.0
RUNX2,98.6,92.2
