GENE,MV411-DMSO,MV411-Mebendazole
A1BG,0.0,0.0
NAT1,13.0,10.0
AAMP,6.0,7.0
AARS1,16.0,13.0
ABAT,3.0,2.0
ABCA1,0.0,3.0
ABCA2,1.0,0.0
ABCB7,0.0,1.0
ABCF1,24.0,14.0
ABL1,18.0,21.0
ABL2,27.0,21.0
ABR,15.0,34.0
ACAA1,11.0,14.0
ACACA,34.0,45.0
ACACB,0.0,1.0
ACADM,6.0,5.0
ACADS,0.0,1.0
ACADSB,15.0,11.0
ACADVL,2.0,3.0
ACAT1,5.0,3.0
ACAT2,6.0,3.0
ASIC1,0.0,2.0
ACLY,22.0,20.0
ACO1,1.0,0.0
ACO2,4.0,6.0
ACOX1,15.0,17.0
ACP1,54.0,54.0
ACP2,5.0,2.0
ACP3,8.0,4.0
ACRV1,0.0,0.0
ACTB,204.0,395.0
ACTG1,462.0,1052.0
ACTN4,16.0,23.0
ACTL6A,5.0,8.0
ACTN1,4.0,6.0
ACVR1,3.0,2.0
ACVR1B,13.0,9.0
ACVR2A,2.0,3.0
ACVR2B,7.0,10.0
ACVRL1,1.0,1.0
ACY1,0.0,1.0
ACYP1,11.0,8.0
ACYP2,0.0,1.0
ADA,6.0,4.0
ADAM8,0.0,2.0
ADAM10,35.0,41.0
ADAR,71.0,63.0
ADARB1,4.0,8.0
ADCY3,3.0,2.0
ADCY5,0.0,0.0
ADCY7,22.0,21.0
ADCY9,19.0,16.0
ADD1,13.0,14.0
ADD2,12.0,8.0
ADD3,4.0,8.0
PLIN2,13.0,11.0
ADH5,12.0,15.0
ADK,4.0,6.0
ADORA1,0.0,0.0
ADORA2A,0.0,0.0
ADORA2B,12.0,15.0
ADORA3,0.0,1.0
PARP1,11.0,13.0
PARP4,1.0,3.0
ADRB1,0.0,1.0
ADRB2,10.0,3.0
GRK2,13.0,14.0
GRK3,19.0,20.0
ADSL,2.0,4.0
ADSS2,14.0,9.0
AP2A1,2.0,0.0
AP2A2,2.0,3.0
AP1B1,3.0,5.0
AP2B1,43.0,39.0
AP1G1,81.0,106.0
TLE5,2.0,3.0
AFG3L1P,22.0,28.0
AGA,5.0,7.0
AGER,2.0,4.0
AGL,3.0,6.0
JAG1,1.0,1.0
AGT,0.0,0.0
AHCY,30.0,25.0
AHR,40.0,31.0
AIF1,9.0,7.0
CRYBG1,7.0,18.0
AK1,0.0,0.0
AK2,146.0,165.0
AK4,0.0,0.0
AKT1,8.0,8.0
AKT2,11.0,8.0
ALAD,12.0,12.0
ALAS1,4.0,4.0
ALCAM,9.0,11.0
ABCD1,2.0,2.0
ALDH2,0.0,0.0
ALDH1B1,16.0,37.0
ALDH1A3,0.0,1.0
ALDH3B1,2.0,2.0
ALDH9A1,22.0,25.0
ALDH3A2,4.0,2.0
