#mp88-MV411-H3K27ac-r3 Enhancers
#Created from /home/jeremie/data/MV411_H3K27ac/mp88-MV411-H3K27ac-r3_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by mp88.MV411.H3K27ac.r3.mLb.clN.sorted.bam
#Using cutoff of 7474.062 for Super-Enhancers
#Created on Jun 01 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp88.MV411.H3K27ac.r3.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam	enhancerRank	isSuper
79_MV411_2_88_R1_peak_6334_lociStitched	chr1	234827456	235028301	79	71812	114280.805	24683.8505	1	1
36_MV411_2_88_R1_peak_52860_lociStitched	chr5	343640	446357	36	59353	94561.2702	12264.4098	2	1
45_MV411_2_88_R1_peak_55765_lociStitched	chr6	7106225	7263316	45	56585	93799.0361	17468.5192	3	1
55_MV411_2_88_R1_peak_25325_lociStitched	chr16	85486184	85674307	55	50124	97485.3386	23308.4397	4	1
42_MV411_2_88_R1_peak_31346_lociStitched	chr18	77043987	77140192	42	53032	82745.9205	13016.5365	5	1
83_MV411_2_88_R1_peak_64783_lociStitched	chr8	142152618	142381390	83	61352	104708.9444	36832.292	6	1
66_MV411_2_88_R1_peak_14520_lociStitched	chr12	11710850	11863804	66	62397	79689.034	16519.032	7	1
75_MV411_2_88_R1_peak_36928_lociStitched	chr2	43056978	43245011	75	58440	85216.5556	22300.7138	8	1
76_MV411_2_88_R1_peak_67929_lociStitched	chr9	134315639	134504162	76	57449	84722.2362	22509.6462	9	1
32_MV411_2_88_R1_peak_62677_lociStitched	chr8	22659085	22761148	32	41407	77843.4501	18544.8471	10	1
107_MV411_2_88_R1_peak_484_lociStitched	chr1	3077978	3358791	107	56344	87978.7129	28783.3325	11	1
59_MV411_2_88_R1_peak_8339_lociStitched	chr10	79046722	79189653	59	55318	76568.1367	17408.9958	12	1
52_MV411_2_88_R1_peak_46913_lociStitched	chr22	46547411	46693376	52	53166	73274.43	16026.957	13	1
44_MV411_2_88_R1_peak_32230_lociStitched	chr19	4010266	4138869	44	37732	74782.6445	21592.4437	14	1
33_MV411_2_88_R1_peak_64631_lociStitched	chr8	141086179	141182971	33	37689	70164.5208	16986.996	15	1
64_MV411_2_88_R1_peak_8002_lociStitched	chr10	71612197	71785273	64	47832	73159.2252	20838.3504	16	1
25_MV411_2_88_R1_peak_34003_lociStitched	chr19	33239039	33299337	25	39891	61865.748	11547.067	17	1
39_MV411_2_88_R1_peak_23813_lociStitched	chr16	29106864	29199621	39	54356	56117.985	7123.7376	18	1
76_MV411_2_88_R1_peak_32389_lociStitched	chr19	4971549	5156164	76	43717	80676.755	31698.3955	19	1
21_MV411_2_88_R1_peak_20586_lociStitched	chr15	50052169	50116695	21	34624	54730.9532	6233.2116	20	1
21_MV411_2_88_R1_peak_7696_lociStitched	chr10	69035320	69091552	21	38080	53814.024	6123.6648	21	1
65_MV411_2_88_R1_peak_9484_lociStitched	chr10	124599217	124733958	65	49361	63988.5009	16519.2466	22	1
MV411_2_88_R1_peak_38984	chr2	144504639	144525003	1	20365	49445.8284	2217.6396	23	1
38_MV411_2_88_R1_peak_64395_lociStitched	chr8	133479000	133582207	38	30161	64834.6374	17720.6419	24	1
61_MV411_2_88_R1_peak_47533_lociStitched	chr3	12975087	13112261	61	48661	63168.627	16145.3798	25	1
53_MV411_2_88_R1_peak_30375_lociStitched	chr17	83039785	83205238	53	37832	65387.0256	18365.283	26	1
