chr	start	end	interval_id	num_peaks	num_samples	MV411_1_357_R1.bool	MV411_2_358_R1.bool	MV411_1_357_R1.fc	MV411_2_358_R1.fc	MV411_1_357_R1.qval	MV411_2_358_R1.qval	MV411_1_357_R1.pval	MV411_2_358_R1.pval	MV411_1_357_R1.start	MV411_2_358_R1.start	MV411_1_357_R1.end	MV411_2_358_R1.end	MV411_1_357_R1.summit	MV411_2_358_R1.summit
chr1	778526	778980	Interval_1	2	2	TRUE	TRUE	12.22564	6.76021	35.80602	8.56703	39.46757	12.51447	778526	778626	778980	778874	216	130
chr1	827375	827724	Interval_2	1	1	TRUE	FALSE	5.27528	NA	13.01307	NA	16.08644	NA	827375	NA	827724	NA	154	NA
chr1	904658	904850	Interval_3	1	1	TRUE	FALSE	3.6713	NA	2.75939	NA	5.34336	NA	904658	NA	904850	NA	151	NA
chr1	959129	959495	Interval_4	1	1	TRUE	FALSE	5.84554	NA	16.15399	NA	19.32295	NA	959129	NA	959495	NA	202	NA
chr1	1000080	1000323	Interval_5	1	1	TRUE	FALSE	4.99026	NA	8.11744	NA	11.00531	NA	1000080	NA	1000323	NA	167	NA
chr1	1000586	1000986	Interval_6	1	1	TRUE	FALSE	7.2815	NA	15.28876	NA	18.43429	NA	1000586	NA	1000986	NA	145	NA
chr1	1013351	1013619	Interval_7	1	1	TRUE	FALSE	4.82386	NA	9.07455	NA	12.00288	NA	1013351	NA	1013619	NA	118	NA
chr1	1019338	1019555	Interval_8	1	1	TRUE	FALSE	4.99036	NA	6.44365	NA	9.25272	NA	1019338	NA	1019555	NA	139	NA
chr1	1038721	1039052	Interval_9	1	1	TRUE	FALSE	6.23782	NA	10.59989	NA	13.58947	NA	1038721	NA	1039052	NA	168	NA
chr1	1040784	1040963	Interval_10	1	1	TRUE	FALSE	5.18874	NA	6.11146	NA	8.90405	NA	1040784	NA	1040963	NA	137	NA
chr1	1059330	1059700	Interval_11	1	1	TRUE	FALSE	5.48934	NA	8.04501	NA	10.92847	NA	1059330	NA	1059700	NA	216	NA
chr1	1064268	1064465	Interval_12	1	1	TRUE	FALSE	4.76513	NA	5.40633	NA	8.15961	NA	1064268	NA	1064465	NA	70	NA
chr1	1069217	1069388	Interval_13	1	1	TRUE	FALSE	4.74195	NA	6.31228	NA	9.11441	NA	1069217	NA	1069388	NA	81	NA
chr1	1104264	1104477	Interval_14	1	1	TRUE	FALSE	3.4219	NA	4.30803	NA	6.99767	NA	1104264	NA	1104477	NA	158	NA
chr1	1115954	1116513	Interval_15	1	1	TRUE	FALSE	15.49366	NA	48.93409	NA	52.85939	NA	1115954	NA	1116513	NA	405	NA
chr1	1144245	1144796	Interval_16	2	2	TRUE	TRUE	5.48934	4.60888	8.04501	3.37537	10.92847	6.58881	1144245	1144249	1144796	1144518	445	94
chr1	1157562	1157836	Interval_17	1	1	TRUE	FALSE	4.50043	NA	4.65564	NA	7.36715	NA	1157562	NA	1157836	NA	152	NA
chr1	1158108	1158428	Interval_18	2	2	TRUE	TRUE	5.05275	5.96327	6.22368	6.68966	9.01782	10.38886	1158108	1158126	1158428	1158427	113	150
chr1	1231386	1232856	Interval_19	3	2	TRUE	TRUE	15.88072	6.92732;7.63482	48.95723	8.82557;10.69835	52.88265	12.79616;14.86674	1231598	1231386;1232308	1232856	1232097;1232734	560	413;241
chr1	1260118	1260618	Interval_20	2	2	TRUE	TRUE	12.21355	7.82453	31.82662	10.99276	35.40008	15.18805	1260118	1260257	1260618	1260534	261	107
chr1	1273431	1274111	Interval_21	2	2	TRUE	TRUE	12.78417	3.46798	45.14933	2.55418	49.00125	5.6337	1273644	1273431	1274111	1273975	267	66
chr1	1307931	1308806	Interval_22	1	1	TRUE	FALSE	15.71943	NA	51.6731	NA	55.64856	NA	1307931	NA	1308806	NA	568	NA
chr1	1324485	1324919	Interval_23	1	1	TRUE	FALSE	8.32099	NA	18.86691	NA	22.12149	NA	1324485	NA	1324919	NA	203	NA
chr1	1371259	1371920	Interval_24	1	1	TRUE	FALSE	8.31676	NA	27.1936	NA	30.66039	NA	1371259	NA	1371920	NA	218	NA
