PeakID (cmd=annotatePeaks.pl SKNO1_2_636_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_2_636_R1_peak_12271	chr2	60460296	60460834	+	4193	NA	exon (BCL11A, exon 4 of 4)	NA	-58448	LOC102724142								
SKNO1_2_636_R1_peak_19465	chr7	4641682	4642463	+	2741	NA	Intergenic	NA	-40227	FOXK1								
SKNO1_2_636_R1_peak_15929	chr3	131502465	131503132	+	2219	NA	exon (MRPL3, exon 1 of 10)	NA	218	MRPL3								
SKNO1_2_636_R1_peak_9425	chr17	63773325	63774285	+	2184	NA	promoter-TSS (CCDC47)	NA	-77	CCDC47								
SKNO1_2_636_R1_peak_13598	chr20	17968228	17969164	+	2183	NA	promoter-TSS (MGME1)	NA	295	SNX5								
SKNO1_2_636_R1_peak_9881	chr17	81870850	81872337	+	2141	NA	promoter-TSS (ARHGDIA)	NA	-187	ARHGDIA								
SKNO1_2_636_R1_peak_9130	chr17	44070458	44071303	+	2139	NA	exon (G6PC3, exon 1 of 6)	NA	150	G6PC3								
SKNO1_2_636_R1_peak_654	chr1	38012197	38013040	+	2124	NA	promoter-TSS (UTP11L)	NA	-94	UTP11L								
SKNO1_2_636_R1_peak_16767	chr4	56434828	56437239	+	2067	NA	promoter-TSS (PAICS)	NA	-70	PAICS								
SKNO1_2_636_R1_peak_9003	chr17	40098868	40099711	+	2029	NA	intron (NR1D1, intron 1 of 7)	NA	1436	NR1D1								
SKNO1_2_636_R1_peak_10551	chr19	5719860	5720873	+	2000	NA	promoter-TSS (LONP1)	NA	-108	LONP1								
SKNO1_2_636_R1_peak_7917	chr16	21520065	21520802	+	1985	NA	promoter-TSS (SLC7A5P2)	NA	11	SLC7A5P2								
SKNO1_2_636_R1_peak_7610	chr15	92808638	92809792	+	1974	NA	intron (LOC101926994, intron 1 of 3)	NA	13731	ASB9P1								
SKNO1_2_636_R1_peak_19436	chr7	2354449	2355474	+	1955	NA	exon (EIF3B, exon 1 of 19)	NA	122	EIF3B								
SKNO1_2_636_R1_peak_7107	chr15	50354496	50355839	+	1955	NA	promoter-TSS (GABPB1)	NA	-4	GABPB1								
SKNO1_2_636_R1_peak_16722	chr4	53365540	53366425	+	1953	NA	promoter-TSS (SCFD2)	NA	93	SCFD2								
SKNO1_2_636_R1_peak_18059	chr5	171388120	171388812	+	1925	NA	intron (NPM1, intron 1 of 9)	NA	818	NPM1								
SKNO1_2_636_R1_peak_5022	chr12	57771725	57772354	+	1884	NA	promoter-TSS (METTL21B)	NA	92	METTL1								
SKNO1_2_636_R1_peak_8804	chr17	17206219	17206948	+	1866	NA	promoter-TSS (PLD6)	NA	-251	PLD6								
SKNO1_2_636_R1_peak_12106	chr2	28894369	28895179	+	1843	NA	exon (WDR43, exon 1 of 18)	NA	107	WDR43								
SKNO1_2_636_R1_peak_11362	chr19	41397127	41397903	+	1836	NA	promoter-TSS (EXOSC5)	NA	-164	EXOSC5								
SKNO1_2_636_R1_peak_9280	chr17	51153201	51154077	+	1830	NA	promoter-TSS (NME1)	NA	80	NME1								
SKNO1_2_636_R1_peak_6661	chr14	91417567	91418508	+	1821	NA	promoter-TSS (CCDC88C)	NA	-241	CCDC88C								
SKNO1_2_636_R1_peak_20615	chr8	48007993	48008802	+	1806	NA	promoter-TSS (UBE2V2)	NA	-26469	UBE2V2								
SKNO1_2_636_R1_peak_9665	chr17	76557426	76558297	+	1791	NA	promoter-TSS (SNHG16)	NA	97	SNHG16								
