chr	start	end	interval_id	num_peaks	num_samples	MV411_1_324_R1.bool	MV411_3_623_R1.bool	MV411_1_324_R1.fc	MV411_3_623_R1.fc	MV411_1_324_R1.qval	MV411_3_623_R1.qval	MV411_1_324_R1.pval	MV411_3_623_R1.pval	MV411_1_324_R1.start	MV411_3_623_R1.start	MV411_1_324_R1.end	MV411_3_623_R1.end	MV411_1_324_R1.summit	MV411_3_623_R1.summit	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	41751303	41751558	Interval_1	2	2	TRUE	TRUE	10.53991	5.59275	13.07781	2.38111	18.41641	7.7001	41751325	41751303	41751558	41751442	74	49	NA	intron (HIVEP3, intron 1 of 8)	NA	-122610	HIVEP3								
chr1	58784017	58784167	Interval_2	1	1	TRUE	FALSE	8.65923	NA	8.96625	NA	14.12834	NA	58784017	NA	58784167	NA	65	NA	NA	promoter-TSS (JUN)	NA	21	JUN								
chr1	67433955	67434105	Interval_3	1	1	TRUE	FALSE	6.0287	NA	3.70717	NA	8.51745	NA	67433955	NA	67434105	NA	70	NA	NA	Intergenic	NA	-3590	SERBP1								
chr1	72585090	72585168	Interval_4	1	1	FALSE	TRUE	NA	6.02065	NA	3.8883	NA	9.42619	NA	72585090	NA	72585168	NA	55	NA	Intergenic	NA	-190142	RP11-262K1.1								
chr1	89692822	89693005	Interval_5	1	1	TRUE	FALSE	7.90872	NA	7.46966	NA	12.54011	NA	89692822	NA	89693005	NA	79	NA	NA	intron (LRRC8C, intron 2 of 2)	NA	24620	LRRC8C								
chr1	97525624	97525709	Interval_6	1	1	FALSE	TRUE	NA	5.93338	NA	2.97143	NA	8.40404	NA	97525624	NA	97525709	NA	8	NA	intron (DPYD, intron 12 of 20)	NA	-271254	DPYD-AS2								
chr1	107623064	107623256	Interval_7	1	1	TRUE	FALSE	10.71768	NA	13.09491	NA	18.43834	NA	107623064	NA	107623256	NA	96	NA	NA	intron (VAV3, intron 20 of 25)	NA	-274063	MIR7852								
chr1	109816409	109816807	Interval_8	1	1	TRUE	FALSE	7.88973	NA	8.42076	NA	13.5485	NA	109816409	NA	109816807	NA	309	NA	NA	Intergenic	NA	-52586	EPS8L3								
chr1	148279941	148280034	Interval_9	1	1	FALSE	TRUE	NA	7.41672	NA	5.58131	NA	11.27751	NA	148279941	NA	148280034	NA	54	NA	intron (LOC284561, intron 1 of 1)	NA	720	LOC284561								
chr1	148280123	148280172	Interval_10	1	1	FALSE	TRUE	NA	7.41672	NA	5.58131	NA	11.27751	NA	148280123	NA	148280172	NA	35	NA	intron (LOC284561, intron 1 of 1)	NA	880	LOC284561								
