#mp734-MV411_DMSO-H3K27ac-r1 Enhancers
#Created from /home/jeremie/data/MV411_H3K27ac/mp734-MV411_DMSO-H3K27ac-r1_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by mp734.MV411_DMSO.H3K27ac.r1.mLb.clN.sorted.bam
#Using cutoff of 14575.053 for Super-Enhancers
#Created on Jun 01 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp734.MV411_DMSO.H3K27ac.r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam	enhancerRank	isSuper
24_MV411-DMSO-8h_2_734_R1_peak_46617_lociStitched	chr5	354472	449058	24	79302	202007.3202	11359.7786	1	1
59_MV411-DMSO-8h_2_734_R1_peak_5862_lociStitched	chr1	234915972	235105824	59	85858	182675.5944	22155.7284	2	1
11_MV411-DMSO-8h_2_734_R1_peak_41021_lociStitched	chr3	18381090	18449586	11	49212	154280.3904	6541.368	3	1
4_MV411-DMSO-8h_2_734_R1_peak_47278_lociStitched	chr5	50630161	50683207	4	50047	147844.5066	3983.7546	4	1
26_MV411-DMSO-8h_2_734_R1_peak_49905_lociStitched	chr6	7106065	7203579	26	62738	154130.6284	10629.026	5	1
30_MV411-DMSO-8h_2_734_R1_peak_19159_lociStitched	chr15	50046118	50147100	30	58068	143152.0832	10320.3604	6	1
59_MV411-DMSO-8h_2_734_R1_peak_12564_lociStitched	chr12	11711345	11864057	59	89726	148940.0136	16492.896	7	1
31_MV411-DMSO-8h_2_734_R1_peak_43411_lociStitched	chr3	152242512	152329584	31	61938	130503.5136	7583.9712	8	1
MV411-DMSO-8h_2_734_R1_peak_34098	chr2	144501852	144525666	1	23815	123889.9536	2588.5818	9	1
38_MV411-DMSO-8h_2_734_R1_peak_28037_lociStitched	chr18	77052481	77134744	38	51930	117759.4845	11023.242	10	1
13_MV411-DMSO-8h_2_734_R1_peak_11405_lociStitched	chr11	94525879	94585015	13	44976	109354.2912	5848.5504	11	1
14_MV411-DMSO-8h_2_734_R1_peak_2674_lociStitched	chr1	92455988	92502747	14	31845	107559.7277	4465.4845	12	1
19_MV411-DMSO-8h_2_734_R1_peak_34100_lociStitched	chr2	144642158	144716736	19	55986	106810.6116	7345.933	13	1
27_MV411-DMSO-8h_2_734_R1_peak_54368_lociStitched	chr7	38215414	38283124	27	45025	104618.721	5877.228	14	1
16_MV411-DMSO-8h_2_734_R1_peak_38456_lociStitched	chr21	34852160	34912807	16	34540	102736.018	6452.8408	15	1
15_MV411-DMSO-8h_2_734_R1_peak_34267_lociStitched	chr2	159591890	159639965	15	34415	96231.7275	3985.4175	16	1
12_MV411-DMSO-8h_2_734_R1_peak_44394_lociStitched	chr3	196609554	196655028	12	30898	95599.9902	4738.3908	17	1
22_MV411-DMSO-8h_2_734_R1_peak_29728_lociStitched	chr19	33241172	33304282	22	34430	99234.164	11984.589	18	1
6_MV411-DMSO-8h_2_734_R1_peak_3896_lociStitched	chr1	156477255	156509140	6	22705	85509.193	3701.8485	19	1
7_MV411-DMSO-8h_2_734_R1_peak_5774_lociStitched	chr1	234598394	234624628	7	18971	83912.0724	2898.857	20	1
29_MV411-DMSO-8h_2_734_R1_peak_7318_lociStitched	chr10	69038434	69102348	29	44386	87140.3476	6851.5808	21	1
14_MV411-DMSO-8h_2_734_R1_peak_59126_lociStitched	chr8	129513951	129557601	14	31399	85684.95	7176.06	22	1
2_MV411-DMSO-8h_2_734_R1_peak_48941_lociStitched	chr5	150760751	150791652	2	30838	80571.2674	2864.5227	23	1
5_MV411-DMSO-8h_2_734_R1_peak_28289_lociStitched	chr19	2058192	2096683	5	21547	83810.3034	6300.9767	24	1
16_MV411-DMSO-8h_2_734_R1_peak_59446_lociStitched	chr8	141084715	141165324	16	34190	91386.4233	13969.5397	25	1
17_MV411-DMSO-8h_2_734_R1_peak_30240_lociStitched	chr19	43720903	43785453	17	30172	88446.41	11767.465	26	1
15_MV411-DMSO-8h_2_734_R1_peak_6111_lociStitched	chr1	246066335	246117248	15	40903	80600.3703	4750.1829	27	1
10_MV411-DMSO-8h_2_734_R1_peak_18614_lociStitched	chr15	28713456	28741960	10	26693	76541.7912	1100.2544	28	1
11_MV411-DMSO-8h_2_734_R1_peak_10044_lociStitched	chr11	47358126	47404976	11	22560	80507.04	5490.82	29	1
10_MV411-DMSO-8h_2_734_R1_peak_41832_lociStitched	chr3	50588529	50633058	10	28577	80348.1276	5485.9728	30	1
MV411-DMSO-8h_2_734_R1_peak_32667	chr2	66432848	66453622	1	20775	76859.6452	2056.626	31	1
MV411-DMSO-8h_2_734_R1_peak_8736	chr10	123132668	123152340	1	19673	76402.1136	2220.9688	32	1
13_MV411-DMSO-8h_2_734_R1_peak_24990_lociStitched	chr17	40303987	40359344	13	30522	80616.3991	6681.5899	33	1
MV411-DMSO-8h_2_734_R1_peak_25745	chr17	58330227	58345873	1	15647	75089.8478	1875.9554	34	1
44_MV411-DMSO-8h_2_734_R1_peak_2586_lociStitched	chr1	89631992	89726334	44	52270	82058.6716	8896.4506	35	1
13_MV411-DMSO-8h_2_734_R1_peak_17662_lociStitched	chr14	75257146	75303643	13	28226	78305.5977	5184.4155	36	1
21_MV411-DMSO-8h_2_734_R1_peak_52638_lociStitched	chr6	135176432	135235912	21	31950	79144.088	6542.8	37	1
3_MV411-DMSO-8h_2_734_R1_peak_29018_lociStitched	chr19	12777288	12796452	3	16639	75655.6392	3376.6968	38	1
MV411-DMSO-8h_2_734_R1_peak_40373	chr22	50524437	50543371	1	18935	74016.7928	1946.4152	39	1
5_MV411-DMSO-8h_2_734_R1_peak_40249_lociStitched	chr22	46057387	46081856	5	23875	73999.1498	2588.8202	40	1
9_MV411-DMSO-8h_2_734_R1_peak_12633_lociStitched	chr12	12704301	12735002	9	17514	74532.8177	3478.4233	41	1
19_MV411-DMSO-8h_2_734_R1_peak_35589_lociStitched	chr2	231640152	231718316	19	26777	79164.4992	8308.8332	42	1
1_MV411-DMSO-8h_2_734_R1_peak_54395_lociStitched	chr7	38299107	38319025	1	19919	71756.5868	2324.4306	43	1
9_MV411-DMSO-8h_2_734_R1_peak_51670_lociStitched	chr6	45415224	45448573	9	28821	72143.8917	3071.4429	44	1
11_MV411-DMSO-8h_2_734_R1_peak_59597_lociStitched	chr8	143927287	143979905	11	27667	77727.3096	9255.5062	45	1
9_MV411-DMSO-8h_2_734_R1_peak_30929_lociStitched	chr19	54362304	54391147	9	25133	71521.9871	3991.8712	46	1
38_MV411-DMSO-8h_2_734_R1_peak_20089_lociStitched	chr15	75104176	75205423	38	37482	78709.4178	11349.7887	47	1
14_MV411-DMSO-8h_2_734_R1_peak_32132_lociStitched	chr2	43199671	43245623	14	25891	72319.2576	5325.8368	48	1
MV411-DMSO-8h_2_734_R1_peak_29077	chr19	13833018	13845609	1	12592	69365.0781	2403.6219	49	1
1_MV411-DMSO-8h_2_734_R1_peak_48422_lociStitched	chr5	135026703	135042394	1	15692	68547.7026	1724.4409	50	1
3_MV411-DMSO-8h_2_734_R1_peak_60454_lociStitched	chr9	78006243	78035547	3	29000	67390.4088	1233.6984	51	1
21_MV411-DMSO-8h_2_734_R1_peak_36663_lociStitched	chr20	23103031	23164974	21	42446	74034.2736	8046.3957	52	1
22_MV411-DMSO-8h_2_734_R1_peak_22047_lociStitched	chr16	30450431	30492631	22	35151	70440.24	4823.46	53	1
MV411-DMSO-8h_2_734_R1_peak_53507	chr6	169699839	169729425	1	29587	67618.803	2538.4788	54	1
7_MV411-DMSO-8h_2_734_R1_peak_3864_lociStitched	chr1	156084400	156130896	7	27280	70706.4672	5630.6656	55	1
47_MV411-DMSO-8h_2_734_R1_peak_54477_lociStitched	chr7	41725668	41839295	47	46970	76880.0282	12760.3121	56	1
25_MV411-DMSO-8h_2_734_R1_peak_7485_lociStitched	chr10	71693772	71777453	25	31962	74250.1513	10317.8673	57	1
2_MV411-DMSO-8h_2_734_R1_peak_29955_lociStitched	chr19	39397275	39412274	2	14850	66460.569	2852.8098	58	1
11_MV411-DMSO-8h_2_734_R1_peak_47255_lociStitched	chr5	50416875	50450155	11	21420	66004.224	2412.8	59	1
21_MV411-DMSO-8h_2_734_R1_peak_28434_lociStitched	chr19	4050389	4116361	21	27743	74594.5404	11301.0036	60	1
12_MV411-DMSO-8h_2_734_R1_peak_29123_lociStitched	chr19	14355557	14389082	12	22983	67981.995	5159.4975	61	1
3_MV411-DMSO-8h_2_734_R1_peak_6396_lociStitched	chr10	7402632	7418947	3	15230	63904.2235	1465.087	62	1
18_MV411-DMSO-8h_2_734_R1_peak_15603_lociStitched	chr13	28122052	28174046	18	15620	75874.8442	13700.419	63	1
13_MV411-DMSO-8h_2_734_R1_peak_36349_lociStitched	chr20	9481714	9523782	13	21103	65752.284	4635.8936	64	1
6_MV411-DMSO-8h_2_734_R1_peak_37684_lociStitched	chr20	53578501	53624758	6	24454	64135.3305	4089.1188	65	1
10_MV411-DMSO-8h_2_734_R1_peak_6938_lociStitched	chr10	43395504	43440843	10	21137	64707.8208	4683.5187	66	1
10_MV411-DMSO-8h_2_734_R1_peak_61886_lociStitched	chr9	131228025	131279367	10	24800	65178.669	5154.7368	67	1
2_MV411-DMSO-8h_2_734_R1_peak_28271_lociStitched	chr19	1852563	1876835	2	15854	64175.168	4264.5904	68	1
7_MV411-DMSO-8h_2_734_R1_peak_44032_lociStitched	chr3	185794883	185827363	7	17978	62546.736	3001.152	69	1
17_MV411-DMSO-8h_2_734_R1_peak_42228_lociStitched	chr3	71546030	71585068	17	21318	62667.7014	3642.2454	70	1
17_MV411-DMSO-8h_2_734_R1_peak_51222_lociStitched	chr6	37159940	37222737	17	30532	65352.8379	6556.0068	71	1
9_MV411-DMSO-8h_2_734_R1_peak_30462_lociStitched	chr19	47079693	47114506	9	18446	64390.1248	5632.7434	72	1
26_MV411-DMSO-8h_2_734_R1_peak_40957_lociStitched	chr3	17936962	18010956	26	33243	66106.2396	7946.9556	73	1
15_MV411-DMSO-8h_2_734_R1_peak_6402_lociStitched	chr10	7435876	7518758	15	39030	64954.6234	6870.9178	74	1
9_MV411-DMSO-8h_2_734_R1_peak_41735_lociStitched	chr3	49331757	49359577	9	22894	60806.174	2854.332	75	1
24_MV411-DMSO-8h_2_734_R1_peak_39702_lociStitched	chr22	37266781	37316302	24	33018	63718.6707	5972.2326	76	1
38_MV411-DMSO-8h_2_734_R1_peak_39608_lociStitched	chr22	36354456	36470383	38	38256	70518.3941	12867.897	77	1
10_MV411-DMSO-8h_2_734_R1_peak_63115_lociStitched	chrX	65985743	66021951	10	33269	59562.16	1911.7824	78	1
22_MV411-DMSO-8h_2_734_R1_peak_46456_lociStitched	chr4	180050536	180102247	22	33219	61339.5882	3883.4961	79	1
8_MV411-DMSO-8h_2_734_R1_peak_10594_lociStitched	chr11	65470818	65508097	8	22699	61532.7174	4231.1665	80	1
8_MV411-DMSO-8h_2_734_R1_peak_10739_lociStitched	chr11	67261324	67290940	8	23767	60878.6496	3657.576	81	1
23_MV411-DMSO-8h_2_734_R1_peak_1833_lociStitched	chr1	43830154	43871299	23	26152	61729.8435	4542.408	82	1
11_MV411-DMSO-8h_2_734_R1_peak_45723_lociStitched	chr4	95522336	95553854	11	29680	59112.009	2360.6982	83	1
17_MV411-DMSO-8h_2_734_R1_peak_5919_lociStitched	chr1	235844955	235917712	17	21504	64229.8796	7610.3822	84	1
34_MV411-DMSO-8h_2_734_R1_peak_9778_lociStitched	chr11	35028963	35117136	34	38212	64710.1647	9452.1456	85	1
MV411-DMSO-8h_2_734_R1_peak_29236	chr19	16135209	16151751	1	16543	57599.244	2587.1688	86	1
40_MV411-DMSO-8h_2_734_R1_peak_8187_lociStitched	chr10	96632845	96748185	40	35800	67416.23	12410.584	87	1
8_MV411-DMSO-8h_2_734_R1_peak_34828_lociStitched	chr2	199431723	199464598	8	21074	57935.6125	3077.1	88	1
MV411-DMSO-8h_2_734_R1_peak_28168	chr19	819915	829892	1	9978	56235.3605	1558.4074	89	1
29_MV411-DMSO-8h_2_734_R1_peak_11205_lociStitched	chr11	78285584	78361592	29	33788	61406.8632	7182.756	90	1
3_MV411-DMSO-8h_2_734_R1_peak_6421_lociStitched	chr10	11161241	11183704	3	22103	56209.1649	2089.059	91	1
11_MV411-DMSO-8h_2_734_R1_peak_15592_lociStitched	chr13	28072698	28108607	11	14668	63135.2038	9365.0672	92	1
5_MV411-DMSO-8h_2_734_R1_peak_26769_lociStitched	chr17	81393132	81406219	5	11967	54947.0782	1375.4437	93	1
11_MV411-DMSO-8h_2_734_R1_peak_29058_lociStitched	chr19	13139431	13182467	11	17726	59264.8756	6498.436	94	1
22_MV411-DMSO-8h_2_734_R1_peak_62654_lociStitched	chrX	30562343	30628530	22	30106	54888.8791	2726.9044	95	1
22_MV411-DMSO-8h_2_734_R1_peak_49380_lociStitched	chr5	175637477	175697190	22	31076	59163.6404	7147.6461	96	1
8_MV411-DMSO-8h_2_734_R1_peak_26762_lociStitched	chr17	81323046	81357663	8	15155	56148.774	4188.657	97	1
27_MV411-DMSO-8h_2_734_R1_peak_57110_lociStitched	chr8	27318268	27390573	27	27321	63664.5525	11706.1795	98	1
14_MV411-DMSO-8h_2_734_R1_peak_41535_lociStitched	chr3	46087667	46144384	14	25026	58548.9591	6641.5607	99	1
MV411-DMSO-8h_2_734_R1_peak_54150	chr7	27160486	27174884	1	14399	53360.4278	1494.5124	100	1
22_MV411-DMSO-8h_2_734_R1_peak_61304_lociStitched	chr9	114339945	114417660	22	27067	60438.9555	9147.0555	101	1
24_MV411-DMSO-8h_2_734_R1_peak_15629_lociStitched	chr13	28236701	28274213	24	25362	59298.9696	8984.124	102	1
18_MV411-DMSO-8h_2_734_R1_peak_60008_lociStitched	chr9	27563734	27656326	18	27237	59342.2128	9175.8672	103	1
