Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr22	29442122	29442455	5988	333	+	0	0	112	0	0	0	0	0	-1.0	-1.0
chr19	13961529	13962694	5989	1165	-	0.00193167954453	28.1573739766	242	9836	19	490	6	0	-1.0	-1.0
chr12	109448654	109451813	83892	3159	-	0.000918836140888	18.7907373273	921	6530	6	327	3	0	-1.0	-1.0
chr12	109456117	109456313	83892	196	-	0	0	57	0	0	0	0	0	-1.0	-1.0
chr12	109457629	109457682	83892	53	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr12	109457991	109458078	83892	87	-	0	0	20	0	0	0	0	0	-1.0	-1.0
chr12	109460635	109460805	83892	170	-	0	0	31	0	0	0	0	0	-1.0	-1.0
chr12	109469514	109469728	83892	214	-	0	0	35	0	0	0	0	0	-1.0	-1.0
chr12	109477259	109477544	83892	285	-	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	74231501	74232105	5982	604	-	0.0	14.7682553306	138	3556	0	257	0	0	-1.0	-1.0
chr13	33836295	33837507	5983	1212	+	0.0	15.7451438155	467	6363	0	274	0	1	-1.0	-1.0
chr13	33966125	33966558	5983	433	+	0.0	0.861960427856	140	279	0	15	0	0	-1.0	-1.0
chr6	111299030	111300015	5980	985	-	0.0047976011994	7.47032370809	385	3335	16	130	5	0	-1.0	-1.0
chr4	39287448	39288760	5981	1312	-	0.00106598443663	23.9050358659	431	9381	10	416	5	0	-1.0	-1.0
chr17	82047901	82048725	5986	824	-	0.0	5.74640285238	158	1581	0	100	0	0	-1.0	-1.0
chr6	28903001	28904069	5987	1068	-	0.00445668908516	43.6726616781	337	12341	55	760	20	0	-1.0	-1.0
chr6_GL000250v2_alt	168585	169653	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	393696	394764	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	168756	169824	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	168583	169651	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	212403	213471	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr3	186789892	186789968	5984	76	-	0.0	29.2491905186	22	6441	0	509	0	0	-1.0	-1.0
chr12	118031278	118032237	5985	959	+	0.0	68.6120500574	310	26213	0	1194	0	1	-1.0	-1.0
chr17	40999192	40999556	83897	364	-	0	0	127	0	0	0	0	0	-1.0	-1.0
chr17_JH159146v1_alt	148587	148951	83897	364	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr15	70570957	70573431	101929151	2474	-	0	0	760	0	0	0	0	0	-1.0	-1.0
chr15	70585874	70586606	101929151	732	-	0	0	139	0	0	0	0	0	-1.0	-1.0
chr17	41026025	41026630	83895	605	-	0	0	204	0	0	0	0	0	-1.0	-1.0
chr17_JH159146v1_alt	175420	176025	83895	605	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr3	49549305	49551442	100132677	2137	-	0	0	458	0	0	0	0	0	-1.0	-1.0
chr3	49553547	49553687	100132677	140	-	0	0	43	0	0	0	0	0	-1.0	-1.0
chr3	49554040	49554366	100132677	326	-	0	0	50	0	0	0	0	0	-1.0	-1.0
chr15	45164901	45165578	53905	677	+	0	0	168	0	0	0	0	0	-1.0	-1.0
chr6	30812865	30814772	401247	1907	-	0	0	425	0	0	0	0	0	-1.0	-1.0
chr6	30830514	30830659	401247	145	-	0	0	23	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	2292590	2294497	401247	1907	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	2310245	2310390	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2069152	2069718	401247	566	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2069738	2071078	401247	1340	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2086777	2086923	401247	146	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	2123107	2125014	401247	1907	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	2140759	2140904	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	2067966	2069877	401247	1911	-	0	0	0	0	0	0	0	0	-1.0	-1.0
