PeakID (cmd=annotatePeaks.pl MEF2C.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2406	chr2	120498285	120498401	+	0	NA	Intergenic	NA	-31994	LINC01101								
Interval_4091	chr7	75624205	75624408	+	0	NA	intron (HIP1, intron 1 of 30)	NA	-68817	LOC102723650								
Interval_3894	chr6	136610364	136610573	+	0	NA	intron (MAP3K5, intron 18 of 29)	NA	-18687	RP3-325F22.3								
Interval_4495	chr8	125273397	125273587	+	0	NA	intron (NSMCE2, intron 5 of 7)	NA	147158	LOC102723524								
Interval_1126	chr13	28636847	28637010	+	0	NA	Intergenic	NA	-22076	POMP								
Interval_1081	chr12	122197676	122197866	+	0	NA	intron (LRRC43, intron 7 of 11)	NA	-5910	B3GNT4								
Interval_3770	chr6	42333481	42333902	+	0	NA	intron (TRERF1, intron 3 of 17)	NA	-115826	MRPS10								
Interval_201	chr1	110873045	110873269	+	0	NA	promoter-TSS (CD53)	NA	1958	CD53								
Interval_3753	chr6	35034645	35034818	+	0	NA	intron (ANKS1A, intron 12 of 24)	NA	106679	TCP11								
Interval_3172	chr3	179853279	179853542	+	0	NA	intron (PEX5L, intron 8 of 14)	NA	-46127	RP11-791G22.1								
Interval_342	chr1	202353334	202353530	+	0	NA	intron (PPP1R12B, intron 1 of 13)	NA	4730	PPP1R12B								
Interval_3532	chr5	94432610	94432744	+	0	NA	intron (KIAA0825, intron 14 of 20)	NA	-184709	ANKRD32								
Interval_2095	chr19	35442062	35442364	+	0	NA	Intergenic	NA	-7502	FFAR2								
Interval_2317	chr2	64767722	64767977	+	0	NA	Intergenic	NA	95782	AC007880.1								
Interval_3866	chr6	116279963	116280166	+	0	NA	promoter-TSS (TSPYL1)	NA	53	TSPYL1								
Interval_471	chr10	4250525	4250688	+	0	NA	Intergenic	NA	-6694	LINC00702								
Interval_3189	chr3	188507263	188507536	+	0	NA	intron (LPP, intron 3 of 9)	NA	61267	LPP-AS1								
Interval_3459	chr5	32390908	32391311	+	0	NA	intron (ZFR, intron 11 of 18)	NA	3342	MIR579								
Interval_4035	chr7	34143544	34143729	+	0	NA	TTS (BMPER)	NA	238136	BMPER								
Interval_4624	chr9	91193169	91193423	+	0	NA	Intergenic	NA	-74268	LOC100507103								
Interval_1578	chr16	31301961	31302335	+	0	NA	intron (ITGAM, intron 14 of 29)	NA	42181	ITGAM								
Interval_3517	chr5	81506977	81507256	+	0	NA	intron (SSBP2, intron 4 of 14)	NA	-112982	ACOT12								
Interval_524	chr10	47104898	47105027	+	0	NA	Intergenic	NA	-106018	LOC101929216								
Interval_4842	chrX	133608504	133608824	+	0	NA	intron (GPC3, intron 7 of 8)	NA	-193487	GPC4								
Interval_1525	chr16	9061634	9061791	+	0	NA	Intergenic	NA	-29968	C16orf72								
Interval_2128	chr19	44856288	44856614	+	0	NA	intron (PVRL2, intron 1 of 8)	NA	10315	PVRL2								
Interval_858	chr12	1545196	1545454	+	0	NA	Intergenic	NA	44834	LINC00942								
Interval_3321	chr4	102298830	102299027	+	0	NA	intron (SLC39A8, intron 6 of 8)	NA	26068	LOC101929375								
Interval_3294	chr4	73772448	73772700	+	0	NA	Intergenic	NA	32068	IL8								
Interval_906	chr12	25333814	25334186	+	0	NA	Intergenic	NA	-83080	KRAS								
Interval_4387	chr8	72889155	72889271	+	0	NA	intron (KCNB2, intron 2 of 2)	NA	-30386	KCNB2								
Interval_3794	chr6	54249126	54249270	+	0	NA	intron (MLIP, intron 12 of 13)	NA	-58832	TINAG								
Interval_1111	chr13	19984747	19984933	+	0	NA	intron (ZMYM2, intron 3 of 25)	NA	26113	ZMYM2								
Interval_116	chr1	53839141	53839353	+	0	NA	promoter-TSS (NDC1)	NA	-1178	NDC1								
Interval_3734	chr6	26389401	26389599	+	0	NA	intron (BTN2A2, intron 2 of 5)	NA	6399	BTN2A2								
Interval_2466	chr2	168585804	168586003	+	0	NA	intron (CERS6, intron 3 of 10)	NA	2960	MIR4774								
Interval_4551	chr8	144036158	144036337	+	0	NA	TTS (LOC102723931)	NA	8209	LOC102723931								
Interval_2212	chr2	10544551	10544667	+	0	NA	Intergenic	NA	92165	LOC102723993								
