#mp70-MV411-H3K27ac-r2 Enhancers
#Created from /home/jeremie/data/MV411_H3K27ac/mp70-MV411-H3K27ac-r2_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by mp70.MV411.H3K27ac.r2.mLb.clN.sorted.bam
#Using cutoff of 8383.3764 for Super-Enhancers
#Created on May 29 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp70.MV411.H3K27ac.r2.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam	enhancerRank	isSuper
168_MV411_1_70_R1_peak_10797_lociStitched	chr1	234804425	235093218	168	119839	154157.7034	32922.402	1	1
150_MV411_1_70_R1_peak_107125_lociStitched	chr8	142089423	142381486	150	108436	163905.7556	46992.9367	2	1
179_MV411_1_70_R1_peak_52880_lociStitched	chr18	79355479	79651222	179	124576	150000.8496	35932.7745	3	1
209_MV411_1_70_R1_peak_925_lociStitched	chr1	3077954	3379023	209	100736	124702.7798	31040.2139	4	1
136_MV411_1_70_R1_peak_13341_lociStitched	chr10	71566803	71785361	136	82018	107792.8056	26095.8252	5	1
63_MV411_1_70_R1_peak_103667_lociStitched	chr8	22646575	22788433	63	68161	107046.0468	25406.7678	6	1
129_MV411_1_70_R1_peak_17381_lociStitched	chr11	2665027	2864786	129	97929	103694.8969	22572.767	7	1
51_MV411_1_70_R1_peak_88190_lociStitched	chr5	343205	446582	51	62115	91488.645	12312.2007	8	1
113_MV411_1_70_R1_peak_13969_lociStitched	chr10	79044147	79194778	113	74544	90725.0513	18241.4141	9	1
117_MV411_1_70_R1_peak_60767_lociStitched	chr2	8452638	8664563	117	71741	95917.255	24095.8725	10	1
35_MV411_1_70_R1_peak_57242_lociStitched	chr19	33236581	33311800	35	52671	83297.5206	14171.2596	11	1
78_MV411_1_70_R1_peak_52667_lociStitched	chr18	76984476	77138662	78	57938	89412.4614	20414.2264	12	1
81_MV411_1_70_R1_peak_80065_lociStitched	chr3	12975027	13116091	81	71762	84596.0808	16560.9136	13	1
92_MV411_1_70_R1_peak_51094_lociStitched	chr17	83048208	83205291	92	69238	85076.1528	17499.0462	14	1
115_MV411_1_70_R1_peak_80238_lociStitched	chr3	14230803	14436742	115	68126	91704.6367	24383.1776	15	1
82_MV411_1_70_R1_peak_79035_lociStitched	chr22	46547037	46696428	82	64617	82478.7711	16477.8273	16	1
133_MV411_1_70_R1_peak_38621_lociStitched	chr16	11020268	11262481	133	63588	92670.6938	27975.6015	17	1
87_MV411_1_70_R1_peak_54500_lociStitched	chr19	5003890	5161341	87	59370	90990.9329	27160.2975	18	1
101_MV411_1_70_R1_peak_15873_lociStitched	chr10	124591299	124737126	101	71527	80802.7407	17820.0594	19	1
116_MV411_1_70_R1_peak_3328_lociStitched	chr1	24933059	25146989	116	59673	87818.265	24922.845	20	1
129_MV411_1_70_R1_peak_22955_lociStitched	chr11	119459887	119719890	129	67114	90559.0449	28522.3291	21	1
121_MV411_1_70_R1_peak_86524_lociStitched	chr4	7599626	7788948	121	62561	78739.0198	19822.0134	22	1
99_MV411_1_70_R1_peak_18022_lociStitched	chr11	12066929	12254467	99	52516	79666.1424	21210.5478	23	1
104_MV411_1_70_R1_peak_98000_lociStitched	chr7	1988263	2155324	104	60862	75361.2171	17925.6453	24	1
98_MV411_1_70_R1_peak_24475_lociStitched	chr12	11701564	11864021	98	55707	74405.306	17691.5673	25	1
71_MV411_1_70_R1_peak_3026_lociStitched	chr1	21841594	21984077	71	58764	71013.5272	15473.6538	26	1
114_MV411_1_70_R1_peak_112119_lociStitched	chr9	133782595	133982464	114	52719	77908.9362	22445.2887	27	1
45_MV411_1_70_R1_peak_106873_lociStitched	chr8	141086392	141167256	45	40729	68362.4256	13924.7808	28	1
114_MV411_1_70_R1_peak_97937_lociStitched	chr7	1805428	1955033	114	66841	67367.1315	14436.8825	29	1
105_MV411_1_70_R1_peak_4996_lociStitched	chr1	41640594	41807772	105	56398	72354.6384	19777.1574	30	1
88_MV411_1_70_R1_peak_110423_lociStitched	chr9	124187501	124349168	88	47661	71553.8142	19060.5393	31	1
109_MV411_1_70_R1_peak_86654_lociStitched	chr4	8165163	8353122	109	54585	72702.5412	20995.0203	32	1
100_MV411_1_70_R1_peak_1053_lociStitched	chr1	3457417	3619908	100	58629	68847.4367	17142.8005	33	1
96_MV411_1_70_R1_peak_3766_lociStitched	chr1	27496529	27666504	96	50699	70845.58	19275.165	34	1
60_MV411_1_70_R1_peak_106471_lociStitched	chr8	133478091	133584558	60	40198	69235.4901	18280.3839	35	1
59_MV411_1_70_R1_peak_67052_lociStitched	chr2	231292527	231405519	59	52249	62947.8432	12056.2464	36	1
78_MV411_1_70_R1_peak_14069_lociStitched	chr10	79226314	79354043	78	47250	65933.7098	15340.2529	37	1
61_MV411_1_70_R1_peak_39452_lociStitched	chr16	29107285	29199687	61	57182	57612.647	7087.2334	38	1
71_MV411_1_70_R1_peak_97503_lociStitched	chr7	526328	645358	71	51506	62645.489	13152.815	39	1
108_MV411_1_70_R1_peak_48926_lociStitched	chr17	73414756	73630654	108	42095	71419.0584	22971.5472	40	1
105_MV411_1_70_R1_peak_102653_lociStitched	chr7	157587112	157799823	105	47515	68960.9062	20526.6115	41	1
52_MV411_1_70_R1_peak_92624_lociStitched	chr6	7083594	7188498	52	43733	59637.924	11214.2376	42	1
79_MV411_1_70_R1_peak_35711_lociStitched	chr15	75096890	75238245	79	47080	63906.5955	15718.676	43	1
76_MV411_1_70_R1_peak_39009_lociStitched	chr16	17313033	17462756	76	43195	63153.1614	16065.2779	44	1
77_MV411_1_70_R1_peak_45502_lociStitched	chr17	27444663	27605079	77	41049	65401.6032	18447.84	45	1
63_MV411_1_70_R1_peak_16280_lociStitched	chr10	132383053	132479200	63	47461	55659.4983	10691.5464	46	1
