MV411	chr14_KI270726v1_random
E1	E2	E3	E4	E5	E6	E7	E8
0	0	0.0049	0	0.0004	0.0026	0.9803	0.0117
0	0.0001	0.0046	0.0001	0.0001	0.0006	0.9829	0.0116
0	0.0001	0.0044	0.0001	0	0.0004	0.9836	0.0115
0	0.0001	0.0042	0.0002	0	0.0004	0.9839	0.0113
0	0.0001	0.0041	0.0002	0	0.0004	0.9841	0.0112
0	0.0001	0.004	0.0002	0	0.0004	0.9843	0.0111
0	0.0001	0.004	0.0002	0	0.0004	0.9844	0.011
0	0.0001	0.004	0.0002	0	0.0004	0.9844	0.0109
0	0.0001	0.004	0.0003	0	0.0004	0.9845	0.0108
0	0.0001	0.004	0.0003	0	0.0004	0.9845	0.0108
0	0.0001	0.0041	0.0003	0	0.0004	0.9844	0.0107
0	0.0001	0.0042	0.0004	0	0.0004	0.9843	0.0107
0	0.0001	0.0043	0.0004	0	0.0004	0.9842	0.0106
0	0.0001	0.0045	0.0005	0	0.0004	0.9839	0.0106
0	0.0001	0.0049	0.0005	0	0.0004	0.9835	0.0106
0	0.0001	0.0054	0.0006	0	0.0004	0.9829	0.0106
0	0.0001	0.0062	0.0006	0	0.0004	0.982	0.0106
0	0.0002	0.0075	0.0007	0	0.0004	0.9806	0.0106
0	0.0002	0.0095	0.0008	0	0.0004	0.9784	0.0106
0	0.0003	0.0126	0.0009	0	0.0004	0.9751	0.0106
0	0.0004	0.0175	0.001	0	0.0005	0.9699	0.0107
0	0.0006	0.025	0.0012	0	0.0006	0.9619	0.0107
0	0.0011	0.0367	0.0013	0.0001	0.0011	0.9491	0.0106
0	0.0018	0.0544	0.0014	0.0002	0.0071	0.9247	0.0105
0	0.0022	0.0742	0.0014	0.0008	0.0805	0.8313	0.0095
0	0	0.0102	0.0001	0.0026	0.987	0	0.0001
0	0	0	0	0.0003	0.9997	0	0
0	0.0001	0.0354	0.0023	0	0.0815	0.8782	0.0024
0	0.0001	0.027	0.0022	0	0.0072	0.961	0.0025
0	0.0001	0.019	0.002	0	0.0011	0.9754	0.0023
0	0.0001	0.0137	0.0018	0	0.0005	0.9817	0.0022
