REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp183-MV411_DMSO-H3K27ac-r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam
87_MV411-DMSO_1_183_R1_peak_5650_lociStitched	chr1	234827326	235105923	87	117577	190978.2435	32985.8848
48_MV411-DMSO_1_183_R1_peak_31340_lociStitched	chr2	43083634	43245639	48	57468	100135.2905	19246.194
63_MV411-DMSO_1_183_R1_peak_12508_lociStitched	chr12	11711124	11863627	63	90807	110869.681	16485.5743
34_MV411-DMSO_1_183_R1_peak_34932_lociStitched	chr2	231290304	231425709	34	55990	87038.334	14420.6325
29_MV411-DMSO_1_183_R1_peak_20735_lociStitched	chr16	11021455	11153303	29	21823	36337.3088	15307.5528
18_MV411-DMSO_1_183_R1_peak_58122_lociStitched	chr8	141204924	141336483	18	31015	71041.86	23759.5554
45_MV411-DMSO_1_183_R1_peak_1780_lociStitched	chr1	43762368	43886144	45	61884	99119.8208	12885.0816
29_MV411-DMSO_1_183_R1_peak_57786_lociStitched	chr8	129487100	129600997	29	51854	108532.4513	17414.8513
30_MV411-DMSO_1_183_R1_peak_45811_lociStitched	chr5	342728	449077	30	63980	116792.4718	12634.2612
33_MV411-DMSO_1_183_R1_peak_49019_lociStitched	chr6	7100734	7206548	33	74370	123950.5196	11533.726
28_MV411-DMSO_1_183_R1_peak_37895_lociStitched	chr21	34808257	34912467	28	34997	71060.799	11452.679
37_MV411-DMSO_1_183_R1_peak_11083_lociStitched	chr11	78256700	78360717	37	38946	51436.4065	9850.4099
29_MV411-DMSO_1_183_R1_peak_39056_lociStitched	chr22	36370514	36474137	29	37224	52453.9626	11450.3415
33_MV411-DMSO_1_183_R1_peak_8649_lociStitched	chr10	124637659	124740981	33	33091	51371.6984	12470.9654
30_MV411-DMSO_1_183_R1_peak_58672_lociStitched	chr9	27555622	27657162	30	36764	52394.64	9818.918
29_MV411-DMSO_1_183_R1_peak_7636_lociStitched	chr10	79066901	79165859	29	37290	60047.7144	12359.8542
21_MV411-DMSO_1_183_R1_peak_18066_lociStitched	chr15	25778522	25876682	21	27194	36044.352	10169.376
34_MV411-DMSO_1_183_R1_peak_20922_lociStitched	chr16	17292683	17389299	34	51613	70549.0032	10618.0984
23_MV411-DMSO_1_183_R1_peak_53314_lociStitched	chr7	38222925	38318888	23	56957	105607.2815	9212.448
22_MV411-DMSO_1_183_R1_peak_18607_lociStitched	chr15	50050890	50146405	22	56358	95706.03	9713.8755
29_MV411-DMSO_1_183_R1_peak_27534_lociStitched	chr18	77039511	77134786	29	63766	122037.7475	12662.0475
41_MV411-DMSO_1_183_R1_peak_7831_lociStitched	chr10	88025706	88120432	41	38121	47722.9588	10884.0174
33_MV411-DMSO_1_183_R1_peak_2612_lociStitched	chr1	89632039	89726510	33	56304	62596.4846	8899.1682
26_MV411-DMSO_1_183_R1_peak_39343_lociStitched	chr22	40400776	40494545	26	27852	41783.4664	9967.6447
19_MV411-DMSO_1_183_R1_peak_41601_lociStitched	chr3	71495361	71585374	19	28427	56492.1588	8713.2584
31_MV411-DMSO_1_183_R1_peak_27256_lociStitched	chr18	63055523	63145285	31	28038	51011.7446	12719.2754
24_MV411-DMSO_1_183_R1_peak_55944_lociStitched	chr8	27325483	27413830	24	26947	53220.2328	14082.5118
36_MV411-DMSO_1_183_R1_peak_20297_lociStitched	chr15	101167689	101255024	36	38356	46811.56	9571.916
24_MV411-DMSO_1_183_R1_peak_49307_lociStitched	chr6	14864432	14950644	24	22144	36398.7064	9216.0628
30_MV411-DMSO_1_183_R1_peak_9667_lociStitched	chr11	35030138	35115974	30	30693	38952.3768	9158.7012
21_MV411-DMSO_1_183_R1_peak_35209_lociStitched	chr2	239204836	239289713	21	22799	37676.9003	8810.2326
27_MV411-DMSO_1_183_R1_peak_1695_lociStitched	chr1	41721797	41805267	27	23717	38195.872	9498.886
15_MV411-DMSO_1_183_R1_peak_5618_lociStitched	chr1	234655289	234738451	15	20145	36034.0946	9912.9104
24_MV411-DMSO_1_183_R1_peak_1145_lociStitched	chr1	28091689	28174678	24	25423	31776.4881	8522.9703
17_MV411-DMSO_1_183_R1_peak_50981_lociStitched	chr6	87685139	87767622	17	12933	23474.6618	7728.6571
22_MV411-DMSO_1_183_R1_peak_49392_lociStitched	chr6	15287536	15369786	22	15517	24049.9	8726.725
35_MV411-DMSO_1_183_R1_peak_21270_lociStitched	chr16	29107009	29188980	35	50561	63511.1308	6451.1177
29_MV411-DMSO_1_183_R1_peak_58109_lociStitched	chr8	141084354	141165502	29	37000	80644.8824	14095.4076
22_MV411-DMSO_1_183_R1_peak_5742_lociStitched	chr1	235821765	235901526	22	31331	56662.2144	7864.4346
