chr	start	end	interval_id	num_peaks	num_samples	MV411_1_433_R1.bool	MV411_9_716_R1.bool	MV411_1_433_R1.fc	MV411_9_716_R1.fc	MV411_1_433_R1.qval	MV411_9_716_R1.qval	MV411_1_433_R1.pval	MV411_9_716_R1.pval	MV411_1_433_R1.start	MV411_9_716_R1.start	MV411_1_433_R1.end	MV411_9_716_R1.end	MV411_1_433_R1.summit	MV411_9_716_R1.summit	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	8974069	8974235	Interval_1	2	2	TRUE	TRUE	9.33952	8.75136	9.29441	8.8224	15.36898	13.99349	8974121	8974069	8974231	8974235	36	73	NA	intron (CA6, intron 7 of 7)	NA	28318	CA6								
chr1	19133716	19133793	Interval_2	1	1	FALSE	TRUE	NA	5.0599	NA	2.71786	NA	7.3122	NA	19133716	NA	19133793	NA	41	NA	intron (UBR4, intron 61 of 106)	NA	76563	UBR4								
chr1	20102995	20103120	Interval_3	2	2	TRUE	TRUE	5.33687	6.37758	2.09975	4.61556	7.21276	9.45954	20103054	20102995	20103120	20103072	23	16	NA	Intergenic	NA	16508	PLA2G2D								
chr1	23378281	23378459	Interval_4	1	1	FALSE	TRUE	NA	5.01158	NA	2.651	NA	7.16083	NA	23378281	NA	23378459	NA	39	NA	Intergenic	NA	9399	C1orf213								
chr1	23559646	23559832	Interval_5	1	1	FALSE	TRUE	NA	6.56352	NA	4.72111	NA	9.57798	NA	23559646	NA	23559832	NA	28	NA	promoter-TSS (ID3)	NA	55	ID3								
chr1	25699132	25699336	Interval_6	1	1	FALSE	TRUE	NA	11.7498	NA	15.57402	NA	21.06733	NA	25699132	NA	25699336	NA	130	NA	intron (MAN1C1, intron 1 of 9)	NA	81766	MAN1C1								
chr1	25730902	25731116	Interval_7	1	1	FALSE	TRUE	NA	5.81906	NA	3.90043	NA	8.62782	NA	25730902	NA	25731116	NA	37	NA	intron (MAN1C1, intron 1 of 9)	NA	-69167	SEPN1								
chr1	30869115	30869314	Interval_8	2	2	TRUE	TRUE	7.91571	6.56352	6.59936	4.72111	12.33537	9.57798	30869115	30869123	30869206	30869314	33	49	NA	TTS (SDC3)	NA	8307	LOC102723832								
chr1	49938995	49939075	Interval_9	1	1	FALSE	TRUE	NA	5.91852	NA	4.12276	NA	8.93914	NA	49938995	NA	49939075	NA	7	NA	intron (AGBL4, intron 1 of 13)	NA	84919	AGBL4								
chr1	56191030	56191107	Interval_10	1	1	FALSE	TRUE	NA	4.11734	NA	1.44035	NA	5.50068	NA	56191030	NA	56191107	NA	65	NA	Intergenic	NA	-248787	LOC102724140								
chr1	72366655	72366744	Interval_11	1	1	FALSE	TRUE	NA	5.90415	NA	4.12276	NA	8.8927	NA	72366655	NA	72366744	NA	36	NA	Intergenic	NA	-84106	NEGR1								
chr1	89754440	89754752	Interval_12	1	1	FALSE	TRUE	NA	8.95278	NA	9.51737	NA	14.74085	NA	89754440	NA	89754752	NA	146	NA	intron (LOC102723361, intron 1 of 2)	NA	-2121	LOC102723361								
chr1	90990068	90990156	Interval_13	1	1	FALSE	TRUE	NA	7.60953	NA	7.1976	NA	12.27488	NA	90990068	NA	90990156	NA	46	NA	intron (ZNF644, intron 1 of 5)	NA	31696	LOC102723410								
chr1	91628891	91628938	Interval_14	1	1	TRUE	FALSE	7.52816	NA	5.86495	NA	11.52592	NA	91628891	NA	91628938	NA	25	NA	NA	Intergenic	NA	-61105	LOC102723436								
chr1	92356921	92357027	Interval_15	1	1	FALSE	TRUE	NA	5.90415	NA	4.12276	NA	8.8927	NA	92356921	NA	92357027	NA	48	NA	intron (RPAP2, intron 11 of 11)	NA	57924	RPAP2								
chr1	93817053	93817152	Interval_16	1	1	FALSE	TRUE	NA	7.22417	NA	6.1543	NA	11.1402	NA	93817053	NA	93817152	NA	61	NA	intron (BCAR3, intron 2 of 13)	NA	-29729	MIR760								
chr1	94106187	94106376	Interval_17	1	1	FALSE	TRUE	NA	6.7476	NA	5.60407	NA	10.52833	NA	94106187	NA	94106376	NA	117	NA	intron (ABCA4, intron 4 of 49)	NA	14867	ABCA4								
chr1	101004133	101004265	Interval_18	1	1	FALSE	TRUE	NA	7.60953	NA	7.1976	NA	12.27488	NA	101004133	NA	101004265	NA	83	NA	intron (DPH5, intron 3 of 6)	NA	21607	DPH5								
chr1	104467781	104467975	Interval_19	1	1	FALSE	TRUE	NA	7.325	NA	6.41926	NA	11.41619	NA	104467781	NA	104467975	NA	153	NA	Intergenic	NA	394855	LOC100129138								
chr1	105579104	105579201	Interval_20	1	1	FALSE	TRUE	NA	10.99154	NA	14.02003	NA	19.46447	NA	105579104	NA	105579201	NA	34	NA	Intergenic	NA	26823	RP11-251P6.1								
chr1	109214850	109214953	Interval_21	1	1	TRUE	FALSE	6.43452	NA	3.90154	NA	9.30944	NA	109214850	NA	109214953	NA	86	NA	NA	exon (SARS, exon 2 of 2)	NA	1009	SARS								
chr1	109214982	109215059	Interval_22	1	1	FALSE	TRUE	NA	5.63172	NA	3.41972	NA	8.09585	NA	109214982	NA	109215059	NA	28	NA	exon (SARS, exon 2 of 2)	NA	1128	SARS								
chr1	122515665	122515756	Interval_23	1	1	FALSE	TRUE	NA	13.52804	NA	19.54926	NA	25.2064	NA	122515665	NA	122515756	NA	44	NA	Intergenic	NA	996599	EMBP1								
chr1	122680345	122680422	Interval_24	1	1	FALSE	TRUE	NA	6.58774	NA	5.15414	NA	10.03876	NA	122680345	NA	122680422	NA	38	NA	Intergenic	NA	1161272	EMBP1								
chr1	122780522	122780612	Interval_25	1	1	FALSE	TRUE	NA	8.45503	NA	8.82439	NA	14.0138	NA	122780522	NA	122780612	NA	37	NA	Intergenic	NA	1261455	EMBP1								
chr1	122799068	122799145	Interval_26	1	1	FALSE	TRUE	NA	6.56352	NA	4.72111	NA	9.57798	NA	122799068	NA	122799145	NA	18	NA	Intergenic	NA	1279995	EMBP1								
chr1	122843926	122844013	Interval_27	1	1	FALSE	TRUE	NA	9.27794	NA	10.44525	NA	15.72045	NA	122843926	NA	122844013	NA	34	NA	Intergenic	NA	1324858	EMBP1								
chr1	122881033	122881119	Interval_28	1	1	FALSE	TRUE	NA	9.27794	NA	10.44525	NA	15.72045	NA	122881033	NA	122881119	NA	41	NA	Intergenic	NA	1361964	EMBP1								
chr1	122908186	122908263	Interval_29	1	1	FALSE	TRUE	NA	6.76402	NA	5.6262	NA	10.58155	NA	122908186	NA	122908263	NA	36	NA	Intergenic	NA	1389113	EMBP1								
chr1	122922431	122922508	Interval_30	1	1	FALSE	TRUE	NA	6.7476	NA	5.60407	NA	10.52833	NA	122922431	NA	122922508	NA	20	NA	Intergenic	NA	1403358	EMBP1								
chr1	122943052	122943151	Interval_31	1	1	FALSE	TRUE	NA	12.30102	NA	20.17086	NA	25.85559	NA	122943052	NA	122943151	NA	52	NA	Intergenic	NA	1423990	EMBP1								
chr1	122944673	122944772	Interval_32	1	1	FALSE	TRUE	NA	9.30053	NA	10.5071	NA	15.794	NA	122944673	NA	122944772	NA	45	NA	Intergenic	NA	1425611	EMBP1								
chr1	122962714	122962820	Interval_33	1	1	FALSE	TRUE	NA	11.47822	NA	15.77713	NA	21.27984	NA	122962714	NA	122962820	NA	58	NA	Intergenic	NA	1443655	EMBP1								
chr1	122963594	122963671	Interval_34	1	1	FALSE	TRUE	NA	6.76402	NA	5.6262	NA	10.58155	NA	122963594	NA	122963671	NA	42	NA	Intergenic	NA	1444521	EMBP1								
chr1	123108580	123108669	Interval_35	1	1	FALSE	TRUE	NA	10.96484	NA	13.94787	NA	19.37735	NA	123108580	NA	123108669	NA	58	NA	Intergenic	NA	1589513	EMBP1								
chr1	123147689	123147767	Interval_36	1	1	FALSE	TRUE	NA	7.60953	NA	7.1976	NA	12.27488	NA	123147689	NA	123147767	NA	21	NA	Intergenic	NA	1628616	EMBP1								
chr1	123187957	123188045	Interval_37	1	1	FALSE	TRUE	NA	13.19995	NA	20.01688	NA	25.69622	NA	123187957	NA	123188045	NA	33	NA	Intergenic	NA	1668889	EMBP1								
chr1	123297058	123297149	Interval_38	1	1	FALSE	TRUE	NA	6.22394	NA	4.59841	NA	9.44061	NA	123297058	NA	123297149	NA	48	NA	Intergenic	NA	1777992	EMBP1								
chr1	123325229	123325326	Interval_39	1	1	FALSE	TRUE	NA	21.08624	NA	37.33867	NA	43.55325	NA	123325229	NA	123325326	NA	46	NA	Intergenic	NA	1806166	EMBP1								
chr1	123377641	123377725	Interval_40	1	1	FALSE	TRUE	NA	7.59104	NA	7.16742	NA	12.21489	NA	123377641	NA	123377725	NA	18	NA	Intergenic	NA	1858571	EMBP1								
chr1	123719026	123719109	Interval_41	1	1	FALSE	TRUE	NA	7.70801	NA	6.92711	NA	11.95461	NA	123719026	NA	123719109	NA	55	NA	Intergenic	NA	2199956	EMBP1								
chr1	123742313	123742390	Interval_42	1	1	FALSE	TRUE	NA	6.76402	NA	5.6262	NA	10.58155	NA	123742313	NA	123742390	NA	25	NA	Intergenic	NA	2223240	EMBP1								
chr1	123760650	123760734	Interval_43	1	1	FALSE	TRUE	NA	7.77993	NA	7.87221	NA	12.9802	NA	123760650	NA	123760734	NA	46	NA	Intergenic	NA	2241580	EMBP1								
chr1	123849984	123850077	Interval_44	1	1	FALSE	TRUE	NA	10.96484	NA	13.94787	NA	19.37735	NA	123849984	NA	123850077	NA	40	NA	Intergenic	NA	2330919	EMBP1								
chr1	123859443	123859539	Interval_45	1	1	FALSE	TRUE	NA	14.37355	NA	21.43937	NA	27.17531	NA	123859443	NA	123859539	NA	46	NA	Intergenic	NA	2340379	EMBP1								
chr1	123871924	123872077	Interval_46	1	1	FALSE	TRUE	NA	4.37568	NA	1.4513	NA	5.5773	NA	123871924	NA	123872077	NA	120	NA	Intergenic	NA	2352889	EMBP1								
chr1	124059872	124059972	Interval_47	1	1	FALSE	TRUE	NA	16.04416	NA	24.81508	NA	30.67316	NA	124059872	NA	124059972	NA	67	NA	Intergenic	NA	2540810	EMBP1								
chr1	124134651	124134733	Interval_48	1	1	FALSE	TRUE	NA	7.60953	NA	7.1976	NA	12.27488	NA	124134651	NA	124134733	NA	42	NA	Intergenic	NA	2615580	EMBP1								
chr1	124208171	124208252	Interval_49	1	1	FALSE	TRUE	NA	7.2928	NA	6.02589	NA	11.00986	NA	124208171	NA	124208252	NA	57	NA	Intergenic	NA	2689100	EMBP1								
chr1	124315104	124315181	Interval_50	1	1	FALSE	TRUE	NA	6.76402	NA	5.6262	NA	10.58155	NA	124315104	NA	124315181	NA	37	NA	Intergenic	NA	2796031	EMBP1								
chr1	124376171	124376255	Interval_51	1	1	FALSE	TRUE	NA	7.70801	NA	6.92711	NA	11.95461	NA	124376171	NA	124376255	NA	50	NA	Intergenic	NA	2857101	EMBP1								
chr1	124383376	124383486	Interval_52	1	1	FALSE	TRUE	NA	18.55589	NA	31.17656	NA	37.21875	NA	124383376	NA	124383486	NA	49	NA	Intergenic	NA	2864319	EMBP1								
chr1	124421027	124421106	Interval_53	1	1	FALSE	TRUE	NA	6.62363	NA	5.77067	NA	10.73627	NA	124421027	NA	124421106	NA	17	NA	Intergenic	NA	2901955	EMBP1								
chr1	124530303	124530391	Interval_54	1	1	FALSE	TRUE	NA	11.80829	NA	15.75385	NA	21.25527	NA	124530303	NA	124530391	NA	35	NA	Intergenic	NA	3011235	EMBP1								
chr1	124562421	124562498	Interval_55	1	1	FALSE	TRUE	NA	5.78101	NA	3.39304	NA	8.06539	NA	124562421	NA	124562498	NA	35	NA	Intergenic	NA	3043348	EMBP1								
chr1	124614063	124614225	Interval_56	1	1	FALSE	TRUE	NA	10.96484	NA	13.94787	NA	19.37735	NA	124614063	NA	124614225	NA	106	NA	Intergenic	NA	3095032	EMBP1								
