chr	start	end	interval_id	num_peaks	num_samples	MV411_1_359_R1.bool	MV411_2_427_R1.bool	MV411_1_359_R1.fc	MV411_2_427_R1.fc	MV411_1_359_R1.qval	MV411_2_427_R1.qval	MV411_1_359_R1.pval	MV411_2_427_R1.pval	MV411_1_359_R1.start	MV411_2_427_R1.start	MV411_1_359_R1.end	MV411_2_427_R1.end	MV411_1_359_R1.summit	MV411_2_427_R1.summit
chr1	966397	966751	Interval_1	1	1	TRUE	FALSE	4.76583	NA	6.15807	NA	8.96027	NA	966397	NA	966751	NA	175	NA
chr1	1000313	1000729	Interval_2	1	1	TRUE	FALSE	10.83309	NA	27.55243	NA	31.22515	NA	1000313	NA	1000729	NA	204	NA
chr1	1039082	1039630	Interval_3	1	1	TRUE	FALSE	4.20158	NA	4.59184	NA	7.28808	NA	1039082	NA	1039630	NA	469	NA
chr1	1040118	1040374	Interval_4	1	1	TRUE	FALSE	5.72069	NA	8.52921	NA	11.47039	NA	1040118	NA	1040374	NA	168	NA
chr1	1115570	1115911	Interval_5	1	1	TRUE	FALSE	6.83434	NA	12.12674	NA	15.2386	NA	1115570	NA	1115911	NA	167	NA
chr1	1144680	1145198	Interval_6	1	1	TRUE	FALSE	5.59688	NA	10.11665	NA	13.13632	NA	1144680	NA	1145198	NA	157	NA
chr1	1157741	1158565	Interval_7	1	1	TRUE	FALSE	10.53627	NA	25.78422	NA	29.40123	NA	1157741	NA	1158565	NA	392	NA
chr1	1201132	1201617	Interval_8	1	1	TRUE	FALSE	5.55543	NA	8.23388	NA	11.15857	NA	1201132	NA	1201617	NA	221	NA
chr1	1212988	1213141	Interval_9	1	1	FALSE	TRUE	NA	5.3629	NA	4.77789	NA	8.69336	NA	1212988	NA	1213141	NA	76
chr1	1231218	1232032	Interval_10	1	1	TRUE	FALSE	16.09214	NA	48.01685	NA	52.27315	NA	1231218	NA	1232032	NA	576	NA
chr1	1232273	1232875	Interval_11	1	1	TRUE	FALSE	6.17198	NA	9.71185	NA	12.70794	NA	1232273	NA	1232875	NA	365	NA
chr1	1259909	1260255	Interval_12	1	1	TRUE	FALSE	4.49092	NA	4.81069	NA	7.52639	NA	1259909	NA	1260255	NA	237	NA
chr1	1273057	1274245	Interval_13	3	2	TRUE	TRUE	11.7741;4.12489	6.8613	31.88472;6.03476	8.41412	35.69172;8.83265	12.68507	1273057;1273941	1273829	1273850;1274245	1274015	514;162	89
chr1	1308161	1308360	Interval_14	1	1	TRUE	FALSE	2.68861	NA	2.20298	NA	4.69018	NA	1308161	NA	1308360	NA	114	NA
chr1	1308640	1309152	Interval_15	1	1	TRUE	FALSE	6.99962	NA	13.30094	NA	16.4628	NA	1308640	NA	1309152	NA	116	NA
chr1	1324103	1324615	Interval_16	1	1	TRUE	FALSE	7.2995	NA	14.32064	NA	17.52326	NA	1324103	NA	1324615	NA	333	NA
chr1	1325047	1325252	Interval_17	1	1	TRUE	FALSE	3.582	NA	3.47715	NA	6.08985	NA	1325047	NA	1325252	NA	160	NA
chr1	1348699	1349120	Interval_18	1	1	TRUE	FALSE	4.55474	NA	4.91343	NA	7.63912	NA	1348699	NA	1349120	NA	279	NA
chr1	1349566	1350047	Interval_19	1	1	TRUE	FALSE	6.2685	NA	12.6827	NA	15.81679	NA	1349566	NA	1350047	NA	177	NA
chr1	1374561	1375204	Interval_20	1	1	TRUE	FALSE	12.37459	NA	34.3721	NA	38.2511	NA	1374561	NA	1375204	NA	496	NA
chr1	1375291	1376236	Interval_21	2	2	TRUE	TRUE	7.39304	7.80417	14.4964	9.87517	17.70886	14.25319	1375342	1375291	1376236	1375636	335	150
chr1	1398517	1399335	Interval_22	1	1	TRUE	FALSE	11.55435	NA	32.0751	NA	35.88612	NA	1398517	NA	1399335	NA	602	NA
chr1	1399569	1400310	Interval_23	1	1	TRUE	FALSE	6.2685	NA	12.6827	NA	15.81679	NA	1399569	NA	1400310	NA	188	NA
chr1	1406625	1407929	Interval_24	1	1	TRUE	FALSE	10.67883	NA	27.25131	NA	30.91173	NA	1406625	NA	1407929	NA	975	NA
chr1	1408019	1408211	Interval_25	1	1	TRUE	FALSE	4.02975	NA	4.79358	NA	7.50682	NA	1408019	NA	1408211	NA	40	NA
chr1	1471843	1472028	Interval_26	1	1	TRUE	FALSE	4.0072	NA	3.28042	NA	5.87693	NA	1471843	NA	1472028	NA	129	NA
chr1	1511400	1512010	Interval_27	2	2	TRUE	TRUE	8.34834	6.12903	15.28413	6.55473	18.5259	10.66561	1511400	1511688	1512010	1511885	171	80
chr1	1512265	1512726	Interval_28	1	1	TRUE	FALSE	6.0108	NA	8.29805	NA	11.22728	NA	1512265	NA	1512726	NA	98	NA
chr1	1573993	1575525	Interval_29	1	1	TRUE	FALSE	19.72177	NA	68.78011	NA	73.57882	NA	1573993	NA	1575525	NA	756	NA
chr1	1606954	1607245	Interval_30	1	1	TRUE	FALSE	4.03215	NA	6.61751	NA	9.45268	NA	1606954	NA	1607245	NA	166	NA
chr1	1615420	1616187	Interval_31	1	1	TRUE	FALSE	14.37908	NA	46.75692	NA	50.97443	NA	1615420	NA	1616187	NA	244	NA
