MV411	chr4_GL000008v2_random
E1	E2	E3	E4	E5	E6	E7	E8
0	0	0.0138	0	0.0213	0.0133	0.1035	0.8481
0	0.0151	0.0457	0.0032	0.0092	0.0073	0.0882	0.8312
0	0.0184	0.0807	0.0043	0.0131	0.0304	0.0578	0.7954
0	0.0188	0.0887	0.0148	0.004	0.0037	0.0773	0.7926
0	0.0197	0.0911	0.0187	0.0021	0.0012	0.0805	0.7867
0	0.0238	0.0951	0.0206	0.0018	0.001	0.0799	0.7778
0	0.0332	0.1023	0.0213	0.0022	0.0012	0.076	0.7638
0	0.0505	0.1142	0.0208	0.0039	0.0022	0.0679	0.7406
0	0.074	0.1329	0.0188	0.0116	0.0104	0.0524	0.6999
0	0.0597	0.1589	0.0139	0.0517	0.1002	0.0165	0.5992
0	0.0547	0.157	0.0173	0.0528	0.12	0.0203	0.5779
0	0.005	0.0895	0.0055	0.0855	0.4132	0	0.4012
0	0.0147	0.0746	0.0158	0.0147	0.0382	0.3958	0.4462
0	0.0098	0.0504	0.0177	0.0035	0.0046	0.4581	0.4559
0	0.0059	0.0335	0.0179	0.0012	0.0013	0.4811	0.4591
0	0.0036	0.0224	0.0176	0.0006	0.0008	0.4946	0.4603
0	0.0024	0.0152	0.0172	0.0003	0.0006	0.5036	0.4607
0	0.0017	0.0106	0.0167	0.0002	0.0005	0.5096	0.4606
0	0.0014	0.0076	0.0162	0.0001	0.0005	0.5139	0.4604
0	0.0012	0.0056	0.0158	0.0001	0.0004	0.5169	0.46
0	0.0011	0.0042	0.0154	0.0001	0.0004	0.5191	0.4597
0	0.0012	0.0033	0.015	0.0001	0.0004	0.5208	0.4593
0	0.0013	0.0025	0.0146	0.0001	0.0004	0.5222	0.4589
0	0.0016	0.0018	0.0142	0.0001	0.0005	0.5233	0.4585
0	0.0022	0.0009	0.0134	0.0001	0.0021	0.5236	0.4577
0	0.0021	0.0026	0.0118	0.0003	0.0054	0.5585	0.4193
0	0.002	0.0037	0.0104	0.0004	0.0053	0.5941	0.3842
0	0.0018	0.0043	0.0092	0.0003	0.0049	0.6274	0.352
0	0.0017	0.0047	0.0081	0.0003	0.0045	0.6582	0.3225
0	0.0015	0.0049	0.0072	0.0003	0.0042	0.6865	0.2955
0	0.0014	0.0049	0.0064	0.0003	0.0038	0.7125	0.2707
0	0.0013	0.0049	0.0056	0.0003	0.0035	0.7363	0.248
0	0.0012	0.0049	0.005	0.0002	0.0033	0.7582	0.2273
0	0.0011	0.0048	0.0044	0.0002	0.003	0.7782	0.2082
0	0.001	0.0047	0.004	0.0002	0.0028	0.7965	0.1908
0	0.0009	0.0047	0.0035	0.0002	0.0026	0.8133	0.1748
0	0.0008	0.0046	0.0031	0.0002	0.0024	0.8287	0.1602
0	0.0008	0.0045	0.0028	0.0001	0.0022	0.8428	0.1467
0	0.0007	0.0045	0.0025	0.0001	0.0021	0.8557	0.1345
0	0.0006	0.0044	0.0022	0.0001	0.0019	0.8675	0.1232
0	0.0006	0.0044	0.002	0.0001	0.0018	0.8783	0.1129
0	0.0005	0.0043	0.0018	0.0001	0.0017	0.8882	0.1034
0	0.0005	0.0043	0.0016	0.0001	0.0015	0.8972	0.0948
0	0.0004	0.0042	0.0014	0.0001	0.0014	0.9055	0.0868
0	0.0004	0.0042	0.0013	0.0001	0.0013	0.9131	0.0796
0	0.0004	0.0042	0.0012	0.0001	0.0013	0.9201	0.0729
0	0.0003	0.0041	0.001	0.0001	0.0012	0.9264	0.0668
0	0.0003	0.0041	0.0009	0.0001	0.0011	0.9323	0.0612
0	0.0003	0.0041	0.0009	0.0001	0.001	0.9376	0.0561
