Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr22	29442122	29442455	5988	333	+	0	0	112	0	0	0	0	0	-1.0	-1.0
chr19	13961529	13962694	5989	1165	-	0.0034548281223	24.8869969201	242	5789	20	278	6	0	-1.0	-1.0
chr12	109448654	109451813	83892	3159	-	0.00127226463104	6.80363944578	921	1572	2	76	1	0	-1.0	-1.0
chr12	109456117	109456313	83892	196	-	0	0	57	0	0	0	0	0	-1.0	-1.0
chr12	109457629	109457682	83892	53	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr12	109457991	109458078	83892	87	-	0	0	20	0	0	0	0	0	-1.0	-1.0
chr12	109460635	109460805	83892	170	-	0	0	31	0	0	0	0	0	-1.0	-1.0
chr12	109469514	109469728	83892	214	-	0	0	35	0	0	0	0	0	-1.0	-1.0
chr12	109477259	109477544	83892	285	-	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	74231501	74232105	5982	604	-	0.0	19.5157026208	138	3005	0	218	0	3	-1.0	-1.0
chr13	33836295	33837507	5983	1212	+	0.0	16.5614907562	467	4585	0	185	0	0	-1.0	-1.0
chr13	33966125	33966558	5983	433	+	0.0	2.32756086303	140	573	0	26	0	0	-1.0	-1.0
chr6	111299030	111300015	5980	985	-	0.0384615384615	0.71617257324	385	182	7	8	3	0	-1.0	-1.0
chr4	39287448	39288760	5981	1312	-	0.0192394748755	17.9938359027	431	4418	85	201	22	0	-1.0	-1.0
chr17	82047901	82048725	5986	824	-	0.0	10.4740238836	158	1962	0	117	0	0	-1.0	-1.0
chr6	28903001	28904069	5987	1068	-	0.00986954055587	45.924566259	337	8815	87	513	28	0	-1.0	-1.0
chr6_GL000250v2_alt	168585	169653	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	393696	394764	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	168756	169824	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
