MV411	chr22_KI270735v1_random
E1	E2	E3	E4	E5	E6	E7	E8
0.0164	0	0	0.9835	0.0001	0	0	0
0.0028	0.0004	0.0007	0.9961	0	0	0	0
0.002	0.0007	0.0009	0.9965	0	0	0	0
0.008	0.0011	0.001	0.9899	0	0	0	0
0.0632	0.0015	0.0007	0.9345	0	0	0	0
0.0078	0.001	0.0016	0.9896	0	0	0	0
0.0016	0.0006	0.0017	0.9961	0	0	0	0
0.0009	0.0003	0.0017	0.9971	0	0	0	0
0.0008	0.0002	0.0017	0.9973	0	0	0	0
0.0008	0.0001	0.0017	0.9974	0	0	0	0
0.0007	0.0001	0.0016	0.9975	0	0	0	0
0.0007	0.0001	0.0016	0.9975	0	0	0	0
0.0007	0.0001	0.0016	0.9976	0	0	0	0
0.0007	0.0001	0.0016	0.9976	0	0	0	0
0.0007	0.0001	0.0016	0.9976	0	0	0	0
0.0007	0.0001	0.0016	0.9976	0	0	0	0
0.0007	0.0001	0.0016	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9974	0	0	0	0
0.0008	0.0001	0.0018	0.9973	0	0	0	0
0.0008	0.0001	0.0018	0.9972	0	0	0	0
0.0008	0.0002	0.0019	0.9971	0	0	0	0
0.0009	0.0003	0.002	0.9968	0	0	0	0
0.0016	0.0006	0.002	0.9958	0	0	0	0
0.0078	0.001	0.002	0.9892	0	0	0	0
0.0633	0.0015	0.0012	0.9339	0	0	0	0
0.0078	0.001	0.002	0.9891	0	0	0	0
0.0016	0.0006	0.0021	0.9957	0	0	0	0
0.0009	0.0003	0.002	0.9967	0	0	0	0
0.0008	0.0002	0.002	0.997	0	0	0	0
0.0008	0.0001	0.0019	0.9972	0	0	0	0
0.0008	0.0001	0.0019	0.9973	0	0	0	0
0.0008	0.0001	0.0018	0.9973	0	0	0	0
0.0007	0.0001	0.0018	0.9974	0	0	0	0
0.0007	0.0001	0.0017	0.9974	0	0	0	0
0.0007	0.0001	0.0017	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9975	0	0	0	0
0.0007	0.0001	0.0017	0.9974	0	0	0	0
0.0007	0.0001	0.0018	0.9974	0	0	0	0
0.0007	0.0001	0.0018	0.9974	0	0	0	0
0.0008	0.0001	0.0019	0.9973	0	0	0	0
0.0008	0.0001	0.0019	0.9972	0	0	0	0
0.0008	0.0001	0.002	0.9971	0	0	0	0
0.0008	0.0001	0.0021	0.997	0	0	0	0
0.0008	0.0002	0.0022	0.9969	0	0	0	0
0.0008	0.0002	0.0023	0.9967	0	0	0	0
0.0009	0.0004	0.0024	0.9964	0	0	0	0
0.0016	0.0006	0.0025	0.9953	0	0	0	0
0.0079	0.0011	0.0025	0.9885	0	0	0	0
0.0637	0.0017	0.0018	0.9327	0	0	0	0
0.0079	0.0011	0.0032	0.9878	0	0	0	0
0.0016	0.0007	0.0033	0.9944	0	0	0	0
0.0009	0.0004	0.0034	0.9953	0	0	0	0
0.0008	0.0003	0.0033	0.9956	0	0	0	0
0.0008	0.0002	0.0033	0.9957	0	0	0	0
0.0008	0.0002	0.0033	0.9957	0	0	0	0
0.0008	0.0002	0.0033	0.9957	0	0	0	0
0.0008	0.0003	0.0033	0.9956	0	0	0	0
0.0009	0.0004	0.0033	0.9954	0	0	0	0
0.0016	0.0007	0.0032	0.9945	0	0	0	0
0.0079	0.0011	0.003	0.988	0	0	0	0
0.0637	0.0016	0.0016	0.9331	0	0	0	0
0.0079	0.001	0.0021	0.989	0	0	0	0
0.0016	0.0006	0.002	0.9958	0	0	0	0
0.0009	0.0003	0.0019	0.9969	0	0	0	0
0.0008	0.0002	0.0017	0.9973	0	0	0	0
0.0008	0.0001	0.0016	0.9975	0	0	0	0
0.0008	0.0001	0.0015	0.9976	0	0	0	0
0.0008	0.0001	0.0014	0.9978	0	0	0	0
0.0007	0.0001	0.0013	0.9979	0	0	0	0
0.0007	0.0001	0.0012	0.998	0	0	0	0
0.0007	0.0001	0.0011	0.9981	0	0	0	0
0.0007	0.0001	0.001	0.9982	0	0	0	0
0.0007	0.0001	0.0009	0.9982	0	0	0	0
0.0007	0.0001	0.0009	0.9983	0	0	0	0
0.0007	0.0001	0.0008	0.9984	0	0	0	0
0.0007	0.0001	0.0008	0.9984	0	0	0	0
0.0007	0.0001	0.0007	0.9985	0	0	0	0
0.0007	0.0001	0.0007	0.9985	0	0	0	0
0.0007	0.0001	0.0007	0.9986	0	0	0	0
0.0007	0.0001	0.0006	0.9986	0	0	0	0
0.0007	0.0001	0.0006	0.9986	0	0	0	0
0.0007	0.0001	0.0006	0.9987	0	0	0	0
0.0007	0.0001	0.0005	0.9987	0	0	0	0
0.0007	0.0001	0.0005	0.9987	0	0	0	0
0.0007	0.0001	0.0005	0.9987	0	0	0	0
0.0007	0.0001	0.0005	0.9987	0	0	0	0
0.0007	0.0001	0.0005	0.9988	0	0	0	0
0.0007	0	0.0004	0.9988	0	0	0	0
0.0007	0	0.0004	0.9988	0	0	0	0
0.0007	0	0.0004	0.9988	0	0	0	0
0.0007	0	0.0004	0.9988	0	0	0	0
0.0007	0	0.0004	0.9988	0	0	0	0
0.0007	0	0.0004	0.9988	0	0	0	0
0.0007	0	0.0004	0.9988	0	0	0	0
0.0007	0	0.0004	0.9989	0	0	0	0
0.0007	0	0.0004	0.9989	0	0	0	0
0.0007	0	0.0004	0.9989	0	0	0	0
0.0007	0	0.0004	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
