PeakID (cmd=annotatePeaks.pl MONOMAC1_3_777_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MONOMAC1_3_777_R1_peak_21581	chr3	196616979	196636044	+	1633	NA	Intergenic	NA	6127	LINC01063								
MONOMAC1_3_777_R1_peak_3652	chr10	63455095	63472193	+	1404	NA	intron (JMJD1C, intron 1 of 25)	NA	-1585	JMJD1C-AS1								
MONOMAC1_3_777_R1_peak_3686	chr10	68330432	68333976	+	1398	NA	promoter-TSS (HNRNPH3)	NA	-622	HNRNPH3								
MONOMAC1_3_777_R1_peak_254	chr1	16903468	16905952	+	1314	NA	Intergenic	NA	8730	RNU1-2								
MONOMAC1_3_777_R1_peak_28198	chr8	65979238	65984253	+	1285	NA	Intergenic	NA	-39811	DNAJC5B								
MONOMAC1_3_777_R1_peak_17515	chr2	231705581	231708230	+	1179	NA	Intergenic	NA	-1620	PTMA								
MONOMAC1_3_777_R1_peak_9172	chr15	28723871	28738368	+	1144	NA	Intergenic	NA	-6464	WHAMMP2								
MONOMAC1_3_777_R1_peak_7543	chr13	28136033	28139299	+	1142	NA	promoter-TSS (PAN3)	NA	1508	PAN3-AS1								
MONOMAC1_3_777_R1_peak_21093	chr3	157158712	157161821	+	1125	NA	promoter-TSS (CCNL1)	NA	-62	CCNL1								
MONOMAC1_3_777_R1_peak_21035	chr3	152230593	152248710	+	1110	NA	Intergenic	NA	-29418	MBNL1								
MONOMAC1_3_777_R1_peak_8146	chr13	110913297	110916945	+	1094	NA	promoter-TSS (ANKRD10)	NA	-14	ANKRD10								
MONOMAC1_3_777_R1_peak_13036	chr18	267113	269519	+	1089	NA	promoter-TSS (THOC1)	NA	-257	THOC1								
