chr	start	end	interval_id	num_peaks	num_samples	DFAM71927V3_1_750_R1.bool	MV411_1_590_R1.bool	MV411_4_717_R1.bool	DFAM71927V3_1_750_R1.fc	MV411_1_590_R1.fc	MV411_4_717_R1.fc	DFAM71927V3_1_750_R1.qval	MV411_1_590_R1.qval	MV411_4_717_R1.qval	DFAM71927V3_1_750_R1.pval	MV411_1_590_R1.pval	MV411_4_717_R1.pval	DFAM71927V3_1_750_R1.start	MV411_1_590_R1.start	MV411_4_717_R1.start	DFAM71927V3_1_750_R1.end	MV411_1_590_R1.end	MV411_4_717_R1.end	DFAM71927V3_1_750_R1.summit	MV411_1_590_R1.summit	MV411_4_717_R1.summit
chr1	9732	10061	Interval_1	1	1	TRUE	FALSE	FALSE	9.84504	NA	NA	12.00434	NA	NA	16.34831	NA	NA	9732	NA	NA	10061	NA	NA	245	NA	NA
chr1	180490	181055	Interval_2	1	1	TRUE	FALSE	FALSE	7.30849	NA	NA	7.31216	NA	NA	11.3701	NA	NA	180490	NA	NA	181055	NA	NA	287	NA	NA
chr1	633931	634125	Interval_3	1	1	FALSE	TRUE	FALSE	NA	1.98049	NA	NA	4.41017	NA	NA	8.46425	NA	NA	633931	NA	NA	634125	NA	NA	97	NA
chr1	879663	879875	Interval_4	1	1	FALSE	FALSE	TRUE	NA	NA	7.69912	NA	NA	8.61557	NA	NA	11.9231	NA	NA	879663	NA	NA	879875	NA	NA	108
chr1	1232042	1232326	Interval_5	1	1	FALSE	TRUE	FALSE	NA	18.23934	NA	NA	34.23898	NA	NA	39.65362	NA	NA	1232042	NA	NA	1232326	NA	NA	175	NA
chr1	1273900	1274035	Interval_6	1	1	FALSE	TRUE	FALSE	NA	8.95046	NA	NA	11.20566	NA	NA	15.70271	NA	NA	1273900	NA	NA	1274035	NA	NA	75	NA
chr1	1308418	1308708	Interval_7	1	1	FALSE	TRUE	FALSE	NA	9.24221	NA	NA	11.66844	NA	NA	16.18756	NA	NA	1308418	NA	NA	1308708	NA	NA	101	NA
chr1	1324587	1324872	Interval_8	1	1	FALSE	TRUE	FALSE	NA	8.00292	NA	NA	9.34277	NA	NA	13.73345	NA	NA	1324587	NA	NA	1324872	NA	NA	169	NA
chr1	1371295	1371482	Interval_9	1	1	FALSE	FALSE	TRUE	NA	NA	8.72855	NA	NA	10.6539	NA	NA	14.02616	NA	NA	1371295	NA	NA	1371482	NA	NA	101
chr1	1399346	1399536	Interval_10	1	1	FALSE	TRUE	FALSE	NA	5.93983	NA	NA	6.15746	NA	NA	10.34958	NA	NA	1399346	NA	NA	1399536	NA	NA	72	NA
chr1	1471639	1471815	Interval_11	1	1	FALSE	TRUE	FALSE	NA	7.48813	NA	NA	8.94139	NA	NA	13.30491	NA	NA	1471639	NA	NA	1471815	NA	NA	59	NA
chr1	1512053	1512199	Interval_12	1	1	FALSE	TRUE	FALSE	NA	8.66345	NA	NA	10.36916	NA	NA	14.82145	NA	NA	1512053	NA	NA	1512199	NA	NA	65	NA
chr1	1614285	1614429	Interval_13	1	1	FALSE	FALSE	TRUE	NA	NA	6.37815	NA	NA	6.0146	NA	NA	9.19492	NA	NA	1614285	NA	NA	1614429	NA	NA	69
chr1	1615278	1615462	Interval_14	1	1	FALSE	TRUE	FALSE	NA	8.80956	NA	NA	12.27919	NA	NA	16.83292	NA	NA	1615278	NA	NA	1615462	NA	NA	75	NA
chr1	1775639	1776075	Interval_15	1	1	FALSE	FALSE	TRUE	NA	NA	119.29638	NA	NA	359.90991	NA	NA	365.73135	NA	NA	1775639	NA	NA	1776075	NA	NA	208
chr1	1778398	1778533	Interval_16	1	1	FALSE	TRUE	FALSE	NA	9.50346	NA	NA	12.92013	NA	NA	17.50289	NA	NA	1778398	NA	NA	1778533	NA	NA	86	NA
chr1	1869516	1869775	Interval_17	1	1	FALSE	FALSE	TRUE	NA	NA	19.33336	NA	NA	35.5579	NA	NA	39.42885	NA	NA	1869516	NA	NA	1869775	NA	NA	108
chr1	1883419	1883747	Interval_18	1	1	FALSE	FALSE	TRUE	NA	NA	15.1905	NA	NA	25.18618	NA	NA	28.90296	NA	NA	1883419	NA	NA	1883747	NA	NA	201
chr1	1919268	1919497	Interval_19	1	1	FALSE	TRUE	FALSE	NA	7.05355	NA	NA	9.06145	NA	NA	13.4346	NA	NA	1919268	NA	NA	1919497	NA	NA	175	NA
chr1	2151337	2151509	Interval_20	1	1	FALSE	FALSE	TRUE	NA	NA	4.83334	NA	NA	3.32013	NA	NA	6.31143	NA	NA	2151337	NA	NA	2151509	NA	NA	61
chr1	2391649	2391769	Interval_21	1	1	FALSE	TRUE	FALSE	NA	4.84526	NA	NA	3.02299	NA	NA	6.96186	NA	NA	2391649	NA	NA	2391769	NA	NA	12	NA
chr1	2586607	2586808	Interval_22	1	1	FALSE	TRUE	FALSE	NA	7.02938	NA	NA	6.83216	NA	NA	11.05777	NA	NA	2586607	NA	NA	2586808	NA	NA	133	NA
chr1	3624767	3625049	Interval_23	1	1	FALSE	TRUE	FALSE	NA	5.45379	NA	NA	5.72906	NA	NA	9.87896	NA	NA	3624767	NA	NA	3625049	NA	NA	94	NA
chr1	3818871	3819034	Interval_24	1	1	FALSE	FALSE	TRUE	NA	NA	5.95011	NA	NA	5.30478	NA	NA	8.44061	NA	NA	3818871	NA	NA	3819034	NA	NA	87
chr1	3857111	3857357	Interval_25	1	1	FALSE	TRUE	FALSE	NA	16.78543	NA	NA	31.19342	NA	NA	36.50932	NA	NA	3857111	NA	NA	3857357	NA	NA	147	NA
chr1	3881273	3881581	Interval_26	1	1	TRUE	FALSE	FALSE	8.91815	NA	NA	10.38225	NA	NA	14.64411	NA	NA	3881273	NA	NA	3881581	NA	NA	53	NA	NA
chr1	3926647	3926778	Interval_27	1	1	FALSE	FALSE	TRUE	NA	NA	6.22186	NA	NA	5.88986	NA	NA	9.0673	NA	NA	3926647	NA	NA	3926778	NA	NA	92
chr1	4328372	4328847	Interval_28	1	1	TRUE	FALSE	FALSE	12.18081	NA	NA	17.1635	NA	NA	21.74397	NA	NA	4328372	NA	NA	4328847	NA	NA	266	NA	NA
chr1	4381174	4381660	Interval_29	1	1	FALSE	FALSE	TRUE	NA	NA	23.19495	NA	NA	44.51736	NA	NA	48.49763	NA	NA	4381174	NA	NA	4381660	NA	NA	235
chr1	4445131	4445647	Interval_30	1	1	TRUE	FALSE	FALSE	15.11341	NA	NA	24.03571	NA	NA	28.82648	NA	NA	4445131	NA	NA	4445647	NA	NA	250	NA	NA
chr1	4809405	4809536	Interval_31	1	1	FALSE	FALSE	TRUE	NA	NA	5.59878	NA	NA	4.88218	NA	NA	8.00848	NA	NA	4809405	NA	NA	4809536	NA	NA	58
chr1	5291642	5291868	Interval_32	1	1	FALSE	FALSE	TRUE	NA	NA	10.64031	NA	NA	15.08426	NA	NA	18.59581	NA	NA	5291642	NA	NA	5291868	NA	NA	109
chr1	5325064	5325195	Interval_33	1	1	FALSE	FALSE	TRUE	NA	NA	6.1593	NA	NA	5.74806	NA	NA	8.91708	NA	NA	5325064	NA	NA	5325195	NA	NA	68
chr1	5402859	5403157	Interval_34	1	1	TRUE	FALSE	FALSE	5.2972	NA	NA	4.37549	NA	NA	8.16997	NA	NA	5402859	NA	NA	5403157	NA	NA	171	NA	NA
chr1	5466474	5466754	Interval_35	1	1	FALSE	FALSE	TRUE	NA	NA	16.16816	NA	NA	27.0971	NA	NA	30.8477	NA	NA	5466474	NA	NA	5466754	NA	NA	158
chr1	5992443	5992695	Interval_36	1	1	FALSE	TRUE	FALSE	NA	9.47696	NA	NA	12.44253	NA	NA	17.00525	NA	NA	5992443	NA	NA	5992695	NA	NA	135	NA
chr1	6022603	6022901	Interval_37	1	1	TRUE	FALSE	FALSE	5.9421	NA	NA	5.15957	NA	NA	9.01647	NA	NA	6022603	NA	NA	6022901	NA	NA	157	NA	NA
chr1	6317006	6317442	Interval_38	1	1	TRUE	FALSE	FALSE	6.89518	NA	NA	6.99534	NA	NA	11.02934	NA	NA	6317006	NA	NA	6317442	NA	NA	174	NA	NA
