chr	start	end	interval_id	num_peaks	num_samples	MV411_1_320_R1.bool	MV411_3_568_R1.bool	MV411_7_714_R1.bool	MV411_8_715_R1.bool	MV411_1_320_R1.fc	MV411_3_568_R1.fc	MV411_7_714_R1.fc	MV411_8_715_R1.fc	MV411_1_320_R1.qval	MV411_3_568_R1.qval	MV411_7_714_R1.qval	MV411_8_715_R1.qval	MV411_1_320_R1.pval	MV411_3_568_R1.pval	MV411_7_714_R1.pval	MV411_8_715_R1.pval	MV411_1_320_R1.start	MV411_3_568_R1.start	MV411_7_714_R1.start	MV411_8_715_R1.start	MV411_1_320_R1.end	MV411_3_568_R1.end	MV411_7_714_R1.end	MV411_8_715_R1.end	MV411_1_320_R1.summit	MV411_3_568_R1.summit	MV411_7_714_R1.summit	MV411_8_715_R1.summit
chr1	778854	779191	Interval_1	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.02399	NA	NA	NA	4.0543	NA	NA	NA	7.24381	NA	NA	NA	778854	NA	NA	NA	779191	NA	NA	NA	62
chr1	829379	829787	Interval_2	2	2	TRUE	FALSE	FALSE	TRUE	6.02346	NA	NA	13.24506	5.44734	NA	NA	25.22233	9.11773	NA	NA	29.26006	829393	NA	NA	829379	829725	NA	NA	829787	223	NA	NA	150
chr1	839070	839838	Interval_3	3	3	TRUE	FALSE	TRUE	TRUE	36.14077	NA	18.36839	80.38381	99.5978	NA	52.60539	302.51059	104.45652	NA	57.39984	307.54626	839138	NA	839219	839070	839769	NA	839766	839838	438	NA	420	555
chr1	869862	870063	Interval_4	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.02399	NA	NA	NA	4.0543	NA	NA	NA	7.24381	NA	NA	NA	869862	NA	NA	NA	870063	NA	NA	NA	137
chr1	920797	920956	Interval_5	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.35514	NA	NA	NA	3.3366	NA	NA	NA	6.44799	NA	NA	NA	920797	NA	NA	NA	920956	NA	NA	NA	85
chr1	921197	921801	Interval_6	3	3	TRUE	FALSE	TRUE	TRUE	7.27426	NA	4.58764	12.93395	9.45271	NA	3.07788	29.84108	13.37628	NA	6.93569	33.94712	921301	NA	921565	921197	921780	NA	921685	921801	252	NA	64	400
chr1	950146	950640	Interval_7	2	2	TRUE	FALSE	FALSE	TRUE	5.29515	NA	NA	12.73687	4.65756	NA	NA	38.21388	8.26142	NA	NA	42.41719	950434	NA	NA	950146	950619	NA	NA	950640	64	NA	NA	265
chr1	966390	966725	Interval_8	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.8605	NA	NA	NA	4.32968	NA	NA	NA	7.55583	NA	NA	NA	966390	NA	NA	NA	966725	NA	NA	NA	80
chr1	976182	976542	Interval_9	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.04857	NA	NA	NA	4.33561	NA	NA	NA	7.56326	NA	NA	NA	976182	NA	NA	NA	976542	NA	NA	NA	265
chr1	1000446	1000762	Interval_10	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.23439	NA	NA	NA	5.17312	NA	NA	NA	8.48186	NA	NA	NA	1000446	NA	NA	NA	1000762	NA	NA	NA	194
