MV411	chr4_GL000008v2_random
E1	E2	E3	E4	E5	E6	E7	E8
0.0607	0	0	0.9383	0.001	0	0	0
0.0375	0.0179	0.0105	0.9338	0	0.0002	0	0
0.1054	0.032	0.0128	0.8496	0	0.0002	0.0001	0
0.0139	0.0352	0.04	0.9105	0	0.0003	0	0
0.0029	0.0354	0.0455	0.9155	0	0.0005	0.0001	0
0.0018	0.0372	0.0474	0.9129	0	0.0006	0.0001	0
0.0027	0.0419	0.0479	0.9067	0	0.0008	0.0001	0
0.0089	0.0517	0.0467	0.8914	0	0.0011	0.0001	0
0.0596	0.0705	0.0418	0.8262	0	0.0017	0.0002	0
0.5001	0.1031	0.0237	0.3725	0	0.0004	0.0002	0
0.5071	0.1103	0.0285	0.3536	0	0.0004	0.0001	0
0.9161	0.0832	0.0004	0	0.0001	0.0001	0.0001	0
0.1072	0.0454	0.0122	0.8346	0.0001	0.0003	0.0002	0
0.0149	0.024	0.0143	0.9465	0	0.0002	0.0001	0
0.0036	0.0127	0.0143	0.9692	0	0.0001	0	0
0.0019	0.0067	0.0137	0.9776	0	0.0001	0	0
0.0014	0.0036	0.0127	0.9822	0	0.0001	0	0
0.0012	0.002	0.0117	0.9851	0	0.0001	0	0
0.0011	0.0011	0.0107	0.987	0	0	0	0
0.001	0.0007	0.0097	0.9885	0	0	0	0
0.001	0.0004	0.0088	0.9897	0	0	0	0
0.0009	0.0003	0.008	0.9907	0	0	0	0
0.0009	0.0002	0.0073	0.9915	0	0	0	0
0.0009	0.0002	0.0066	0.9923	0	0	0	0
0.0009	0.0002	0.006	0.9929	0	0	0	0
0.0009	0.0001	0.0055	0.9935	0	0	0	0
0.0008	0.0001	0.005	0.994	0	0	0	0
0.0008	0.0001	0.0045	0.9945	0	0	0	0
0.0008	0.0001	0.0041	0.9949	0	0	0	0
0.0008	0.0001	0.0037	0.9953	0	0	0	0
0.0008	0.0001	0.0034	0.9957	0	0	0	0
0.0008	0.0001	0.0031	0.996	0	0	0	0
0.0008	0.0001	0.0028	0.9963	0	0	0	0
0.0008	0.0001	0.0026	0.9965	0	0	0	0
0.0008	0.0001	0.0024	0.9968	0	0	0	0
0.0008	0.0001	0.0022	0.997	0	0	0	0
0.0008	0.0001	0.002	0.9972	0	0	0	0
0.0008	0.0001	0.0018	0.9973	0	0	0	0
0.0008	0.0001	0.0017	0.9975	0	0	0	0
0.0008	0.0001	0.0015	0.9976	0	0	0	0
0.0008	0.0001	0.0014	0.9977	0	0	0	0
0.0008	0.0001	0.0013	0.9979	0	0	0	0
0.0007	0.0001	0.0012	0.998	0	0	0	0
0.0007	0.0001	0.0011	0.9981	0	0	0	0
0.0007	0.0001	0.0011	0.9981	0	0	0	0
