PeakID (cmd=annotatePeaks.pl MV411_3_425_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_3_425_R1_peak_1261	chr12	6688579	6690150	+	5470	NA	promoter-TSS (ZNF384)	NA	208	ZNF384								
MV411_3_425_R1_peak_6343	chr8	144078057	144079172	+	5324	NA	promoter-TSS (EXOSC4)	NA	-5	EXOSC4								
MV411_3_425_R1_peak_3357	chr19	55005661	55006479	+	4982	NA	Intergenic	NA	32194	GP6								
MV411_3_425_R1_peak_1260	chr12	6662706	6663668	+	4888	NA	promoter-TSS (ING4)	NA	-68	ING4								
MV411_3_425_R1_peak_6465	chr9	92669792	92670629	+	4787	NA	promoter-TSS (IPPK)	NA	55	IPPK								
MV411_3_425_R1_peak_920	chr11	2399874	2400862	+	4399	NA	promoter-TSS (TSSC4)	NA	-190	TSSC4								
MV411_3_425_R1_peak_6003	chr8	22604283	22605151	+	4323	NA	promoter-TSS (CCAR2)	NA	-309	CCAR2								
MV411_3_425_R1_peak_356	chr1	151165690	151166334	+	4291	NA	promoter-TSS (SCNM1)	NA	-10	SCNM1								
MV411_3_425_R1_peak_3215	chr19	41859414	41860448	+	4218	NA	promoter-TSS (RPS19)	NA	13	RPS19								
MV411_3_425_R1_peak_5281	chr5	181222857	181224009	+	4158	NA	promoter-TSS (MIR4638)	NA	142	TRIM41								
MV411_3_425_R1_peak_2567	chr17	40818627	40819395	+	4110	NA	promoter-TSS (TMEM99)	NA	-81	TMEM99								
MV411_3_425_R1_peak_4689	chr3	194736507	194737733	+	3704	NA	intron (AC090505.6, intron 1 of 3)	NA	28699	AC090505.6								
MV411_3_425_R1_peak_6557	chr9	128370848	128371643	+	3683	NA	promoter-TSS (URM1)	NA	-74	URM1								
MV411_3_425_R1_peak_4609	chr3	157174545	157175497	+	3603	NA	exon (LOC101928236, exon 2 of 4)	NA	624	LOC101928236								
MV411_3_425_R1_peak_3582	chr2	73737006	73737850	+	3592	NA	promoter-TSS (TPRKB)	NA	-38	TPRKB								
