PeakID (cmd=annotatePeaks.pl D9_2_27_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_2_27_R1_peak_23	chr1	123958730	123958813	+	411	NA	Intergenic	NA	2439659	EMBP1								
D9_2_27_R1_peak_207	chr19	54133743	54133860	+	349	NA	Intergenic	NA	-3919	CNOT3								
D9_2_27_R1_peak_292	chr22_KI270733v1_random	140251	140574	+	314	NA	Intergenic	NA	19689	LOC102724621								
D9_2_27_R1_peak_435	chrX	2314390	2314465	+	313	NA	intron (DHRSX, intron 3 of 6)	NA	-14301	LOC101928070								
D9_2_27_R1_peak_280	chr21	44968189	44968352	+	311	NA	intron (FAM207A, intron 4 of 4)	NA	25816	LINC00163								
D9_2_27_R1_peak_183	chr17	22524409	22524481	+	305	NA	exon (MTRNR2L1, exon 1 of 1)	NA	-1259	LOC102723754								
D9_2_27_R1_peak_402	chr8	81842396	81842566	+	292	NA	promoter-TSS (SNX16)	NA	-181	SNX16								
D9_2_27_R1_peak_396	chr8	37701386	37701466	+	292	NA	Intergenic	NA	5643	ZNF703								
D9_2_27_R1_peak_90	chr11	52510249	52510336	+	292	NA	Intergenic	NA	2093706	OR4C46								
D9_2_27_R1_peak_50	chr1	221097790	221097942	+	277	NA	intron (LOC101929750, intron 2 of 2)	NA	20028	LOC101929750								
D9_2_27_R1_peak_60	chr10	40395544	40395628	+	264	NA	Intergenic	NA	1698990	ACTR3BP5								
D9_2_27_R1_peak_197	chr18	79200704	79200771	+	256	NA	intron (ATP9B, intron 9 of 26)	NA	55979	LOC100996274								
D9_2_27_R1_peak_135	chr13	48654252	48654319	+	252	NA	Intergenic	NA	-52530	CYSLTR2								
D9_2_27_R1_peak_310	chr22_KI270733v1_random	155621	155717	+	233	NA	Intergenic	NA	4432	LOC102724621								
D9_2_27_R1_peak_291	chr22_KI270733v1_random	140048	140130	+	217	NA	Intergenic	NA	20012	LOC102724621								
D9_2_27_R1_peak_293	chr22_KI270733v1_random	142154	142339	+	216	NA	Intergenic	NA	17855	LOC102724621								
D9_2_27_R1_peak_86	chr11	51097886	51097999	+	215	NA	Intergenic	NA	688795	LOC646813								
D9_2_27_R1_peak_20	chr1	123641768	123641857	+	194	NA	Intergenic	NA	2122700	EMBP1								
D9_2_27_R1_peak_391	chr7	158147507	158147976	+	192	NA	intron (PTPRN2, intron 5 of 21)	NA	-189106	LOC101927962								
D9_2_27_R1_peak_94	chr11	53375339	53375427	+	181	NA	Intergenic	NA	1228615	OR4C46								
D9_2_27_R1_peak_89	chr11	52320967	52321067	+	181	NA	Intergenic	NA	1911870	LOC646813								
D9_2_27_R1_peak_306	chr22_KI270733v1_random	151338	151654	+	180	NA	Intergenic	NA	8605	LOC102724621								
D9_2_27_R1_peak_75	chr10	128464494	128464600	+	175	NA	Intergenic	NA	178599	LINC01163								
D9_2_27_R1_peak_128	chr13	16159114	16159185	+	162	NA	Intergenic	NA	-2036148	FAM230C								
D9_2_27_R1_peak_379	chr7	7181167	7181296	+	158	NA	Intergenic	NA	-1384	C1GALT1								
D9_2_27_R1_peak_80	chr11	10508518	10508591	+	157	NA	promoter-TSS (MIR4485)	NA	-228	MIR4485								
D9_2_27_R1_peak_186	chr17	25389882	25389961	+	154	NA	Intergenic	NA	1904021	MIR4522								
D9_2_27_R1_peak_25	chr1	124486038	124486148	+	154	NA	Intergenic	NA	2966981	EMBP1								
D9_2_27_R1_peak_18	chr1	123494645	123494722	+	154	NA	Intergenic	NA	1975571	EMBP1								
D9_2_27_R1_peak_433	chrX	481764	481840	+	145	NA	Intergenic	NA	47999	LOC102723840								
D9_2_27_R1_peak_129	chr13	16231719	16231783	+	145	NA	Intergenic	NA	-1963546	FAM230C								
D9_2_27_R1_peak_187	chr17	26620008	26620071	+	143	NA	Intergenic	NA	673903	MIR4522								
D9_2_27_R1_peak_398	chr8	45940531	45940609	+	143	NA	Intergenic	NA	893308	LOC102724241								
D9_2_27_R1_peak_15	chr1	122921748	122921823	+	142	NA	Intergenic	NA	1402673	EMBP1								
D9_2_27_R1_peak_397	chr8	45933687	45933745	+	142	NA	Intergenic	NA	900162	LOC102724241								
D9_2_27_R1_peak_212	chr2	32560764	32560902	+	141	NA	intron (BIRC6, intron 65 of 73)	NA	28620	MIR558								
D9_2_27_R1_peak_134	chr13	46295897	46295999	+	139	NA	TTS (LINC00563)	NA	1896	LINC00563								
D9_2_27_R1_peak_6	chr1	39934508	39934604	+	136	NA	Intergenic	NA	-20556	MFSD2A								
D9_2_27_R1_peak_3	chr1	28115455	28115558	+	134	NA	Intergenic	NA	-26869	EYA3								
D9_2_27_R1_peak_316	chr3	43709185	43709286	+	134	NA	intron (ABHD5, intron 3 of 6)	NA	18352	ABHD5								
D9_2_27_R1_peak_240	chr2	159326745	159326831	+	134	NA	intron (BAZ2B, intron 35 of 37)	NA	-43915	WDSUB1								
D9_2_27_R1_peak_143	chr14	22916263	22916382	+	134	NA	intron (RBM23, intron 1 of 13)	NA	2862	RBM23								
D9_2_27_R1_peak_305	chr22_KI270733v1_random	151168	151231	+	133	NA	Intergenic	NA	8902	LOC102724621								
D9_2_27_R1_peak_38	chr1	143264651	143264724	+	133	NA	Intergenic	NA	39649	LOC101929814								
D9_2_27_R1_peak_326	chr4	5038361	5038463	+	130	NA	Intergenic	NA	6820	LOC101928329								
D9_2_27_R1_peak_248	chr2	226118786	226118936	+	129	NA	Intergenic	NA	-23933	LOC646736								
D9_2_27_R1_peak_19	chr1	123548503	123548616	+	129	NA	Intergenic	NA	2029447	EMBP1								
D9_2_27_R1_peak_421	chr9	89388349	89388476	+	129	NA	intron (SEMA4D, intron 13 of 20)	NA	48066	SEMA4D								
D9_2_27_R1_peak_210	chr2	12456452	12456684	+	124	NA	intron (AC096559.1, intron 4 of 5)	NA	257394	MIR3681								
D9_2_27_R1_peak_68	chr10	88064673	88064792	+	124	NA	Intergenic	NA	201034	PTEN								
D9_2_27_R1_peak_109	chr12	54304289	54304400	+	124	NA	intron (NFE2, intron 1 of 2)	NA	-3307	NFE2								
D9_2_27_R1_peak_62	chr10	42069714	42069791	+	122	NA	Intergenic	NA	-172771	LOC101929373								
D9_2_27_R1_peak_341	chr5	66850833	66850921	+	122	NA	intron (MAST4, intron 1 of 25)	NA	22211	MAST4								
D9_2_27_R1_peak_56	chr1	246817949	246818022	+	121	NA	intron (KIF28P, intron 3 of 22)	NA	21611	KIF28P								
D9_2_27_R1_peak_126	chr13	16136967	16137102	+	121	NA	Intergenic	NA	-2058263	FAM230C								
D9_2_27_R1_peak_309	chr22_KI270733v1_random	154741	154837	+	119	NA	Intergenic	NA	5312	LOC102724621								
D9_2_27_R1_peak_88	chr11	52187786	52187850	+	117	NA	Intergenic	NA	1778671	LOC646813								
D9_2_27_R1_peak_24	chr1	124204017	124204123	+	117	NA	Intergenic	NA	2684958	EMBP1								
D9_2_27_R1_peak_241	chr2	159574388	159574464	+	114	NA	intron (BAZ2B, intron 1 of 36)	NA	-40877	LOC643072								
D9_2_27_R1_peak_161	chr15	39327094	39327189	+	113	NA	Intergenic	NA	-56893	LOC102724283								
D9_2_27_R1_peak_223	chr2	71451356	71451472	+	113	NA	Intergenic	NA	-15288	DYSF								
D9_2_27_R1_peak_33	chr1	143187349	143187410	+	113	NA	Intergenic	NA	116957	LOC101929814								
D9_2_27_R1_peak_190	chr17	49252233	49252291	+	112	NA	exon (FLJ40194, exon 2 of 3)	NA	4019	FLJ40194								
D9_2_27_R1_peak_34	chr1	143193866	143193938	+	112	NA	Intergenic	NA	110434	LOC101929814								
D9_2_27_R1_peak_430	chrUn_GL000220v1	140719	140787	+	111	NA	Intergenic	NA	5348	LOC102723515								
D9_2_27_R1_peak_301	chr22_KI270733v1_random	148184	148426	+	109	NA	Intergenic	NA	11796	LOC102724621								
D9_2_27_R1_peak_238	chr2	151922989	151923092	+	107	NA	intron (CACNB4, intron 2 of 12)	NA	50912	CACNB4								
D9_2_27_R1_peak_304	chr22_KI270733v1_random	150697	150837	+	106	NA	Intergenic	NA	9334	LOC102724621								
D9_2_27_R1_peak_273	chr21	33394398	33394556	+	105	NA	Intergenic	NA	-8960	IFNGR2								
D9_2_27_R1_peak_399	chr8	55930599	55930725	+	105	NA	intron (LYN, intron 1 of 12)	NA	50835	LYN								
D9_2_27_R1_peak_4	chr1	36487055	36487173	+	104	NA	Intergenic	NA	-3800	CSF3R								
D9_2_27_R1_peak_394	chr8	26438350	26438492	+	104	NA	Intergenic	NA	48031	BNIP3L								
D9_2_27_R1_peak_191	chr17	59848846	59848944	+	103	NA	Intergenic	NA	7584	MIR21								
D9_2_27_R1_peak_154	chr14_GL000225v1_random	129152	129225	+	102	NA	Intergenic	NA	92899	LOC100287823								
D9_2_27_R1_peak_226	chr2	98805569	98805646	+	101	NA	intron (KIAA1211L, intron 9 of 11)	NA	-33371	LOC101927070								
D9_2_27_R1_peak_39	chr1	151611469	151611542	+	101	NA	promoter-TSS (SNX27)	NA	-681	SNX27								
D9_2_27_R1_peak_296	chr22_KI270733v1_random	145219	145553	+	101	NA	Intergenic	NA	14715	LOC102724621								
D9_2_27_R1_peak_412	chr9	3434741	3434858	+	101	NA	intron (RFX3, intron 1 of 16)	NA	-30248	DSERG1								
D9_2_27_R1_peak_327	chr4	15659957	15660037	+	101	NA	promoter-TSS (FBXL5)	NA	-130	FBXL5								
D9_2_27_R1_peak_413	chr9	19161849	19162004	+	101	NA	Intergenic	NA	-34320	PLIN2								
D9_2_27_R1_peak_232	chr2	112787906	112787991	+	99	NA	Intergenic	NA	-2554	IL1A								
D9_2_27_R1_peak_138	chr13	95714514	95714651	+	99	NA	intron (DNAJC3, intron 2 of 11)	NA	37443	DNAJC3								
D9_2_27_R1_peak_270	chr21	8234162	8234228	+	97	NA	Intergenic	NA	8878	LOC102723570								
D9_2_27_R1_peak_12	chr1	107877289	107877361	+	97	NA	intron (VAV3, intron 1 of 25)	NA	-19898	MIR7852								
D9_2_27_R1_peak_308	chr22_KI270733v1_random	154149	154208	+	96	NA	Intergenic	NA	5923	LOC102724621								
D9_2_27_R1_peak_403	chr8	85742995	85743071	+	95	NA	Intergenic	NA	3483	LOC101929627								
D9_2_27_R1_peak_290	chr22_KI270733v1_random	136300	136471	+	95	NA	Intergenic	NA	23716	LOC102724621								
D9_2_27_R1_peak_319	chr3	52210812	52210893	+	93	NA	intron (ALAS1, intron 9 of 11)	NA	12731	ALAS1								
D9_2_27_R1_peak_22	chr1	123785903	123786075	+	93	NA	Intergenic	NA	2266877	EMBP1								
D9_2_27_R1_peak_59	chr10	27458087	27458192	+	93	NA	Intergenic	NA	-43771	PTCHD3								
D9_2_27_R1_peak_87	chr11	51266289	51266358	+	93	NA	Intergenic	NA	857176	LOC646813								
D9_2_27_R1_peak_405	chr8	96570943	96571028	+	93	NA	intron (SDC2, intron 1 of 4)	NA	-15409	SDC2								
D9_2_27_R1_peak_249	chr2	233084713	233084771	+	93	NA	intron (INPP5D, intron 2 of 26)	NA	24416	INPP5D								
D9_2_27_R1_peak_387	chr7	138245897	138245971	+	91	NA	Intergenic	NA	122131	MIR4468								
D9_2_27_R1_peak_414	chr9	33715125	33715278	+	90	NA	Intergenic	NA	-15970	LOC102724216								
D9_2_27_R1_peak_73	chr10	124145282	124145374	+	89	NA	Intergenic	NA	-52904	CHST15								
D9_2_27_R1_peak_256	chr20	5080571	5080643	+	89	NA	Intergenic	NA	32480	TMEM230								
D9_2_27_R1_peak_322	chr3	142850888	142850961	+	89	NA	intron (PCOLCE2, intron 2 of 8)	NA	38279	PCOLCE2								
D9_2_27_R1_peak_351	chr5	150763460	150763538	+	88	NA	Intergenic	NA	-4466	DCTN4								
D9_2_27_R1_peak_174	chr16	34593520	34593579	+	88	NA	Intergenic	NA	161557	LOC102724523								
D9_2_27_R1_peak_72	chr10	123255019	123255140	+	88	NA	Intergenic	NA	100835	BUB3								
D9_2_27_R1_peak_284	chr22	29118175	29118247	+	88	NA	intron (KREMEN1, intron 3 of 8)	NA	45133	KREMEN1								
D9_2_27_R1_peak_125	chr13	16099606	16099706	+	88	NA	Intergenic	NA	-2095641	FAM230C								
D9_2_27_R1_peak_141	chr13	109389917	109390063	+	87	NA	Intergenic	NA	-200497	LOC101927627								
D9_2_27_R1_peak_315	chr3	43641460	43641549	+	87	NA	Intergenic	NA	-19436	ANO10								
D9_2_27_R1_peak_324	chr3	177449857	177449952	+	86	NA	intron (LINC00578, intron 1 of 3)	NA	7983	LINC00578								
D9_2_27_R1_peak_194	chr18	2857538	2857647	+	86	NA	intron (EMILIN2, intron 2 of 7)	NA	10562	EMILIN2								
D9_2_27_R1_peak_295	chr22_KI270733v1_random	144475	144733	+	86	NA	Intergenic	NA	15497	LOC102724621								
D9_2_27_R1_peak_103	chr11	129825487	129825695	+	83	NA	intron (TMEM45B, intron 1 of 5)	NA	9382	TMEM45B								
D9_2_27_R1_peak_367	chr6	54198306	54198393	+	83	NA	intron (MLIP, intron 10 of 13)	NA	-110056	TINAG								
D9_2_27_R1_peak_233	chr2	113127407	113127485	+	83	NA	promoter-TSS (IL1RN)	NA	-115	IL1RN								
D9_2_27_R1_peak_214	chr2	38176746	38176812	+	83	NA	intron (CYP1B1-AS1, intron 2 of 2)	NA	26051	LOC102723739								
D9_2_27_R1_peak_267	chr20	63904334	63904395	+	83	NA	intron (DNAJC5, intron 1 of 4)	NA	9262	DNAJC5								
D9_2_27_R1_peak_246	chr2	218370588	218370685	+	83	NA	Intergenic	NA	-2801	LOC101928513								
D9_2_27_R1_peak_376	chr6	137148876	137148983	+	83	NA	intron (IL22RA2, intron 5 of 6)	NA	24719	IL22RA2								
D9_2_27_R1_peak_342	chr5	74538520	74538588	+	83	NA	Intergenic	NA	102870	ENC1								
D9_2_27_R1_peak_364	chr6	42933370	42933428	+	83	NA	intron (CNPY3, intron 1 of 4)	NA	4272	CNPY3								
D9_2_27_R1_peak_348	chr5	132457750	132457875	+	82	NA	intron (C5orf56, intron 3 of 3)	NA	-31035	LOC102723741								
D9_2_27_R1_peak_26	chr1	124489629	124489694	+	82	NA	Intergenic	NA	2970549	EMBP1								
D9_2_27_R1_peak_184	chr17	22880148	22880206	+	82	NA	Intergenic	NA	-356991	LOC102723754								
D9_2_27_R1_peak_438	chrX	49341614	49341680	+	82	NA	intron (GAGE12I, intron 1 of 4)	NA	437	GAGE12I								
D9_2_27_R1_peak_289	chr22_KI270733v1_random	136081	136154	+	81	NA	Intergenic	NA	23984	LOC102724621								
D9_2_27_R1_peak_408	chr8	125528929	125529011	+	81	NA	Intergenic	NA	96761	TRIB1								
D9_2_27_R1_peak_178	chr16	72051946	72052005	+	81	NA	intron (TXNL4B, intron 3 of 3)	NA	-2634	HP								
D9_2_27_R1_peak_239	chr2	156405808	156405936	+	80	NA	Intergenic	NA	-4655	TRNAG19								
D9_2_27_R1_peak_163	chr15	55221333	55221406	+	80	NA	intron (RAB27A, intron 6 of 6)	NA	-24336	RSL24D1								
D9_2_27_R1_peak_78	chr11	1771941	1772019	+	80	NA	Intergenic	NA	-7988	CTSD								
D9_2_27_R1_peak_272	chr21	33007925	33007994	+	80	NA	Intergenic	NA	-17949	OLIG2								
D9_2_27_R1_peak_14	chr1	115108016	115108075	+	80	NA	Intergenic	NA	-18547	TSPAN2								
D9_2_27_R1_peak_336	chr4	153661525	153661710	+	80	NA	Intergenic	NA	-22635	TLR2								
D9_2_27_R1_peak_67	chr10	71775492	71775568	+	80	NA	intron (CDH23, intron 38 of 69)	NA	-1950	C10orf54								
D9_2_27_R1_peak_381	chr7	32977322	32977380	+	79	NA	intron (FKBP9, intron 5 of 10)	NA	-2123	FKBP9								
D9_2_27_R1_peak_432	chrUn_KI270754v1	3506	3587	+	79	NA	Intergenic	NA	15659	LOC102723847								
D9_2_27_R1_peak_211	chr2	28396527	28396585	+	79	NA	intron (FOSL2, intron 1 of 3)	NA	-1884	FLJ31356								
D9_2_27_R1_peak_269	chr21	8228688	8228757	+	79	NA	Intergenic	NA	14351	LOC102723570								
D9_2_27_R1_peak_10	chr1	72366607	72366702	+	79	NA	Intergenic	NA	-84060	NEGR1								
D9_2_27_R1_peak_104	chr12	2294890	2294961	+	77	NA	intron (CACNA1C, intron 3 of 46)	NA	25149	CACNA1C-IT3								
D9_2_27_R1_peak_46	chr1	185420849	185421012	+	77	NA	Intergenic	NA	50264	LOC102724897								
D9_2_27_R1_peak_349	chr5	140612252	140612310	+	77	NA	Intergenic	NA	-17711	LOC100505798								
D9_2_27_R1_peak_227	chr2	99555496	99555579	+	77	NA	intron (AFF3, intron 21 of 23)	NA	-130506	REV1								
D9_2_27_R1_peak_395	chr8	30026246	30026325	+	77	NA	Intergenic	NA	56923	TMEM66								
D9_2_27_R1_peak_213	chr2	38148614	38148676	+	77	NA	intron (CYP1B1-AS1, intron 2 of 2)	NA	17540	CYP1B1-AS1								
D9_2_27_R1_peak_314	chr3	42760622	42760723	+	76	NA	intron (CCDC13, intron 1 of 15)	NA	-9940	LOC729083								
D9_2_27_R1_peak_35	chr1	143202931	143202989	+	75	NA	Intergenic	NA	101376	LOC101929814								
D9_2_27_R1_peak_162	chr15	50573929	50574016	+	74	NA	intron (TRPM7, intron 37 of 39)	NA	-27285	USP50								
D9_2_27_R1_peak_428	chrUn_GL000214v1	124467	124541	+	74	NA	Intergenic	NA	-52751	LOC100289026								
D9_2_27_R1_peak_84	chr11	44970428	44970497	+	73	NA	Intergenic	NA	-3440	AC068858.1								
D9_2_27_R1_peak_384	chr7	88395831	88395914	+	73	NA	Intergenic	NA	-88959	STEAP4								
